  0:   11| [55] [√Current Chapter3]
  1:   28| [45] [渡瀬とサリュの、目まぐるしい攻防が始まった。]
  2:  196| [45] [サリュの斧が渡瀬を襲う。]
  3:  320| [45] [鋭い蹴りがコメカミを打つ。]
  4:  575| [45] [だが渡瀬は隙をついて、弾丸のようなタックルをかまし――]
  5:  806| [45] [――サリュの上に馬乗りになっていた。]
  6:  811| [45] [だが絶対優位のはずのその体勢も、長くは続かない。]
  7:  816| [45] [サリュの鋭い一撃が、渡瀬の眼を打ったのだ。]
  8:  939| [45] [とたんに視界が暗転し、サリュが渡瀬の下からすり抜けた。]
  9:  996| [85] [《まずい！　今、距離を取られたら！》]
 10:  997| [86] [渡瀬]
 11:  998| [86] [《まずい！　今、距離を取られたら！》]
 12: 1026| [45] [渡瀬は闇に手を伸ばし、サリュの服を掴む。]
 13: 1034| [47] [サリュ]
 14: 1037| [45] [「あっ！」]
 15: 1042| [45] [サリュがバランスを崩した様子が、渡瀬の手を通して伝わってきた。]
 16: 1099| [85] [《――ここで倒してしまわなければ！》]
 17: 1100| [86] [渡瀬]
 18: 1101| [86] [《――ここで倒してしまわなければ！》]
 19: 1129| [45] [危機感と暴力性に満ちた感情が、渡瀬の心を満たす。]
 20: 1134| [45] [夏彦はとっさに叫んでいた。]
 21: 1142| [47] [夏彦]
 22: 1145| [45] [《やめろ！　彼女を傷つけるな！》]
 23: 1153| [47] [渡瀬]
 24: 1156| [45] [「！！」]
 25: 1296| [45] [その声が届いたのか――渡瀬はサリュを殴ったりはせず、背後に回り込んだ。]
 26: 1321| [45] [そして力を加減しながら、サリュの首を圧迫し――]
 27: 1382| [47] [サリュ]
 28: 1385| [45] [「か、はっ……！」]
 29: 1443| [47] [サリュ]
 30: 1444| [45] [「――……」]
 31: 1474| [45] [やがて渡瀬の視界が回復した。]
 32: 1479| [45] [サリュが渡瀬の腕の中で、ぐったりと気絶しているのがわかる。]
 33: 1484| [45] [彼女の胸が微かに上下しているところを見ると、どうやら命に別状はなさそうだった。]
 34: 1489| [47] [夏彦]
 35: 1490| [45] [（……良かった……）]
 36: 1519| [45] [安堵する夏彦とサリュの体を、渡瀬が担ぐ。]
 37: 1639| [45] [そして、渡瀬がＮエリアを後にすると――]
 38: 1701| [45] [そこには風見が立っていて、]
 39: 1744| [45] [夏彦とサリュは２人の手によって、ただちに医務室へ運ばれた。]
