  0:   46| [55] [√After Chapter3]
  1:   60| [45] [渡瀬と洵は、まず内周棟地下２階に足を踏み入れた。]
  2:  160| [47] [洵]
  3:  163| [45] [「このエリアに、あの子たちがいるんだね……」]
  4:  171| [47] [渡瀬]
  5:  174| [45] [「あぁ、きっとな」]
  6:  224| [45] [渡瀬たちはそう言葉を交わしつつ、駆け足で、各部屋を回る。]
  7:  267| [45] [どこかに要救助者がいると信じながら。]
  8:  334| [45] [だが――]
  9:  439| [45] [全ての部屋の捜索を終えても、どこにも要救助者の姿は無かった。]
 10:  501| [47] [洵]
 11:  504| [45] [「いない……？」]
 12:  512| [47] [渡瀬]
 13:  515| [45] [「いや待て……地下１階を探してみよう」]
 14:  520| [45] [そう言いながら、階段室に向かったが――]
 15:  565| [45] [内周棟の非常階段は、使用不能だった。]
 16:  570| [45] [地下１階部分は無事のようだが、そこまでの部分が完全に崩れ、登れそうにない。]
 17:  578| [47] [渡瀬]
 18:  581| [45] [「ちっ、またかよ」]
 19:  614| [47] [洵]
 20:  617| [45] [「参ったね。ファクトリーは吹き抜け状になってるから、階段はここしかないのに……」]
 21:  643| [47] [洵]
 22:  646| [45] [「またエレベーターシャフトを使う？」]
 23:  654| [47] [渡瀬]
 24:  657| [45] [「いや待て、どうにか行けないものか……」]
 25:  662| [45] [そう言ってから渡瀬は、自分が持っている物に気づいた。]
 26:  722| [45] [いつも持ち歩いている、１０ｍロープに。]
 27:  730| [47] [渡瀬]
 28:  733| [45] [「これでなんとか登れないもんかな」]
 29:  768| [45] [渡瀬は落ちていた瓦礫を拾い、ロープの端に縛り付けた。]
 30:  779| [45] [そしてそれを投げ、地下１階の階段の部分に引っ掛ける。]
 31:  842| [45] [さらに何度か引っ張って、しっかりと固定された事を確認した。]
 32:  850| [47] [渡瀬]
 33:  853| [45] [「よし、行けるぞ！」]
 34:  879| [47] [洵]
 35:  882| [45] [「ナイス隊長！　それじゃロープ登はん競争といきますか！」]
 36:  890| [47] [渡瀬]
 37:  893| [45] [「１本しかないのに、どうやって競争するんだ？　普通に登るぞ」]
 38:  919| [47] [洵]
 39:  922| [45] [「なんだ、ノリ悪いなぁ」]
 40:  965| [45] [渡瀬たちはそんな事を言い合いつつ、ロープを登っていった。]
 41: 1009| [45] [――そして階上に上った渡瀬たちは、ロープをそこに放置した。]
 42: 1014| [45] [帰りにも使うだろうし、またここに来るかもしれないからだ。]
 43: 1061| [47] [渡瀬]
 44: 1064| [45] [「よし、それじゃ捜索を続けよう。ここが最後の未捜索フロアだからな」]
 45: 1126| [47] [洵]
 46: 1129| [45] [「うん！」]
 47: 1143| [45] [渡瀬たちは勇んで、地下１階の捜索を始めた。]
 48: 1187| [45] [最初に入った部屋は、火災の影響を全く受けていなかった。]
 49: 1192| [45] [そこに足を踏み入れた途端、洵が声を上げる。]
 50: 1254| [47] [洵]
 51: 1257| [45] [「あれっ！？　プロキオンがあるよ！」]
 52: 1265| [47] [渡瀬]
 53: 1268| [45] [「えっ？」]
 54: 1366| [45] [見れば部屋の隅に、確かに見慣れた機械が置いてあった。]
 55: 1379| [47] [渡瀬]
 56: 1382| [45] [「なんでこれが、こんなところに？」]
 57: 1408| [47] [洵]
 58: 1411| [45] [「プロキオンはラボから支給されたものだからね。施設内にあってもおかしくないよ」]
 59: 1419| [47] [渡瀬]
 60: 1422| [45] [「そうか。いずれにしろ、いいものを見つけたな」]
 61: 1448| [47] [洵]
 62: 1451| [45] [「うん、これでこれからは３チームに分かれられるね！」]
 63: 1456| [45] [そんな事態が今後あるかはわからないが、渡瀬たちは一応プロキオンを持っていく事にした。]
 64: 1461| [45] [他にも何か、使えそうなものがないかを探る。]
 65: 1466| [45] [ＡＤなどは見つからなかったが――机の上に読み捨てられた冊子が、渡瀬の目に留まった。]
 66: 1474| [47] [渡瀬]
 67: 1477| [45] [「……ん？　『防災マニュアル』？」]
 68: 1503| [47] [洵]
 69: 1506| [45] [「防災マニュアルって、前にユウリちゃんが見つけたアレ？」]
