  0:   13| [55] [√Before Chapter1]
  1:   21| [45] [――やがて食事も終わり。]
  2:   26| [45] [しばらく食後の談笑をした後、ましろの帰る時間が訪れた。]
  3:  112| [47] [ましろ]
  4:  115| [45] [「それじゃ夏彦に悠里、また明日ね」]
  5:  120| [45] [いつものように言うましろに、夏彦たちは声をかける。]
  6:  146| [47] [悠里]
  7:  149| [45] [「ましろん、今日もありがと」]
  8:  157| [47] [夏彦]
  9:  160| [45] [「たまには送っていこうか？」]
 10:  186| [47] [ましろ]
 11:  189| [45] [「いいのいいの。どうせすぐ近くだし」]
 12:  215| [47] [ましろ]
 13:  218| [45] [「それじゃおやすみ、おふたりさ～ん」]
 14:  257| [45] [夏彦たちの声にましろは笑みを返し、家を出て行った。]
 15:  280| [45] [――ましろが帰れば、あとはもうする事はない。]
 16:  285| [45] [寝るまでの時間を、のんびり過ごすだけだ。]
 17:  293| [47] [夏彦]
 18:  296| [45] [「さて……シャワーでも浴びるかな」]
 19:  322| [47] [悠里]
 20:  325| [45] [「はぁい、どうぞ～」]
 21:  330| [45] [悠里はいつも、夏彦に気を遣って、昼間に風呂を済ませているらしい。]
 22:  338| [47] [夏彦]
 23:  341| [45] [「それじゃちょっと失礼するよ」]
 24:  346| [45] [夏彦はそう言って、バスルームに向かった。]
 25:  465| [45] [簡単にシャワーを済ませ――]
 26:  477| [45] [ついでに歯磨きを終えて、リビングに戻ると……]
 27:  599| [45] [悠里は本を読みながら、夏彦の戻りを待っていた。]
 28:  625| [47] [悠里]
 29:  628| [45] [「あ、おかえりひこりん～」]
 30:  636| [47] [夏彦]
 31:  639| [45] [「ただいま」]
 32:  665| [47] [悠里]
 33:  668| [45] [「ひこりん、もう寝る？　少しお喋りしない？」]
 34:  676| [47] [夏彦]
 35:  679| [45] [「いいね、それじゃホットミルクでも入れようか」]
 36:  705| [47] [悠里]
 37:  708| [45] [「あ、飲む飲む～」]
 38:  716| [47] [夏彦]
 39:  719| [45] [「了解」]
 40:  770| [45] [夏彦はそう答え、キッチンに向かった。]
 41:  775| [45] [ホットミルクは、夏彦と悠里の共通の好物なのだ。]
 42:  780| [45] [２人分のミルクを温め、リビングに戻ってくる。]
 43:  855| [47] [夏彦]
 44:  858| [45] [「はい、どうぞ」]
 45:  884| [47] [悠里]
 46:  887| [45] [「ありがと～」]
 47:  908| [45] [夏彦たちはテーブルを囲み、ソファに腰掛けた。]
 48:  916| [47] [夏彦]
 49:  919| [45] [「悠里、今日はどういう風に過ごしたんだい？」]
 50:  945| [47] [悠里]
 51:  948| [45] [「えっとね、少し編み物をしたよ」]
 52:  953| [45] [そう言えば悠里はこの夏から、編み物を始めていた。]
 53:  958| [45] [夏彦とましろに、プレゼントするためだという。]
 54:  966| [47] [夏彦]
 55:  969| [45] [「あぁ、進みはどうだい？」]
 56:  995| [47] [悠里]
 57:  998| [45] [「どうかなぁ……冬までにできればいいけど」]
 58: 1006| [47] [夏彦]
 59: 1009| [45] [「はは、それじゃ楽しみにしておこうかな」]
 60: 1035| [47] [悠里]
 61: 1038| [45] [「うぅ……期待に添えるように頑張るよ」]
 62: 1043| [45] [夏彦の答えを聞いて、悠里は微笑む。]
 63: 1048| [45] [こうしてましろが帰った後、悠里と穏やかな会話を交わすのを、夏彦は日々の楽しみにしていた。]
 64: 1074| [47] [悠里]
 65: 1077| [45] [「それとねぇ、今日は２冊本を読んで、さっき３冊目に突入したところだよ」]
 66: 1085| [47] [夏彦]
 67: 1088| [45] [「へぇ、どんな本？」]
 68: 1114| [47] [悠里]
 69: 1117| [45] [「１冊目はね、南米の作家さんの本で……ある一族の隆盛から滅亡までを描いた、幻想的な物語」]
 70: 1125| [47] [悠里]
 71: 1128| [45] [「２冊目はね、夢をテーマにした連作だよ。例えば死んでしまった女の人を、１００年間ずっと待ち続ける男の人の話とか」]
 72: 1136| [47] [夏彦]
 73: 1139| [45] [「なるほどね、どっちも『夢』とか『幻想』ってのがキーワードか」]
 74: 1165| [47] [悠里]
 75: 1168| [45] [「それと『孤独』と『約束』かな？」]
 76: 1173| [45] [悠里はいわゆる文学少女で、かなりの濫読家だ。毎日ジャンルを選ばず、少なくとも１冊は読む。]
 77: 1178| [45] [そして夏彦に、その感想を語ってくれるのだ。]
 78: 1204| [47] [悠里]
 79: 1207| [45] [「ちなみに、こんな素敵なセリフがあったよ」]
 80: 1233| [47] [悠里]
 81: 1236| [45] [「『天から落ちた星のかけらを、私のお墓に置いてくれますか』」]
 82: 1244| [47] [悠里]
