  0:   97| [55] [√Double Chapter 6]
  1:  108| [45] [Salyu explained the details of the bomb to Natsuhiko's group.]
  2:  113| [45] [About why they couldn't disarm it, and why the lockdown timer was off.]
  3:  118| [45] [And how at this rate, everyone would die in the explosion--!]
  4:  137| [47] [Natsuhiko]
  5:  140| [45] ["You can't be serious...!"]
  6:  145| [45] [The news shook up Natsuhiko's group. They all began to speak with quivering voices.]
  7:  171| [47] [Yuuri]
  8:  174| [45] ["So you're saying we'll all die if we stay here!?"]
  9:  200| [47] [Mashiro]
 10:  203| [45] ["Th-then we've gotta think of a way to get out of here right now!"]
 11:  229| [47] [Ena]
 12:  232| [45] ["D-don't be ridiculous... We searched the place for six hours and found nothing...!"]
 13:  255| [47] [Salyu]
 14:  256| [45] ["..."]
 15:  261| [45] [Salyu fell silent at the questioning.]
 16:  369| [45] [Ena was quite right.]
 17:  374| [45] [There was no plausible way they could conveniently find a new exit route this late in the game.]
 18:  379| [47] [Natsuhiko]
 19:  380| [45] [(... But still, we need to do something...)]
 20:  387| [45] [The time was "6:02 PM".]
 21:  392| [45] [Only 15 minutes left until the bomb went off.]
 22:  397| [45] [Yuuri spoke fearfully to Natsuhiko.]
 23:  423| [47] [Yuuri]
 24:  426| [45] ["H-Hikorin... What do we do..."]
 25:  434| [47] [Natsuhiko]
 26:  437| [45] ["... At any rate, we'll all die if we stay here."]
 27:  445| [47] [Natsuhiko]
 28:  448| [45] ["Let's at least evacuate to a slightly safer place."]
 29:  474| [47] [Mashiro]
 30:  477| [45] ["A safer place?"]
 31:  485| [47] [Natsuhiko]
 32:  488| [45] ["The bomb's been planted in Area Zero."]
 33:  496| [47] [Natsuhiko]
 34:  499| [45] ["I can't predict how the explosion's blast will spread--"]
 35:  507| [47] [Natsuhiko]
 36:  510| [45] ["But if we go as far as we can from the blast radius-- in other words, right outside the emergency staircase bulkhead in Area 2-- we should be able to increase our chances of survival just a little."]
 37:  536| [47] [Ena]
 38:  539| [45] ["Do you think we'll survive if we go there...?"]
 39:  547| [47] [Natsuhiko]
 40:  550| [45] ["I don't know... but it's the best bet we've got."]
 41:  555| [45] [He couldn't think of any other options.]
 42:  581| [45] [Ena spoke to Jun in a pained voice.]
 43:  665| [47] [Ena]
 44:  668| [45] ["Ms. Moribe... Staying here means certain death. Let's go."]
 45:  691| [47] [Jun]
 46:  692| [45] ["..."]
 47:  697| [45] [Jun still hadn't moved away from Watase's and Kazami's corpses.]
 48:  702| [45] [She didn't answer Ena's call.]
 49:  728| [47] [Ena]
 50:  731| [45] ["Ms. Moribe! Help out!"]
 51:  739| [47] [Ena]
 52:  742| [45] ["I can't move two injured people by myself!"]
 53:  750| [47] [Jun]
 54:  753| [45] ["... No."]
 55:  814| [47] [Ena]
 56:  817| [45] ["...!"]
 57:  823| [45] [Ena walked briskly towards Jun,]
 58:  869| [45] [and grabbed her by the neck.]
 59:  896| [47] [Ena]
 60:  899| [45] ["What do you mean 'no'!?"]
 61:  907| [47] [Ena]
 62:  910| [45] ["You're a rescue worker, aren't you!? Are you abandoning your duty!?"]
 63:  936| [47] [Jun]
 64:  939| [45] ["What...?"]
 65:  947| [47] [Jun]
 66:  950| [45] ["I just lost two precious people. I'm the only one left on the squad now..."]
 67:  958| [47] [Jun]
 68:  961| [45] ["And you're still fussing over my 'duty'...? What the hell are you talking about?"]
 69:  987| [47] [Jun]
