  0:   68| [55] [√After Chapter3]
  1:   72| [45] [――渡瀬たちは車座になって、床に腰を下ろした。]
  2:  130| [45] [その瞬間、２時間分の疲れがどっと襲ってきて、全員の口からため息が漏れる。]
  3:  138| [47] [渡瀬]
  4:  141| [45] [「はぁ……」]
  5:  146| [45] [そう息をつくと、先ほどフラッシュオーバーに吹き飛ばされた時に打った肋骨が、かすかにうずいた。]
  6:  151| [47] [渡瀬]
  7:  152| [45] [（痛みが長く続きすぎてる……こりゃ、ヒビいってるかな……）]
  8:  157| [45] [疲労だけではなく、負傷も蓄積しているようだ。]
  9:  198| [47] [渡瀬]
 10:  201| [45] [「……守部に先生、体の調子はどうだ？」]
 11:  227| [47] [洵]
 12:  230| [45] [「ちょっと指先が痺れるけど……平気だよ」]
 13:  258| [47] [恵那]
 14:  261| [45] [「私も、もう少し休んだら問題なさそうだわ」]
 15:  302| [47] [渡瀬]
 16:  305| [45] [「橘は？」]
 17:  333| [47] [風見]
 18:  336| [45] [「私も問題ありません……例の、肌が痺れるような感覚等も、ＡＤを投与したら消えました」]
 19:  377| [47] [渡瀬]
 20:  380| [45] [「……そうか、何よりだ」]
 21:  385| [45] [という事はやはり、風見の訴えていた諸々の体調不良は、放射線障害だったのだろう。]
 22:  411| [47] [洵]
 23:  414| [45] [「ＡＤの効果ってのは、やっぱかなり高いみたいだね。即座に効果が出るなんてさ」]
 24:  422| [47] [風見]
 25:  425| [45] [「いくらなんでも、早く効き過ぎですけどね」]
 26:  434| [47] [風見]
 27:  437| [45] [「体調不良も薬の効用も、どちらも気のせいかもしれません。いわゆるプラシーボという奴かと」]
 28:  445| [47] [渡瀬]
 29:  448| [45] [「……でも、ＡＤはあった方がいいぞ」]
 30:  453| [45] [渡瀬はプロキオンをちらりと見て言った。数値はまた上昇している。]
 31:  461| [47] [渡瀬]
 32:  464| [45] [「見ろ、現在『３０９０ｍＳｖ』……遠からず第１危険基準値の『４０００ｍＳｖ』を超えそうだ」]
 33:  492| [47] [風見]
 34:  495| [45] [「……そうなるとますます、ＡＤが重要になってきますね」]
 35:  503| [47] [風見]
 36:  506| [45] [「チェルノブイリ原発事故の際にも、４０００ｍＳｖ以上の環境下で事故処理作業を行った人がいたそうです」]
 37:  514| [47] [風見]
 38:  517| [45] [「その環境下にいた作業員の死亡率は、一説には１００％と……」]
 39:  558| [45] [その言葉に皆の表情が凍りついた。]
 40:  566| [47] [洵]
 41:  569| [45] [「……ＡＤがない時代の話とは言え、１００％か」]
 42:  597| [47] [恵那]
 43:  600| [45] [「だんだん感覚が麻痺してきてるけど……普通に考えたら、物凄い放射線の中にいるのよね」]
 44:  608| [47] [恵那]
