  0:  366| [55] [√Before Chapter0]
  1:  374| [86] [You have taken my friends from me.]
  2:  375| [86] [You have made me an abomination to them.]
  3:  376| [86] [Ⅰ am confined, and Ⅰ can't escape.]
  4:  377| [86] [(The Old Testament / Psalms 88:8)]
  5:  379| [45] [――その轟音は、終末を報せる鐘のように――]
  6:  384| [45] [夜明けの研究所に響き渡った。]
  7:  501| [47] [少年]
  8:  504| [45] [「なッ！？」]
  9:  509| [45] [少年が驚愕に息を呑む。]
 10:  599| [47] [少女１]
 11:  602| [45] [「きゃあッ！」]
 12:  607| [45] [傍らの少女たちが悲鳴を上げる。]
 13:  648| [47] [少女２]
 14:  651| [45] [「くッ……！」]
 15:  656| [45] [床から振動が伝わるのを感じた。]
 16:  842| [47] [少女２]
 17:  845| [45] [「……爆弾、それも複数……！？」]
 18:  853| [47] [少女１]
 19:  856| [45] [「な、夏彦、これって……！」]
 20:  933| [45] [傍らの少女たちの言葉に、『夏彦』と呼ばれた少年が歯噛みする。]
 21:  959| [47] [夏彦]
 22:  962| [45] [「あぁ、わかってる……」]
 23:  977| [47] [夏彦]
 24:  980| [45] [「……ぼくらは、間に合わなかったんだ」]
 25:  985| [45] [だがその言葉は、けたたましく響く警報にかき消された。]
 26: 2220| [45] [自動放送が冷徹に、警告を叫ぶ。]
 27: 2225| [47] [自動放送]
 28: 2228| [45] [「施設内のセキュリティを、『避難モード』に移行。Ｎエリアを除く全ゲートを開放します」]
 29: 2233| [47] [自動放送]
 30: 2236| [45] [「職員の皆様は、落ち着いて地上へ避難して下さい」]
 31: 2357| [45] [断片的な情報に、誰もが戸惑いの声を上げる。]
 32: 2362| [47] [研究員１]
 33: 2365| [45] [「な、何が起きたんだ！」]
 34: 2370| [47] [研究員２]
 35: 2373| [45] [「わかりません！　爆発のようですが……？」]
 36: 2378| [47] [研究員３]
 37: 2381| [45] [「爆発だと！？　この施設でか！？」]
 38: 2386| [45] [その問いに答えるように、放送が続く。]
 39: 2483| [47] [男職員]
 40: 2486| [45] [「き、緊急放送です！」]
 41: 2494| [47] [男職員]
 42: 2497| [45] [「ただいま施設内で、原因不明の爆発が発生しました！」]
 43: 2505| [47] [男職員]
 44: 2508| [45] [「現状判明している限り、施設内の１０数か所で同時に爆発が起き、それに伴い火災も発生しています！」]
 45: 2516| [47] [男職員]
 46: 2519| [45] [「江里口研究員、柏木研究員！　至急第２エリアに来てください！」]
 47: 2609| [47] [職員１]
 48: 2612| [45] [「１０数か所で爆発だと……！？」]
 49: 2617| [47] [職員２]
 50: 2620| [45] [「原因不明！？　どういう事だ！？」]
 51: 2625| [45] [戦慄する男たちの横で、女科学者が呟いた。]
 52: 2711| [47] [女科学者]
 53: 2714| [45] [「大丈夫よ……！　この施設には二重三重の防災システムが配備されているんだから」]
 54: 2722| [47] [女科学者]
 55: 2725| [45] [「何が起こっても、大規模な災害になったりはしないはず」]
 56: 2751| [47] [女科学者]
 57: 2754| [45] [「安全は確保されているの……安心して」]
 58: 2759| [45] [その声はあくまで穏やかだった。怯える者を勇気づけるように。]
 59: 2877| [45] [――だが、その希望は踏みにじられる。]
 60: 2963| [47] [警備員１]
 61: 2966| [45] [「消火システムが作動しない！？」]
 62: 2971| [47] [警備員２]
 63: 2974| [45] [「なぜだ……くそッ！　所員の避難を急がせろ！」]
 64: 2979| [45] [頼みの綱のシステムは、まるで役に立たなかった。]
 65: 3059| [47] [職員１]
 66: 3062| [45] [「ファクトリーでも出火を確認！　開発中の機材が炎上してます！」]
 67: 3067| [47] [職員２]
 68: 3070| [45] [「ふざけるな！　開発にいくらかかってると思ってる！」]
 69: 3075| [47] [職員２]
 70: 3078| [45] [「燃えましたで済ませられるか、人力で消火しろ！」]
 71: 3083| [47] [職員１]
 72: 3086| [45] [「４箇所で同時出火してるんですよ！？　誰が消火できるっていうんですか！」]
 73: 3202| [45] [混乱と狂騒が、施設内を支配する。]
 74: 3207| [45] [不安が膨らみ、張り詰めていく。]
 75: 3212| [45] [それにとどめを刺すかのように、新たな宣告がなされた。]
 76: 3308| [47] [男職員]
