  0:   46| [55] [√After Chapter 1]
  1:   60| [45] [--Area 3, inner ring, B1.]
  2:   65| [45] [There were no signs of a fire there.]
  3:   70| [45] [The Procyon reading was only "1792 mSv", so it posed no threat on that front either.]
  4:   78| [47] [Watase]
  5:   81| [45] ["It looks like this floor is safe... for now, anyway."]
  6:  143| [47] [Ukita]
  7:  146| [45] ["Then shall we split into two teams and search like we did last time?"]
  8:  173| [47] [Ena]
  9:  176| [45] ["It takes up too much precious time to decide on teams each time. Let's just get to searching right away."]
 10:  204| [47] [Jun]
 11:  207| [45] ["Yeah, especially seeing as we haven't found even a hint of any AD."]
 12:  323| [47] [Yuuri]
 13:  324| [45] ["..."]
 14:  332| [47] [Kazami]
 15:  335| [45] ["Then we'll take the outer ring, while Moribe's team will cover the inner ring."]
 16:  340| [45] [No one offered any objections.]
 17:  345| [45] [Like last time, they split into teams of "Watase/Kazami/Yuuri" and "Jun/Ukita/Ena", and began their search of Area 3, B1.]
 18:  388| [45] [--First, Watase headed towards the outer ring with Kazami and Yuuri.]
 19:  432| [45] [But when they tried to open the security gate in the connecting passageway that led to the outer ring--]
 20:  446| [47] [Watase]
 21:  449| [45] ["Huh?"]
 22:  454| [45] [--it refused to accept the card.]
 23:  459| [45] [It was a Level 3 gate, so a Level 4 card should have been more than enough to open it.]
 24:  464| [45] [But even after they put the card in the slot again,]
 25:  475| [45] [the door still wouldn't open.]
 26:  483| [47] [Watase]
 27:  486| [45] ["Dammit, the thing must be busted! Are there any other ways in?"]
 28:  514| [47] [Kazami]
 29:  517| [45] ["I'll go check!"]
 30:  522| [45] [Kazami said this and took out the map she'd drawn earlier.]
 31:  640| [47] [Kazami]
 32:  643| [45] ["--We are currently located here. And this door won't open..."]
 33:  706| [47] [Kazami]
 34:  709| [45] ["What's more... the security slot in the passage on the Area 2 side was burned down in the fire, so that won't work either."]
 35:  717| [47] [Watase]
 36:  720| [45] ["Now that I think about it, this staircase collapsed too, so we can't get in there from another staircase, can we."]
 37:  746| [47] [Kazami]
 38:  749| [45] ["Which means that our only choice is to enter from the Area 4 side, though it'll mean taking a detour."]
 39:  768| [47] [Watase]
 40:  771| [45] ["Things just keep getting worse and worse... and we're no closer to finding any AD."]
 41:  776| [45] [They only had 10 minutes left until the effects of their last AD shot wore off.]
 42:  784| [47] [Watase]
 43:  787| [45] ["If only we had one more..."]
 44:  792| [45] [A shy voice spoke up after Watase had muttered this.]
 45:  835| [47] [Yuuri]
 46:  838| [45] ["U-um..."]
 47:  846| [47] [Watase]
 48:  849| [45] ["Hmm? What's wrong?"]
 49:  857| [47] [Yuuri]
 50:  860| [45] ["If it comes down to it... then why don't I just pass on taking any... so that everyone else will be fine...?"]
 51:  886| [47] [Kazami]
 52:  889| [45] ["What are you saying, Ms. Yuuri!? We could never let you do something like that!"]
 53:  950| [47] [Yuuri]
 54:  953| [45] ["!"]
 55:  958| [45] [Yuuri trembled with a start.]
 56:  966| [47] [Watase]
 57:  969| [45] ["She's right! If something like that happens, then -I- will--"]
 58:  995| [47] [Kazami]
 59:  998| [45] ["No, let's not worry about that until we're out of time for sure."]
 60: 1006| [47] [Watase]
 61: 1009| [45] ["Y-yeah, you're right..."]
 62: 1017| [47] [Kazami]
 63: 1020| [45] ["Anyway, let's get back to the inner ring stat. We're short on time."]
 64: 1046| [47] [Yuuri]
 65: 1049| [45] ["O-okay..."]
 66: 1054| [45] [Kazami quickly started walking off, followed closely by Watase and Yuuri.]
 67: 1059| [45] [But Watase felt something was off about Yuuri.]
 68: 1064| [47] [Watase]
