  0:  140| [55] [√After Chapter 5]
  1:  150| [45] [--Area 1, B2, inner ring--]
  2:  155| [45] [Watase laid Jun down in one of the rooms.]
  3:  163| [47] [Watase]
  4:  166| [45] ["Moribe, are you okay!? Can you hear me!?"]
  5:  171| [47] [Jun]
  6:  172| [45] ["..."]
  7:  177| [45] [Jun didn't wake up no matter how much he called out to her.]
  8:  182| [45] [Watase could tell by the red blotch spreading on her clothes that the wound on her back was bleeding.]
  9:  190| [47] [Watase]
 10:  193| [45] ["Dammit, we need to treat her and fast...!"]
 11:  198| [45] [Ukita quickly spoke up in a strained voice.]
 12:  278| [47] [Ukita]
 13:  281| [45] ["O... okay, Captain Kasasagi! Then I'll keep searching while you treat Moribe!"]
 14:  289| [47] [Watase]
 15:  292| [45] ["What!?"]
 16:  318| [47] [Ukita]
 17:  321| [45] ["I want to find out who was behind those 'footsteps' you heard earlier."]
 18:  329| [47] [Ukita]
 19:  332| [45] ["You stay here and focus on treating Ms. Moribe."]
 20:  340| [47] [Watase]
 21:  343| [45] ["No, you can't do that! It's too dangerous to go off by yourself!"]
 22:  369| [47] [Ukita]
 23:  372| [45] ["I know that, but isn't it also dangerous to put off the search? The clock is ticking here!"]
 24:  380| [47] [Watase]
 25:  383| [45] ["...!"]
 26:  388| [45] [Ukita was absolutely right.]
 27:  393| [45] [Watase silently looked at Ukita as the latter continued.]
 28:  419| [47] [Ukita]
 29:  422| [45] ["Captain Kasasagi, I admit that I may just appear to be a civilian in your eyes."]
 30:  430| [47] [Ukita]
 31:  433| [45] ["But still, I want to save everyone just as much as you do."]
 32:  441| [47] [Watase]
 33:  444| [45] ["... But then I should be the one to go in that case..."]
 34:  470| [47] [Ukita]
 35:  473| [45] ["No, you're better suited for treating her wounds. Moribe will feel a lot more comfortable when she wakes up and sees that you're the one by her side."]
 36:  481| [47] [Ukita]
 37:  484| [45] ["And besides, I know LABO better than anyone else in the group. I won't screw up or get lost by myself here."]
 38:  507| [45] [Ukita smiled as he said that.]
 39:  512| [45] [It looked like he was just bluffing-- but Watase decided to trust what he said.]
 40:  520| [47] [Watase]
 41:  523| [45] ["All right... but don't go too far, you hear?"]
 42:  528| [45] [Watase gave Ukita their spare Procyon.]
 43:  554| [47] [Ukita]
 44:  557| [45] ["Then leave the search of Area 1 up to me. Let us rendezvous up in Area 2 later.%NDoes that sound reasonable?"]
 45:  565| [47] [Watase]
 46:  568| [45] ["Yeah... but be careful, old man."]
 47:  576| [47] [Ukita]
 48:  579| [45] ["Understood."]
 49:  599| [45] [Ukita said that and quickly left the laboratory.]
 50:  644| [45] [Now Watase and Jun were all alone.]
 51:  649| [45] [Watase quickly looked at Jun's back.]
 52:  654| [47] [Watase]
 53:  655| [45] [(I want to use the Chiron to seal this up... but I'm gonna have to take off her clothes to do that.]
 54:  660| [45] [Watase hesitated for a moment, then lifted Jun up slightly--]
 55:  668| [47] [Watase]
 56:  671| [45] ["Sorry about this, Moribe."]
 57:  676| [45] [He then reached out to zip down Jun's uniform-- but then the latter suddenly let out a scream.]
 58:  782| [47] [Jun]
 59:  785| [45] ["Kyah!!"]
 60:  793| [47] [Watase]
 61:  796| [45] ["Whoa!?"]
 62:  837| [47] [Jun]
 63:  840| [45] ["Wh-who's there!? 'the hell you trying to pull!?"]
 64:  845| [45] [Watase frantically called out to Jun as she flailed about wildly.]
 65:  853| [47] [Watase]
 66:  856| [45] ["Calm down, it's just me! Your back was injured, so I was trying to treat it!"]
 67:  904| [47] [Jun]
 68:  907| [45] ["By taking off my clothes!? Just because you're the captain doesn't mean you can abuse your authority like that, you horny perv!"]
 69:  915| [47] [Watase]
 70:  918| [45] ["Horny perv!? I never would've worried about you if I'd know you were this full of energy!"]
 71:  944| [47] [Jun]
 72:  947| [45] ["The 'hell you on about!? And why was 'take off my clothes' your first solution!?%NAll you had to do was cut open the area where I got hurt with some scissors!"]
 73:  955| [47] [Watase]
 74:  958| [45] ["Mmm... well, point taken."]
 75: 1001| [45] [Watase searched through a nearby desk and quickly found a pair of scissors.]
 76: 1009| [47] [Watase]
 77: 1012| [45] ["Found some. Okay then, turn your back to me."]
 78: 1075| [47] [Jun]
