  0:   60| [45] [――そして、運命の日がやってきた。]
  1:   65| [45] [２０３０年９月１６日、６時１９分。]
  2:   70| [45] [ラボの自動化された防災システムが、シリウスに救命要請を発信した。]
  3:   75| [45] [『施設内で、原因不明の爆発事故発生。ただちに出場を願う』]
  4:   80| [45] [渡瀬たちはその要請を受け、ラボに急行した――。]
  5:  150| [45] [防護服を着て並ぶ隊員たちに、渡瀬は言う。]
  6:  158| [47] [渡瀬]
  7:  161| [45] [「よし、全員そのまま聞け！」]
  8:  169| [47] [渡瀬]
  9:  172| [45] [「現在このラボの中には、無数の人が取り残されている！」]
 10:  180| [47] [渡瀬]
 11:  183| [45] [「そして施設の性質上、これは通常の出場では――」]
 12:  188| [45] [――計画は予定通りに動いていた。]
 13:  193| [45] [宇喜多が施設内で爆弾騒ぎを起こし、渡瀬たちはラボへの侵入に成功したのだ。]
 14:  201| [47] [渡瀬]
 15:  204| [45] [「――橘は守部と！　堂島は桧山とツーマンセルだ！」]
 16:  212| [47] [渡瀬]
 17:  215| [45] [「Ｂチームとの連絡を欠かすな！　連携を常に取り続けろ！」]
 18:  278| [45] [そう指示を出し、施設内に４名の部下を送り込む。]
 19:  283| [45] [それからしばらく地上フロアに留まり、他の隊員が計画の妨げにならないよう、現場の指揮を行なった。]
 20:  339| [45] [なお渡瀬たちはすでに、ラボから支給されたＡＤを投与していた。]
 21:  344| [45] [これが被曝防止剤ではなく、対ＢＣ防護剤である事は、すでに宇喜多から聞いている。]
 22:  349| [45] [放射線被曝の恐れはなくとも、これからコミュニケーターを救出するのであれば、ＡＤを投与しておく必要はある。]
 23:  354| [47] [渡瀬]
 24:  355| [45] [（万が一の事を考えとかなきゃまずい）]
 25:  407| [47] [渡瀬]
 26:  408| [45] [（閉じ込められてる被験体たちが、『Ａ』と同等の力を持っているとしたら、ＢＣによって精神を汚染される可能性がある）]
 27:  413| [45] [渡瀬はそう思っていた。]
 28:  464| [45] [――そして６時３４分、堂島と桧山から無線通信が入った。]
 29:  469| [47] [堂島]
 30:  472| [45] [「笠鷺、すぐに地下に来てくれ！」]
 31:  477| [47] [桧山]
 32:  480| [45] [「時間がありません、急いで！」]
 33:  485| [45] [彼らは渡瀬を、隊長とは呼ばなかった。]
 34:  490| [45] [それも当然だ。今日は仕事ではない。]
 35:  495| [45] [この２人とは長年の付き合いであり、仕事を離れれば上下関係なく、互いに同等の口調で話す友なのだ。]
 36:  503| [47] [渡瀬]
 37:  506| [45] [「わかった、そこで待ってろ！」]
 38:  517| [45] [これも手はず通り。]
 39:  522| [45] [司令長がこの無線を傍受していても、怪しまれはしないはずだ。]
 40:  573| [45] [第２エリアで、堂島・桧山と合流する。]
 41:  578| [45] [途中、昨日さんざん脅して縛り上げておいたはずの学生たちと、なぜかまたしても遭遇するなどのアクシデントがあったが――]
 42:  583| [45] [それも退け、渡瀬たちは歩みを進めた。]
 43:  588| [45] [そして気絶させた幹部研究員２名を抱え、今度は第３エリアに向かう。]
 44:  657| [45] [監視ルームに着くと、宇喜多が待っていた。]
 45:  662| [45] [彼は監視ルームで施設内の様子を見ながら、職員たちの避難誘導放送をしていたのだ。]
 46:  670| [47] [宇喜多]
 47:  673| [45] [「おお、ちょうどいいところに来てくれた！」]
 48:  681| [47] [宇喜多]
 49:  684| [45] [「さっき地上と有線電話で話し、職員たちが全員避難したことを確認したよ。その２名を除いてね」]
 50:  690| [45] [『その２名』とは、渡瀬たちが抱えている、幹部研究員たちの事だ。]
 51:  698| [47] [宇喜多]
 52:  701| [45] [「さらにさきほどＢｒａｉｎＣｅｌｌを操作し、ＷＸ粒子増幅器を暴走させた」]
 53:  709| [47] [宇喜多]
 54:  712| [45] [「これでケースＮを発生させれば、隔壁は長時間閉まりっぱなしになる」]
 55:  720| [47] [宇喜多]
 56:  723| [45] [「ＢｒａｉｎＣｅｌｌの計算によれば、『１８時１６分』までな」]
 57:  731| [47] [渡瀬]
 58:  734| [45] [「よし……万事予定通りだな」]
 59:  742| [45] [渡瀬たちは、装備を確認した。]
 60:  747| [45] [Ｎエリアに侵入するためのセキュリティカードは、幹部研究員が持っていたものを奪った。]
 61:  752| [45] [拳銃は、渡瀬と堂島と桧山が１丁ずつ持っている。]
 62:  757| [45] [そしてパイプから脱出する際に使う削岩機。バックアップとしての防火斧。]
 63:  762| [45] [最後に、『テトリル爆弾』―― 一撃でラボ全体を破壊する威力を秘めた、Ｑが用意した時限爆弾だ。]
 64:  916| [47] [宇喜多]
 65:  919| [45] [「……悪いが爆破時刻を、ここでセットしてくれないか。間違いがあったら困る」]
 66:  927| [47] [渡瀬]
 67:  930| [45] [「いいだろう。１８時１７分だな」]
 68:  935| [45] [そう言われた渡瀬は、ＰＤＡを取り出した。]
 69:  980| [45] [このＰＤＡのデータフォルダには、テトリル爆弾の起動用プログラムが仕込まれている。]
 70: 1040| [45] [パスワードを入力し、そのプログラムを立ち上げると、ディスプレイに爆破時刻セット画面が表示された。]
 71: 1287| [47] [渡瀬]
 72: 1290| [45] [「……あとはこれを、Ｚｅｒｏエリアに仕掛けるだけだ」]
 73: 1298| [47] [宇喜多]
 74: 1301| [45] [「いよいよ後戻りはできないな」]
 75: 1306| [45] [宇喜多の言葉に、渡瀬は神妙にうなずいた。]
 76: 1311| [45] [プログラムは爆弾起動用のものだけで、停止用のものは存在しない。]
 77: 1316| [45] [８時１７分からは解体防止用のセンサーも起動し、誰にも止められなくなるのだ。]
 78: 1363| [47] [渡瀬]
 79: 1366| [45] [「じゃあ俺たちはＺｅｒｏエリアに降り、被験体を救出してくる」]
 80: 1374| [47] [宇喜多]
 81: 1377| [45] [「僕はここに留まり、不測の事態が起きないかどうか見張っておこう」]
 82: 1385| [47] [宇喜多]
 83: 1388| [45] [「なおＮエリアのＷＸ粒子は、今から２０分もすれば『４０００ｍＳｖ』を超えるはずだ」]
