  0:  139| [55] [√Double Chapter 2]
  1:  151| [45] [--The body had vanished.]
  2:  156| [45] [Watase was momentarily frozen in confusion in the face of that bizarre phenomenon happening to him again, but--]
  3:  161| [47] [Watase]
  4:  162| [45] [(C-calm down...!)]
  5:  167| [47] [Watase]
  6:  168| [45] [(Maybe someone just moved the body to another location, that's all.)]
  7:  173| [45] [But if that were true, then who would do something like that?]
  8:  298| [45] [Kazami?]
  9:  335| [45] [Jun?]
 10:  372| [45] [Ukita?]
 11:  393| [45] [Or--?]
 12:  398| [45] [No amount of thinking could bring Watase to the truth.]
 13:  403| [47] [Watase]
 14:  404| [45] [(... No, now's not the time for this...)]
 15:  409| [47] [Watase]
 16:  410| [45] [(My top priority right now needs to be finding that Mashiro girl and saving her...)]
 17:  430| [45] [Watase then pushed his thoughts aside.]
 18:  436| [45] [He walked over to the lift's control panel and tried repairing it.]
 19:  447| [47] [Watase]
 20:  448| [45] [(Uh, so first, I should put this here...)]
 21:  453| [45] [Watase went through a whole process of trial and error figuring out how the part he got from Natsuhiko connected with the broken panel on the wall.]
 22:  458| [47] [Watase]
 23:  459| [45] [(No, maybe that's not it... I've gotta take these wires and connect them to this...)]
 24:  464| [47] [Watase]
 25:  465| [45] [(This is the "open" button, so this must be the "close" button...)]
 26:  522| [45] [He manually connected the torn off wires and kept clicking the button over and over again,%Nand soon enough--]
 27:  576| [47] [Watase]
 28:  579| [45] ["... Oh!"]
 29:  584| [45] [He heard the control panel beep.]
 30:  596| [45] [Followed by the sound of the lift going down.]
 31:  604| [47] [Watase]
 32:  607| [45] ["I-I did it!"]
 33:  612| [45] [Watase found himself instinctively pumping his fist triumphantly.]
 34:  617| [47] [Watase]
 35:  618| [45] [(I just hope that I'll find Mashiro Toba in there when these doors open...)]
 36:  623| [47] [Watase]
 37:  624| [45] [(This is the only place I haven't looked yet, after all... Please be in there...!)]
 38:  769| [45] [The sound of the lift descending filled Watase's ears as he thought that.]
 39:  814| [45] [And when the doors opened--]
 40:  837| [47] [Watase]
 41:  840| [45] ["!!"]
 42:  845| [45] [--he found himself faced with a lone girl lying there.]
 43:  853| [47] [Watase]
 44:  856| [45] ["Huh... Huh!? What the... Hey!"]
 45:  861| [45] [Watase ran over to her as horror filled him.]
 46:  866| [45] [The last survivor had indeed been on the lift-- but she was horribly injured.]
 47:  874| [47] [Watase]
 48:  877| [45] ["H-hey, are you okay!?"]
 49:  885| [47] [???]
 50:  888| [45] ["..."]
 51:  898| [45] [The girl's face was so pale...]
 52:  908| [45] [... that it almost distracted him from the blood pouring down her arm.]
 53:  913| [45] [She didn't respond to Watase's cries.]
