  0:   46| [55] [√After Chapter 4]
  1:   61| [45] [--Area 5, outer ring, B2, neuroscience laboratory--]
  2:   66| [45] [Watase, Kazami, and Jun filed into the room.]
  3:   71| [45] [Ena and Ukita were not far behind. But no one had seen Yuuri.]
  4:  178| [47] [Ena]
  5:  181| [45] ["I checked B2, but I didn't find her."]
  6:  189| [47] [Ukita]
  7:  192| [45] ["Me neither..."]
  8:  200| [47] [Kazami]
  9:  203| [45] ["... So we've really lost sight of her, huh..."]
 10:  208| [45] [The gloomy look on Kazami's face as she said that led Watase to bow his head.]
 11:  216| [47] [Watase]
 12:  219| [45] ["... I'm sorry."]
 13:  245| [47] [Jun]
 14:  248| [45] ["It's not your fault. None of us had any more luck than you did..."]
 15:  253| [45] [Ukita suddenly spoke up when he heard Jun's comment.]
 16:  325| [47] [Ukita]
 17:  328| [45] ["... It's not his fault? I wonder about that."]
 18:  336| [47] [Watase]
 19:  339| [45] ["Huh?"]
 20:  365| [47] [Ukita]
 21:  368| [45] ["This has been bothering me for a while now, but... Yuuri always acted as if she were afraid of you, did she not?"]
 22:  376| [47] [Watase]
 23:  379| [45] ["...!"]
 24:  391| [45] [That was the exact same thing that'd been bugging Watase this whole time, but--]
 25:  396| [47] [Watase]
 26:  397| [45] [(So someone else has finally pointed it out...!)]
 27:  402| [45] [But Kazami quizzically asked a question of her own.]
 28:  428| [47] [Kazami]
 29:  431| [45] ["... Um, what do you mean by that, Mr. Ukita?"]
 30:  457| [47] [Ukita]
 31:  460| [45] ["I mean what I said."]
 32:  468| [47] [Ukita]
 33:  471| [45] ["I trust you recall that Yuuri vanished once when were searching Area 3?"]
 34:  479| [47] [Watase]
 35:  482| [45] ["Y-yeah..."]
 36:  510| [45] [Watase found himself unconsciously raising his voice. Ukita's observation had hit too close to home.]
 37:  518| [47] [Watase]
 38:  521| [45] ["H-hey old man, what's that supposed to mean!?"]
 39:  547| [47] [Ukita]
 40:  550| [45] ["Hmph, I mean what I said."]
 41:  558| [47] [Ukita]
 42:  561| [45] ["I trust you recall that Yuuri vanished once when were searching Area 3?"]
 43:  569| [47] [Watase]
 44:  572| [45] ["What's that got to do with anything?"]
 45:  580| [47] [Ukita]
 46:  583| [45] ["I've suspected this whole time that Yuuri was in fact trying to run away from you."]
 47:  591| [47] [Watase]
 48:  594| [45] ["What!?"]
 49:  620| [47] [Ena]
 50:  623| [45] ["Mr. Ukita... what makes you think that?"]
 51:  649| [47] [Ukita]
 52:  652| [45] ["Wait, did none of you notice it?"]
