  0:   47| [55] [√After Chapter 1]
  1:   58| [45] [--]
  2:   63| [45] [----]
  3:   68| [45] [------His consciousness was in an endless darkness.]
  4:   73| [45] [A world where everything was closed off.]
  5:   78| [45] [Sight, hearing, touch, smell, taste... he'd been disconnected from all his senses.]
  6:   83| [45] [It didn't feel like there was a world around for him to experience at all.]
  7:   88| [47] [???]
  8:   89| [45] [(Where am I...?)]
  9:   94| [45] [He didn't know.]
 10:   99| [45] [His head was a total blank.]
 11:  104| [47] [???]
 12:  105| [45] [(What is this...?)]
 13:  110| [45] [All he could sense was a feeling of loss.]
 14:  115| [47] [???]
 15:  116| [45] [(What's... going on...?)]
 16:  121| [45] [It felt like he was lacking anything definitive.]
 17:  126| [47] [???]
 18:  127| [45] [(How did this happen?)]
 19:  132| [45] [He desperately tried to figure out why.]
 20:  137| [45] [Soon enough, fragmented images twinkled in the corners of his mind.]
 21:  220| [47] [???]
 22:  221| [45] [(...!)]
 23:  226| [47] [???]
 24:  227| [45] [(I see...)]
 25:  232| [47] [???]
 26:  233| [45] [(So that thing attacked me--)]
 27:  316| [45] [Is this death!?]
 28:  399| [45] [No...!]
 29:  482| [45] [The sound of a beating heart-- echoed inside him.]
 30:  487| [45] [He knew for sure he could perceive that.]
 31:  499| [45] [This guy is--]
 32:  504| [45] [No, not "this guy"...!]
 33:  509| [47] [???]
 34:  510| [45] [(I'm...!)]
 35:  570| [45] [... alive...!]
 36:  575| [45] [Sight, hearing, smell, taste, touch-- pain--]
 37:  580| [45] [I have all of those senses...!]
 38:  585| [45] [My body and consciousness are right here...]
 39:  590| [47] [???]
 40:  591| [45] [(I'm right here...!!)]
 41:  597| [45] [........]
 42:  602| [45] [--------]
 43:  713| [47] [Woman 1]
 44:  716| [45] ["--tain!"]
 45:  724| [47] [Woman 1]
 46:  727| [45] ["... Captain, please hang in there! Captain!"]
 47:  735| [47] [Woman 2]
 48:  738| [45] ["Get up, Captain! C'mon!"]
 49:  743| [45] [With the sound of those voices suddenly filling his ears--]
 50:  748| [45] [The man opened his eyes.]
 51:  948| [47] [Woman 1]
 52:  951| [45] ["Ah...! You've finally come to, haven't you!?"]
 53:  998| [47] [Woman 2]
 54: 1001| [45] ["W-what a relief! I thought you bit it there for a sec!"]
 55: 1009| [47] [Man]
 56: 1012| [45] ["...?"]
 57: 1017| [45] [The man said nothing as the women before him started addressing him.]
 58: 1064| [47] [Woman 2]
 59: 1067| [45] ["But what the heck are you doing here, Captain!? Shouldn't you be at the command post!?"]
 60: 1075| [47] [Woman 1]
 61: 1078| [45] ["More importantly, can you say your own name, or what day and month it is today?"]
 62: 1086| [47] [Man]
 63: 1089| [45] ["... What... huh?"]
 64: 1094| [45] [The man already felt confused in the face of the sudden storm of questions he'd been sucked into.]
 65: 1099| [45] [He first tried to grasp the situation around him.]
 66: 1104| [45] [The women in front of him were wearing orange uniforms.]
 67: 1109| [47] [Man]
 68: 1110| [45] [(So they're firefighters... no, rescue workers?)]
 69: 1115| [45] [Their uniforms were covered in soot.]
 70: 1120| [45] [Disaster, accident, rescue-- vague images related to those words swirled around the man's mind.]
 71: 1128| [47] [Man]
 72: 1131| [45] ["Who a-- no, where am I...?"]
 73: 1178| [47] [Woman 1]
 74: 1181| [45] ["Ah, you shouldn't sit up yet!"]
 75: 1234| [45] [The man ignored her warnings and sat up, then checked his surroundings.]
