  0:   48| [55] [√Double Chapter6]
  1:   59| [47] [夏彦]
  2:   60| [45] [（『ぼくたち、センシズシンパシーの使い手が残る』……！？）]
  3:   65| [45] [一瞬、そう思った。]
  4:  123| [45] [だが、風見の真意がわからない。]
  5:  205| [45] [それを問いただそうと風見を見ると、彼女からテレパシーが送られてきた。]
  6:  235| [47] [風見]
  7:  238| [45] [《天川くん、落ち着いて聞いて下さい……》]
  8:  243| [47] [風見]
  9:  246| [45] [《全員が生き残る術を、１つだけ思いつきました》]
 10:  254| [47] [夏彦]
 11:  257| [45] [《え！？》]
 12:  262| [45] [その言葉に、夏彦は目を見開いた。]
 13:  286| [47] [風見]
 14:  289| [45] [《ただそのためには、我々が地下に残らなければならないのです》]
 15:  297| [47] [夏彦]
 16:  300| [45] [《ちょ、ちょっと待って下さい！》]
 17:  308| [47] [夏彦]
 18:  311| [45] [《ぼくらが残るのと、全員が助かるのとに、なんの関係があるんですか？》]
 19:  335| [47] [風見]
 20:  338| [45] [《残るメンバーは誰でも良いんですが、誰が残ると言っても、激しい議論になるでしょう》]
 21:  343| [47] [風見]
 22:  346| [45] [《この状況下で、議論に時間を割くのは致命的です》]
 23:  370| [47] [風見]
 24:  373| [45] [《ですが我々なら、皆をスムーズに『説得』できるはずです》]
 25:  381| [47] [夏彦]
 26:  384| [45] [《……！》]
 27:  389| [45] [そこまで聞いて、夏彦もようやく風見の意図がわかった。]
 28:  397| [47] [夏彦]
 29:  400| [45] [《記憶操作で、皆を『説得』すると……！？》]
 30:  424| [47] [風見]
 31:  427| [45] [《はい》]
 32:  451| [47] [風見]
 33:  454| [45] [《私が残ると言ったら、渡瀬や洵が納得しないでしょう》]
 34:  478| [47] [風見]
 35:  481| [45] [《しかし、その原因――例えば、私と渡瀬たちの関係性をうまく改竄すれば――》]
 36:  486| [47] [風見]
 37:  489| [45] [《渡瀬たちも、すんなり聞き入れてくれるはずです》]
 38:  494| [47] [夏彦]
 39:  495| [45] [《……》]
 40:  519| [47] [風見]
 41:  522| [45] [《……わかってください、天川くん。時間がないんです》]
 42:  527| [47] [風見]
 43:  530| [45] [《私は渡瀬や洵を死なせたくはありません。もちろん他の方々も》]
 44:  554| [47] [風見]
 45:  557| [45] [《天川くんも、鳥羽さんや三ノ宮さんを死なせたくはないでしょう？》]
 46:  562| [47] [風見]
 47:  565| [45] [《そのためには、この方法しかないんです》]
 48:  570| [45] [その言葉と共に、風見の覚悟が伝わってきた。]
 49:  575| [45] [だが夏彦は慎重に、問いを重ねる。]
 50:  583| [47] [夏彦]
 51:  586| [45] [《……それでぼくと悠里と橘さんが地下に残ったとして……》]
 52:  594| [47] [夏彦]
 53:  597| [45] [《ぼくらが生き残る方法は？》]
 54:  621| [47] [風見]
 55:  624| [45] [《私は職業柄、爆発物に関する知識が豊富でして》]
 56:  629| [47] [風見]
 57:  632| [45] [《Ｚｅｒｏエリアで発生した爆風が到達しない場所について、先ほどから考えていました》]
 58:  640| [47] [夏彦]
 59:  643| [45] [《あるんですか！？》]
 60:  697| [47] [風見]
 61:  700| [45] [《えぇ。ファクトリーの奥、搬出リフトがあった小部屋です》]
 62:  705| [47] [風見]
 63:  708| [45] [《あそこなら大丈夫だと思われますが、一応念のため、６人は先に逃がしたい……》]
 64:  766| [47] [風見]
 65:  769| [45] [《それが私の計画の全てです》]
 66:  774| [47] [風見]
 67:  777| [45] [《信頼して頂けますか……！？》]
 68:  782| [45] [風見が夏彦を見つめる。]
 69:  787| [45] [その目には、一切の曇りがない。]
 70:  792| [45] [人の命を救うため、命を賭け続けてきた女性の瞳。]
 71:  797| [45] [その瞳を見て、夏彦も彼女を信じようと思った。]
 72:  805| [47] [夏彦]
 73:  808| [45] [《わかりました……橘さんに賭けてみようと思います》]
 74:  816| [47] [夏彦]
 75:  819| [45] [《改竄のやり方について、詳細を教えてください》]
 76:  843| [47] [風見]
 77:  846| [45] [《……！　ご協力感謝します！》]
 78:  851| [45] [風見は頭を下げ、それから計画の骨子を話した。]
 79:  875| [47] [風見]
 80:  878| [45] [《重要なのは、全員の記憶をほぼ同時に改竄する事です》]
 81:  883| [47] [風見]
 82:  886| [45] [《改竄の時間に差が出ると、必ず騒ぎ始める人が出てきます》]
 83:  891| [47] [風見]
 84:  894| [45] [《ですから私と天川くんと悠里さんの３人で、２人ずつ記憶を改竄していくべきかと》]
 85:  902| [47] [夏彦]
 86:  905| [45] [《改竄の内容は？》]
 87:  929| [47] [風見]
 88:  932| [45] [《与えるべきは、他の６人が私たちの事を気にせず、逃げられるようにする記憶――》]
 89:  937| [47] [風見]
 90:  940| [45] [《つまり、『爆弾なんて存在しない』という事です》]
 91:  945| [47] [風見]
 92:  948| [45] [《その代わりに、『隔壁は誰かが制御室から開けない限り、あと２４時間開かない』という偽の情報》]
 93:  953| [47] [風見]
 94:  956| [45] [《それさえ伝えれば、皆は素直に逃げてくれるはずです》]
 95:  964| [47] [夏彦]
 96:  967| [45] [《……！》]
 97:  972| [45] [やや不安ではあるが、それしか方法はなさそうだ。]
 98:  977| [45] [風見と同様、夏彦ももう覚悟を決めていた。]
 99:  985| [47] [夏彦]
100:  988| [45] [《了解です！　悠里にもそう伝えればいいんですね！？》]
101: 1012| [47] [風見]
102: 1015| [45] [《お願いします！》]
103: 1078| [45] [夏彦はうなずき、悠里にテレパシーを送った。]
104: 1139| [47] [夏彦]
105: 1142| [45] [《悠里、聞こえるか！？》]
