  0:  127| [55] [√Before Chapter6]
  1:  136| [47] [夏彦]
  2:  139| [45] [「走れ！　２人とも走れ！」]
  3:  144| [45] [そう声を上げながら、夏彦たちは必死で走った。]
  4:  161| [47] [サリュ]
  5:  164| [45] [「とにかく人気のない方に逃げよう。人ごみの中では、誰が保安課員か識別しにくくなる」]
  6:  178| [45] [サリュの言葉に従い、市街とは反対の方向に逃げた。]
  7:  183| [45] [昨夜の逃走とは状況が違う。]
  8:  188| [45] [あの時は闇に乗じて逃げられたが、今回は純粋に脚力の勝負だ。]
  9:  193| [45] [サリュはまだまだ走れそうだが――]
 10:  210| [47] [ましろ]
 11:  213| [45] [「はぁっ、はぁっ……！」]
 12:  218| [45] [ましろの荒い息遣いが聞こえた。]
 13:  223| [45] [スタミナが尽きつつあるのかもしれない。]
 14:  237| [45] [夏彦はましろの手を引いて走り、やがて男たちを振り切ったかと思った時、]
 15:  293| [47] [夏彦]
 16:  294| [45] [（！）]
 17:  299| [45] [行く手に車が現れた。]
 18:  304| [45] [鹿鳴市の市章のペイントがなされている。]
 19:  371| [47] [ましろ]
 20:  374| [45] [「また保安課！？」]
 21:  382| [47] [夏彦]
 22:  385| [45] [「２人とも、こっちだ！」]
 23:  439| [45] [夏彦は方向転換し、脇道に入った。]
 24:  444| [45] [車では入れなさそうな、細い未舗装の道路を行く。]
 25:  491| [47] [夏彦]
 26:  494| [45] [「まずいぞ、このままじゃいつか追いつかれる！」]
 27:  502| [47] [サリュ]
 28:  505| [45] [「どこか隠れる場所はない？」]
 29:  513| [47] [ましろ]
 30:  516| [45] [「わ、わかんないよ！」]
 31:  521| [45] [ましろが悲痛に叫ぶ。]
 32:  526| [45] [その声は上ずっていて、ひどく苦しそうだ。]
 33:  531| [45] [ましろは決して脚が速くはないし、体力がある方でもないのだ。]
 34:  536| [47] [夏彦]
 35:  537| [45] [（くそっ、このままじゃましろが――）]
 36:  542| [45] [ひとまず保安課員の気配は消えていたが、足を止めるわけにはいかない。]
 37:  547| [45] [足取りを追われないよう、細い道を闇雲に走る。]
 38:  555| [47] [ましろ]
 39:  558| [45] [「はっ、はっ、はっ……」]
 40:  566| [47] [ましろ]
 41:  569| [45] [「ま、待って、もうダメっ……！」]
 42:  574| [45] [やがてましろが、ついに音を上げた。]
 43:  579| [45] [だがその時、道の脇の草むらの向こうに、古びた建物が見えた。]
 44:  587| [47] [夏彦]
 45:  590| [45] [「ッ！　あれだ、あそこに隠れよう！」]
 46:  598| [47] [ましろ]
 47:  601| [45] [「え、あ、うん！」]
 48:  606| [45] [そうして夏彦たちは転がり込むように、その建物に入った。]
 49:  706| [45] [――そこは薄暗い、廃屋らしき場所だった。]
 50:  711| [45] [広さはかなりあるが、人の気配はない。]
 51:  716| [45] [そこで３人は、それぞれ息をついた。]
 52:  724| [47] [夏彦]
 53:  727| [45] [「はぁっ、はぁっ、はぁっ、はぁっ……」]
 54:  804| [47] [ましろ]
 55:  807| [45] [「ぜひ～……ぜひ～っ……」]
 56:  815| [47] [サリュ]
 57:  818| [45] [「……ふぅ」]
 58:  826| [47] [夏彦]
 59:  829| [45] [「はぁ～っ……こ、ここなら少しは、奴らの目もごまかせるかな……？」]
 60:  855| [47] [サリュ]
 61:  858| [45] [「可能性は高い。入るとき確認したけど、入口の付近には監視カメラはなかった」]
 62:  884| [47] [ましろ]
 63:  887| [45] [「よ、よかった……正直、ヤバかった……」]
 64:  892| [45] [ましろもようやく復活してきたらしく、息を整えながら言った。]
 65:  897| [45] [そしてあたりを見回し、ふと何かに気づいたような顔をする。]
 66:  923| [47] [ましろ]
 67:  926| [45] [「……あれ、ここって」]
 68:  934| [47] [夏彦]
 69:  937| [45] [「ん、どうした？」]
 70:  963| [47] [ましろ]
 71:  966| [45] [「いや、ここ、『秘密基地』じゃない？」]
 72:  974| [47] [夏彦]
 73:  977| [45] [「え？　……あ、ホントだ」]
 74:  982| [45] [言われて夏彦も気が付いた。]
 75:  987| [45] [そこは夏彦たちが子供の頃、秘密基地などと名づけて、遊び場にしていた廃工場だった。]
 76:  995| [47] [夏彦]
 77:  998| [45] [「変わらないな……あの頃のままだ」]
 78: 1024| [47] [ましろ]
 79: 1027| [45] [「このくらい大きいと、壊すのもお金かかるからね」]
 80: 1035| [47] [夏彦]
 81: 1038| [45] [「……ちょうどいい、勝手知ったる基地だし。ちょっとここで休んでいこう」]
 82: 1110| [47] [ましろ]
 83: 1113| [45] [「例によって、ほとぼりが冷めるのを待とうか」]
 84: 1118| [45] [夏彦たちは汗を拭き、そして壁にもたれた。]
 85: 1123| [45] [サリュもさすがに、少し疲れたように呟く。]
 86: 1149| [47] [サリュ]
 87: 1152| [45] [「それにしても、保安課のせいで動き回るのが困難」]
 88: 1178| [47] [ましろ]
 89: 1181| [45] [「うん……やっかいなのを敵に回しちゃったねぇ」]
 90: 1215| [47] [ましろ]
 91: 1218| [45] [「私たちが守りたいと願う街の人々が、敵になるだなんて……皮肉なもんだよ」]
