  0:   51| [55] [√After Chapter1]
  1:   65| [45] [階段室を出るなり、風見が近くにあった部屋に歩み寄って言う。]
  2:  127| [47] [風見]
  3:  130| [45] [「ここが我々が設けた簡易基地です」]
  4:  156| [47] [風見]
  5:  159| [45] [「各部屋の扉を開けるときは、こちらのボタンを押すだけで結構ですので」]
  6:  170| [45] [風見が扉の脇のボタンを押すと、それが開いた。]
  7:  219| [45] [そこは６畳ほどの、小さな研究室だった。]
  8:  224| [45] [部屋の一角に、様々な機材が置かれている。それらは風見たちが持ち込んだ装備品らしかった。]
  9:  287| [47] [風見]
 10:  290| [45] [「では隊長、このラボの構造を説明します。こちらにおいで下さい」]
 11:  298| [47] [渡瀬]
 12:  301| [45] [「あぁ、頼む」]
 13:  306| [45] [風見は机にあったペンを取り、書類の裏に簡単な図面を引いた。]
 14:  407| [47] [風見]
 15:  410| [45] [「中心にある円形状のエリアが、メルトダウンを起こしたと思しき原子炉がある、特別高度実験棟――通称『Ｎエリア』です」]
 16:  418| [47] [風見]
 17:  421| [45] [「このＮエリアを、他の６つのエリアが取り囲んでいます」]
 18:  429| [47] [風見]
 19:  432| [45] [「各エリアには内周棟と外周棟があり、内周棟は外周棟より少し小さいようです」]
 20:  458| [47] [風見]
 21:  461| [45] [「さらに各エリアは、地上２階、地下２階の４階層になってますが――」]
 22:  469| [47] [風見]
 23:  472| [45] [「先ほど申し上げたとおり、地上に繋がる全ての出入口には、隔壁が降りています」]
 24:  480| [47] [渡瀬]
 25:  483| [45] [「なるほど……オレたちは地下１階と地下２階でしか行動できないって事だな」]
 26:  491| [47] [渡瀬]
 27:  494| [45] [「で、いまオレたちはどこにいるんだ？」]
 28:  520| [47] [風見]
 29:  523| [45] [「それはこちらの――」]
 30:  586| [47] [風見]
 31:  589| [45] [「第２エリアの内周棟、地下２階です」]
 32:  597| [47] [風見]
 33:  600| [45] [「隊長が倒れていたのは、第１エリア内周棟のこのあたりです」]
 34:  681| [47] [風見]
 35:  684| [45] [「隔壁が降りてから現在に至るまでの約２時間、私と守部で第１・第２エリアの捜索を行いましたが……」]
 36:  692| [47] [風見]
 37:  695| [45] [「隊長とユウリさんの他に、要救助者は発見できませんでした。むろん脱出経路もです」]
 38:  776| [47] [風見]
 39:  779| [45] [「地上に続く非常階段は各棟にありますが、全て隔壁が降りている事を確認済み」]
 40:  787| [47] [風見]
 41:  790| [45] [「しかも第２エリア内周棟の１箇所を除き、階段そのものが爆発で崩れてしまっています」]
 42:  853| [47] [渡瀬]
 43:  856| [45] [「……って事は、他の要救助者を探すにしても、脱出の手掛かりを探すにしても、次は第３エリアに行かなきゃいけないのか」]
 44:  882| [47] [風見]
 45:  885| [45] [「いえ、それもそうはいかないのです」]
 46:  893| [47] [渡瀬]
 47:  896| [45] [「なぜ？」]
 48:  904| [47] [風見]
 49:  907| [45] [「各エリアをつなぐ通路には、『セキュリティゲート』が設けられているのです」]
 50:  915| [47] [風見]
 51:  918| [45] [「さきほど隊長も、連絡通路を塞ぐゲートを見たでしょう？」]
 52: 1004| [47] [渡瀬]
 53: 1007| [45] [「そう言えば、そんなのあったな……」]
 54: 1015| [47] [風見]
 55: 1018| [45] [「あのゲートにはロックがかかってまして、開けるためにはこの『セキュリティカード』が必要になります」]
 56: 1029| [45] [そう言って風見は、懐からカードを取り出した。]
 57: 1055| [47] [風見]
 58: 1058| [45] [「これは捜索開始当初、たまたま通路に落ちていたものです」]
 59: 1063| [45] [首から提げるためのストラップが着いた、プラスチック素材の小さなカード。]
