  0:   46| [55] [√Current Chapter 2]
  1:   59| [45] [Watase's search continued fruitlessly--]
  2:   65| [45] [There were no results in the effort to rejoin with Ukita, and so the search continued--]
  3:  122| [45] [--eventually ending at the "reference room".]
  4:  127| [45] [Watase looked toward one of the bookshelves inside and found it to be tightly packed with books and theses.]
  5:  132| [45] ["An Introduction to the Informational Field Theory/Author: Miyoko Tenkawa"]
  6:  137| [45] ["Elementary Particles, Information, and Consciousness/Author: Miyoko Tenkawa"]
  7:  142| [45] ["ESP Synchronization Hypothesis/Author: Antoine Courbet  Translator: Miyoko Tenkawa"]
  8:  147| [45] ["Cerebrum: Labyrinth of Physiology/Author: Ryoken Kashiwagi"]
  9:  152| [45] ["Unbinding from Pseudoscience: The Future and Prospects of Parapsychology/Author: Koki Sumida"]
 10:  157| [45] ["Before Crime * After Days/Author: Chikage Sonomura"]
 11:  162| [45] ["Particles, the Mind, and the Brain/Author: Shuuya Eriguchi"]
 12:  167| [47] [Natsuhiko]
 13:  168| [45] [(... A lot of these seem to be written by Mom, but--)]
 14:  173| [47] [Natsuhiko]
 15:  174| [45] [("Informational field"? "ESP synchronization"? What on Earth is Mom researching?)]
 16:  179| [47] [Natsuhiko]
 17:  180| [45] [(Do those things relate to nuclear power research...?)]
 18:  185| [45] [As if influenced by the curiosity in Natsuhiko's consciousness, Watase picked up the book "An Introduction to the Informational Field Theory/Author: Miyoko Tenkawa".]
 19:  229| [45] ["An Introduction to the Informational Field Theory"]
 20:  232| [85] [　]
 21:  235| [45] [<Foreword>]
 22:  238| [45] [In modern physics, all phenomena that shape the natural world can be explained with four fundamental forces.]
 23:  241| [45] [But there are phenomena such as the accelerating universe and so on that cannot be explained by these four fundamental forces alone.]
 24:  244| [45] [It has become clear from recent high precision observation that the rate at which the universe expands accelerates with time.]
 25:  247| [45] [It is from that survey that the theory of an unknown energy known as dark energy (repulsive gravity) was born.]
 26:  250| [45] [But if dark energy supposedly does exist, then what is it?]
 27:  253| [45] [Various conjectures have been conceived, but they are all merely speculation.]
 28:  257| [85] [ %N]
 29:  260| [45] [Thus I continued to look into that force from the perspective of an elementary particle physicist, and formulated a hypothesis:]
 30:  263| [45] [Could it be "information"?]
 31:  266| [45] [If a fifth fundamental force does indeed exist, there is a high possibility that it is in fact "information".]
 32:  269| [45] [I used a numerical formula to express the equivalence of information volume and energy,]
 33:  272| [45] [then after deriving its value, I discovered that said value completely matched up with the rate of universal expansion.]
 34:  275| [45] [In other words--]
 35:  301| [47] [Natsuhiko]
 36:  302| [45] [(Dark energy...?)]
 37:  307| [47] [Natsuhiko]
 38:  308| [45] [(I don't really get it, but Mom seems to think its true form is "information", huh.)]
 39:  313| [47] [Natsuhiko]
 40:  314| [45] [(Now that I think about it, Prof. Tsubakiyama said that information is a type of energy during her lecture too, didn't she?)]
 41:  319| [47] [Natsuhiko]
 42:  320| [45] [(But what is this thesis trying to say, then...?)]
 43:  364| [45] [--The following conjecture is based off this theory.]
 44:  367| [85] [　]
 45:  370| [45] [* Even information itself can exist independently, and can possibly interact (be conveyed) without the use of other forces as an intermediary.]
 46:  373| [45] [* For example, since a human's thoughts are a type of "information", they can communicate with others without the need for those thoughts to be converted into another medium (such as electrical signals).]
 47:  376| [85] [　]
 48:  379| [45] [This is a somewhat extreme expression I am using here, but this is the gist of the "informational field hypothesis".]
 49:  382| [45] [The "informational field" is the place where "information" operates (as the fifth fundamental force/energy).]
 50:  385| [45] [If we are to consider this by using the human brain as an example, the "informational field" generated from thought information may in fact be what we call the "consciousness".]
 51:  395| [45] [It is still unclear as of this point as to what the process that creates a "consciousness" entails.]
 52:  398| [45] [All we do know is that a consciousness is generated inside the brain when]
 53:  401| [45] ["countless memories = fragments of information" and "electric signals running through the synapses" interact.]
