  0:   97| [55] [√Current Chapter 3]
  1:  117| [47] [Ukita]
  2:  120| [45] ["Dammit, lost sight of him...!"]
  3:  188| [45] [Watase and Ena had escaped their pursuers and were now hiding in a room in Area 2's inner ring.]
  4:  196| [47] [Watase]
  5:  199| [45] ["... Sounds like they're gone."]
  6:  234| [47] [Ena]
  7:  237| [45] ["Yes..."]
  8:  242| [45] [Natsuhiko gazed at Ena through Watase's eyes.]
  9:  247| [45] [She had a tense, relentless look on her face one would never expect to see from a teacher.]
 10:  252| [47] [Natsuhiko]
 11:  253| [45] [(Professor... I can believe in you, can't I?)]
 12:  258| [45] [Natsuhiko thought about how much he wanted to ask her if he could-- but that moment,]
 13:  263| [45] [a strange sensation struck him.]
 14:  438| [47] [Natsuhiko]
 15:  439| [45] [(...?)]
 16:  444| [45] [His five senses suddenly blurred.]
 17:  612| [47] [Natsuhiko]
 18:  613| [45] [(What... what is this feeling...?)]
 19:  618| [45] [He knew that there should've been light. That there should've been sound. And yet--]
 20:  626| [47] [Watase]
 21:  629| [45] ["Why did-- stick up for--... ack there?"]
 22:  655| [47] [Ena]
 23:  658| [45] ["--... Because I--... al motives--... e too."]
 24:  663| [45] [For some reason, he couldn't perceive the world correctly.]
 25:  668| [45] [It was as if he had been struck with intense drowsiness...]
 26:  836| [47] [Natsuhiko]
 27:  837| [45] [(Oh no... my consciousness... is dulling...)]
 28:  863| [47] [Ena]
 29:  866| [45] ["Ta--... ok--... this."]
 30:  874| [47] [Watase]
 31:  877| [45] ["--... is?"]
 32:  882| [45] [Ena was showing something to Watase.]
 33:  887| [45] [But Natsuhiko couldn't tell what.]
 34:  892| [47] [Natsuhiko]
 35:  893| [45] [(That's strange. Why am I)]
 36:  898| [45] [drowsy?]
 37:  903| [47] [Natsuhiko]
 38:  904| [45] [(Wait, could this be--)]
 39:  909| [45] [The BC energy]
 40:  914| [45] [lingering within Watase]
 41:  919| [45] [was starting to run out...]
 42:  924| [47] [Natsuhiko]
 43:  925| [45] [(Am I disappearing!?)]
 44:  930| [45] [--Disappearing?]
 45:  935| [45] [Me?]
 46:  940| [45] [--My consciousness!?]
 47:  945| [47] [Natsuhiko]
 48:  946| [45] [(N-no way...!)]
 49:  951| [45] [Natsuhiko struggled to brace his fading consciousness.]
 50: 1119| [45] [And rapidly--]
 51: 1127| [47] [Watase]
 52: 1130| [45] ["--... we do? Moribe and old man Ukita don't trust me at all, you know?"]
 53: 1156| [47] [Ena]
 54: 1159| [45] ["... now, so that's why--"]
 55: 1164| [45] [--he became able to understand the subject of their conversation.]
 56: 1172| [47] [Watase]
 57: 1175| [45] ["Wha... you're not saying you plan to go alone, are you?"]
 58: 1201| [47] [Ena]
 59: 1204| [45] ["Of course I am. If you came along with me with things being the way they are now, all you'd do is make things harder for me."]
 60: 1212| [47] [Watase]
 61: 1215| [45] ["Well, yeah, I guess, but..."]
 62: 1241| [47] [Ena]
 63: 1244| [45] ["I'll be right back, so wait here, okay?"]
 64: 1249| [45] [Apparently Ena intended to leave by herself.]
 65: 1254| [47] [Natsuhiko]
 66: 1255| [45] [(Don't do it, Professor... That's clearly way too dangerous...!)]
 67: 1260| [45] [But Watase showed no hint of trying to stop her.]
 68: 1265| [47] [Natsuhiko]
 69: 1266| [45] [(Hey, I'm begging you! Please stop Prof. Tsubakiyama!)]
 70: 1376| [45] [Natsuhiko shook off his intense drowsiness and mustered all of his consciousness.]
 71: 1381| [45] [The sound. The light. All five of his senses came back to life.]
 72: 1386| [45] [--And at the same time, Watase sprang into action.]
 73: 1394| [47] [Watase]
 74: 1397| [45] ["No, hold on! That's too dangerous!"]
 75: 1423| [47] [Ena]
 76: 1426| [45] ["Huh?"]
 77: 1434| [47] [Watase]
 78: 1437| [45] ["Those guys are already suspicious of you after the whole gun incident."]
 79: 1445| [47] [Watase]
 80: 1448| [45] ["Anything could happen if they see you now."]
 81: 1474| [47] [Ena]
 82: 1477| [45] ["But... then what are we supposed to do?"]
 83: 1482| [45] [Watase stopped Ena as she was opening the door.]
 84: 1487| [47] [Natsuhiko]
 85: 1488| [45] [(Whew... Thank goodness...)]
 86: 1493| [45] [But right as Natsuhiko let himself relax--]
 87: 1661| [47] [Natsuhiko]
 88: 1662| [45] [(D-dammit...!)]
 89: 1667| [45] [Drowsiness once again seized him in its grasp.]
 90: 1672| [45] [Natsuhiko clung to reality in a desperate attempt to prevent himself from fading away.]
 91: 1677| [45] [And then.........]
 92: 1702| [45] ["I thought of a way to solve all our problems."]
 93: 1707| [45] [He could no longer catch the flow of the conversation. But he definitely heard Watase say that.]
 94: 1712| [47] [Natsuhiko]
 95: 1713| [45] [(Wh-what...? A way to solve all our problems...?)]
 96: 1718| [45] [--And right then...]
 97: 1785| [47] [Ena]
 98: 1788| [45] ["Ghh!"]
 99: 1849| [47] [Ena]
100: 1852| [45] ["*cough*...! Wh-why...!?"]
101: 1857| [47] [Natsuhiko]
102: 1858| [45] [(----!)]
103: 1863| [45] [Ena's groan snapped Natsuhiko's consciousness back to reality once more.]
104: 1961| [47] [Watase]
105: 1964| [45] ["... I'm sorry, but I'll need you to take a little nap here for a while."]
106: 2037| [45] [Before he knew it, he saw Ena passed out through Watase's eyes.]
107: 2045| [47] [Natsuhiko]
108: 2048| [45] [{Wha... what do you think you're you doing!?}]
109: 2053| [45] [But Watase just left the room--]
110: 2119| [45] [--and destroyed its opening mechanism out in the hall.]
