  0:  395| [55] [√Double Chapter 0]
  1:  397| [86] [Blessed is he who, in the name of charity and good will, shepherds the weak through the valley of darkness,]
  2:  398| [86] [for he is truly his brother's keeper and the finder of lost children.]
  3:  399| [86] [(The Old Testament / Ezekiel 25:17)]
  4:  400| [85] [　%N　%N　%N　%N　%N]
  5:  404| [47] [--It all happened inside this facility--]
  6:  449| [47] [Yuuri]
  7:  452| [45] ["*sob* ... *sob* ..."]
  8:  499| [47] [Yuuri]
  9:  502| [45] ["Wh-what do we do, Hikorin... I'm scared...!"]
 10:  510| [47] [Natsuhiko]
 11:  513| [45] ["Don't cry, Yuuri! I'll do something!"]
 12:  551| [85] [　%N　%N　%N　%N　%N]
 13:  555| [47] [--Nine years ago, the young boy desperately tried to save the girl--]
 14:  654| [47] [Yuuri]
 15:  657| [45] ["... Hikorin, it's time to say goodbye."]
 16:  695| [85] [　%N　%N　%N　%N　%N]
 17:  699| [47] [--and then the time came for the boy to part with the girl's phantom.]
 18:  780| [47] [Mashiro]
 19:  783| [45] ["... I'm glad I could be there for you."]
 20:  821| [85] [　%N　%N　%N　%N　%N]
 21:  825| [47] [He then truly connected with the childhood friend who had supported him--]
 22:  928| [85] [　%N　%N　%N　%N　%N]
 23:  932| [47] [--and staked his life in an effort to save her.]
 24: 1011| [47] [Natsuhiko]
 25: 1014| [45] ["You're not getting away!!"]
 26: 1022| [47] [Watase]
 27: 1025| [45] ["Ga... agh...!"]
 28: 1063| [85] [　%N　%N　%N　%N　%N]
 29: 1067| [47] [He mustered the last of his strength to defeat a man full of malice...]
 30: 1170| [85] [　%N　%N　%N　%N　%N]
 31: 1174| [47] [For a while, time stopped for them.]
 32: 1323| [85] [　%N　%N　%N]
 33: 1327| [47] [--But after 4896 seconds had passed--]
 34: 1335| [47] [Time began to move once more.]
 35: 1460| [47] [Kazami]
 36: 1463| [45] ["--tain!"]
 37: 1471| [47] [Kazami]
 38: 1474| [45] ["... Captain, please hang in there! Captain!"]
 39: 1482| [47] [Jun]
 40: 1485| [45] ["Get up, Captain! C'mon!"]
 41: 1546| [47] [Kazami]
 42: 1549| [45] ["Ah...! You've finally come to, haven't you!?"]
 43: 1557| [47] [Watase]
 44: 1560| [45] ["What... am I...?"]
 45: 1598| [85] [　%N　%N　%N　%N　%N]
 46: 1602| [47] [--The man woke up, burdened with the duty of "rescue squad captain"--]
 47: 1700| [47] [Yuuri]
 48: 1703| [45] ["... Why are you going this far to save my life?"]
 49: 1711| [47] [Watase]
 50: 1714| [45] ["I-isn't it obvious...? It's because... I'm... a rescue squad... captain."]
 51: 1752| [85] [　%N　%N　%N　%N　%N]
 52: 1756| [47] [--and he fought with his life on the line to fulfill that duty.]
 53: 1859| [85] [　%N　%N　%N　%N　%N]
 54: 1863| [47] [--But regardless of his hard fight, several lives were still lost--]
 55: 1966| [85] [　%N　%N　%N　%N　%N]
 56: 1970| [47] [And even the comrades whom he had to save--]
 57: 2073| [85] [　%N　%N　%N　%N　%N]
 58: 2077| [47] [--bore their fangs at him.]
 59: 2158| [47] [Watase]
 60: 2161| [45] ["--We're just trying to save you guys! Why can't you understand that!?"]
 61: 2169| [47] [Salyu]
 62: 2172| [45] ["I thought I told you to stop telling such transparent lies."]
 63: 2180| [47] [Salyu]
 64: 2183| [45] ["You think you can trick me after you shot Natsuhiko?"]
 65: 2236| [47] [Watase]
 66: 2239| [45] ["--!?"]
