  0:  136| [55] [√After Chapter 2]
  1:  151| [45] [--Watase kept himself from shivering and took in the terrifying spectacle that lay before his very eyes.]
  2:  159| [47] [Watase]
  3:  162| [45] ["D-dear God...!"]
  4:  207| [45] [The bodies at his feet were wearing what appeared to be white lab coats.]
  5:  212| [45] [It wasn't strange for there to be researchers in this facility.]
  6:  217| [45] [What -was- strange was the fact that their bodies were full of countless bullet holes.]
  7:  222| [47] [Watase]
  8:  223| [45] [(They were... shot?)]
  9:  228| [45] [Given that they were lying with their heads turned towards the door, it was possible that they'd been trying to escape from the room.]
 10:  233| [45] [The various sized holes in their body, especially the big ones in their stomachs, exposed their innards.]
 11:  238| [45] [The organ that had shaped whom they once were now oozed out of their split heads, leaving a slimy stain on the floor.]
 12:  306| [47] [Watase]
 13:  307| [45] [(Ghh...!)]
 14:  355| [45] [He instinctively looked away from the horrible evidence of how the men had died.]
 15:  400| [45] [But further in the room was one other body... the remains of the rescue worker who Kazami and Jun had called "Dojima".]
 16:  405| [45] [His case was even stranger.]
 17:  410| [45] [His limbs were bent in unnatural directions, his fingers broken at their bases as if they'd been tortured.]
 18:  415| [45] [Flesh from the nape of his neck had been torn off, blood oozing out from it, and the bones also appeared to have been twisted and crushed.]
 19:  420| [45] [His face was warped in agony, and his tongue was sticking out of his mouth in a slovenly matter.]
 20:  465| [47] [Watase]
 21:  466| [45] [(What... what the hell is this...!?)]
 22:  471| [47] [Watase]
 23:  472| [45] [(What could have happened to cause him to die like this...!?)]
 24:  477| [45] [It was hard to believe any human could have done this.]
 25:  482| [45] [It looked more like he'd been grabbed and casually crushed by a giant hand.]
 26:  487| [45] [It didn't feel as if any person could have done an act so horrific-- it was more like the work of a monster or something.]
 27:  492| [45] [But the whole thing in general was strange.]
 28:  497| [45] [Why was it that those two had been shot to death while this one had died differently?]
 29:  505| [47] [Watase]
 30:  508| [45] ["What in God's name happened in here...!?"]
 31:  513| [45] [Kazami answered, quietly rising to her feet.]
 32:  521| [47] [Kazami]
 33:  524| [45] ["... I don't know. However..."]
 34:  532| [47] [Kazami]
 35:  535| [45] ["It looks like they'd set up a simple makeshift base in this room..."]
 36:  540| [45] [When Watase looked at the room more closely, he noticed there were several objects that appeared to be broken equipment.]
 37:  548| [47] [Watase]
 38:  551| [45] ["What's this...?"]
 39:  559| [47] [Kazami]
 40:  562| [45] ["A jackhammer... they probably brought it here in order to break down walls and doors."]
 41:  567| [45] [Watase picked it up and pressed its switch.]
 42:  572| [45] [But it didn't respond at all. It looked like one of the bullets had shot the motor right out.]
 43:  577| [45] [There were two broken ampules lying nearby.]
 44:  585| [47] [Watase]
 45:  588| [45] ["! There's AD...!"]
 46:  596| [47] [Kazami]
 47:  599| [45] ["Ah...!"]
 48:  604| [45] [One of them had been smashed, like someone had stepped on it.]
 49:  609| [45] [The other one was still in its original form, but the container was cracked, the liquid inside leaking out.]
 50:  617| [47] [Kazami]
 51:  620| [45] ["It appears these are the ones they'd been given at the start..."]
 52:  625| [45] [Kazami picked up the cracked AD and said that.]
 53:  630| [45] [Just then, Jun broke her silence.]
 54:  638| [47] [Jun]
 55:  641| [45] ["Do you think... Dojima administered it to those people?"]
 56:  649| [47] [Kazami]
 57:  652| [45] ["... Yes, maybe. Dojima probably took those two under his protection and tried to come up with an escape plan."]
 58:  660| [47] [Jun]
 59:  663| [45] ["Just like us..."]
 60:  671| [47] [Jun]
 61:  674| [45] ["But... this doesn't make sense."]
 62:  682| [47] [Jun]
 63:  685| [45] ["Why did Dojima have to die...!?"]
 64:  690| [45] [Watase could say nothing as he watched Jun say that and hang her head.]
 65:  695| [45] [--He wasn't sad.]
 66:  700| [45] [It didn't feel real to him-- like it was an event that'd happened in a TV show.]
 67:  705| [45] [Even though it was his very own squadmate who was dead--]
 68:  710| [47] [Watase]
 69:  711| [45] [(... I'm...!)]
 70:  716| [45] [to the now amnesiac Watase, the death of his supposed squadmate "Dojima" felt the same as the death of a total stranger.]
 71:  721| [45] [And he hated himself for that.]
 72:  726| [45] [Kazami gently wrapped her arms around Jun's shoulders as the latter bit her lips.]
 73:  734| [47] [Kazami]
 74:  737| [45] ["... You mustn't let yourself dwell on this."]
 75:  742| [47] [Jun]
 76:  743| [45] ["..."]
 77:  751| [47] [Kazami]
 78:  754| [45] ["Judging from the fact that there's no sign of Hiyama's body anywhere, he's probably still alive. We can still save him at the very least..."]
 79:  762| [47] [Jun]
 80:  765| [45] ["... Yeah..."]
 81:  773| [47] [Kazami]
 82:  776| [45] ["Let's go for now... if we remain here much longer... then it'll be difficult even for me."]
 83:  781| [45] [Watase and Jun nodded and headed for the door with Kazami.]
 84:  824| [45] [--Kazami and Jun gave a small salute before they exited.]
 85:  829| [45] [Their final sendoff to their colleague who'd been killed under mysterious circumstances.]
 86:  834| [45] [All Watase did was just stand by and watch them...]
 87:  902| [45] [But the moment they left the room-- Ukita grabbed Watase by the collar.]
 88:  980| [47] [Ukita]
 89:  983| [45] ["Hey, Captain Kasasagi! What in the world happened here!?"]
 90:  991| [47] [Watase]
 91:  994| [45] ["Wha-!?"]
 92: 1017| [47] [Ukita]
 93: 1020| [45] ["Three people are dead, and even the jackhammer's broken...!"]
 94: 1061| [47] [Ukita]
 95: 1064| [45] ["You know something, don't you!? Answer me! Just talk already!"]
 96: 1072| [47] [Watase]
 97: 1075| [45] ["N-No...! How could I... know... anything..."]
 98: 1080| [45] [Kazami frantically pulled Ukita off of him.]
 99: 1123| [47] [Kazami]
100: 1126| [45] ["Mr. Ukita! Please calm down! Even we're confused about why our coworker was killed!"]
101: 1152| [47] [Ukita]
102: 1155| [45] ["How could I possibly stay calm in this situa--"]
