  0:   69| [55] [√Double Chapter 6]
  1:   78| [45] [--Mashiro, Salyu, Kazami, Jun, Ena, and Ukita dashed out of the control room.]
  2:  132| [45] [They then slipped through Area 3,]
  3:  198| [45] [rushed up the emergency stairs,]
  4:  254| [45] [and within 42 seconds, had made it to the bulkhead.]
  5:  282| [47] [Mashiro]
  6:  285| [45] ["Good, we made it in time!"]
  7:  311| [47] [Salyu]
  8:  314| [45] ["Now to wait for the bulkheads to open--"]
  9:  340| [47] [Jun]
 10:  343| [45] ["No, wait a second! Sis isn't here!"]
 11:  369| [47] [Ukita]
 12:  372| [45] ["What!?"]
 13:  398| [47] [Ena]
 14:  401| [45] ["Don't tell me she--!"]
 15:  459| [45] [At that time, Kazami had run to Area 1.]
 16:  489| [47] [Kazami]
 17:  490| [45] [(I can't leave her here!)]
 18:  495| [45] [And with that thought in mind, she leapt into a certain office.]
 19:  619| [45] [That was where she had laid Nagisa's body.]
 20:  652| [47] [Kazami]
 21:  655| [45] ["Nagisa, you've always wanted to get out of here, haven't you...?"]
 22:  681| [47] [Kazami]
 23:  684| [45] ["So let's get out of here together..."]
 24:  710| [45] [Kazami left the room with her sister's body in her arms.]
 25:  764| [45] [Mashiro and the others waited in front of the bulkhead for Kazami's arrival.]
 26:  790| [47] [Ena]
 27:  793| [45] ["She's late... Ms. Tachibana, hurry!"]
 28:  798| [45] [Once Ena yelled impatiently,]
 29:  809| [45] [they saw Kazami appear at the bottom of the emergency staircase.]
 30:  835| [47] [Jun]
 31:  838| [45] ["She made it!!"]
 32:  871| [47] [Kazami]
 33:  874| [45] ["Let's go! Please open it up, Captain!"]
 34:  927| [45] [--Exactly one minute had passed at that time.]
 35:  932| [45] [Natsuhiko, Watase, and Yuuri raised their voices from back in the control room.]
 36:  958| [47] [Watase]
 37:  961| [45] ["Okay, it's time!"]
 38:  987| [47] [Yuuri]
 39:  990| [45] ["Yes!"]
 40: 1016| [47] [Natsuhiko]
 41: 1019| [45] ["Opening the bulkheads!"]
 42: 1030| [45] [They operated the three control terminals at once, and opened the bulkheads.]
 43: 1088| [45] [An electronic sound rang out in front of the other six's eyes.]
 44: 1120| [45] [The bulkheads that had kept the nine survivors imprisoned slowly began to open.]
 45: 1125| [45] [Mashiro then immediately sent telepathy to Dr. Tenkawa without missing a beat.]
 46: 1190| [47] [Mashiro]
 47: 1193| [45] [{Professor, can you hear me!?}]
 48: 1198| [45] [She waited for her answer with telepathy-- and then she heard the professor's voice.]
 49: 1206| [47] [Miyoko]
 50: 1209| [45] [{Mashiro!?}]
 51: 1232| [47] [Mashiro]
 52: 1235| [45] [{Good, we connected!}]
 53: 1243| [47] [Miyoko]
 54: 1246| [45] [{How did we suddenly connect!? Wait, did the bulkheads open!?}]
 55: 1269| [47] [Mashiro]
 56: 1272| [45] [{We neutralized the bulkhead lockdown with your hacking software!}]
 57: 1277| [47] [Mashiro]
 58: 1280| [45] [{We're getting out now! How's the situation over there!?}]
 59: 1347| [47] [Miyoko]
 60: 1350| [45] [{I was able to get through to the rescue squad!}]
 61: 1373| [47] [Miyoko]
 62: 1376| [45] [{... Ah! Looks like Security Sector 6 has noticed the bulkheads opening too!}]
 63: 1399| [47] [Miyoko]
 64: 1402| [45] [{Mashiro, get to the entrance as quickly as possible! We'll secure an escape route for you!}]
 65: 1407| [45] [The professor's voice was frantic. The situation seemed urgent.]
 66: 1477| [47] [Mashiro]
 67: 1480| [45] ["Let's go, guys! Run for the entrance!"]
 68: 1507| [45] [The six of them ran as Mashiro shouted that.]
 69: 1555| [47] [Automatic PA]
 70: 1558| [45] ["--A 'Case N' has just been detected."]
 71: 1563| [47] [Automatic PA]
 72: 1566| [45] ["In accordance with this emergency, security has shifted to Blockade Mode."]
 73: 1571| [47] [Automatic PA]
 74: 1574| [45] ["Locking down all gates and bulkheads."]
 75: 1586| [45] [--The bulkheads shut behind them.]
 76: 1591| [45] [But they dared not look back.]
 77: 1596| [45] [They kept on running so as to not betray the feelings of the three who stayed behind of their own accord.]
 78: 1601| [45] [Eventually, they began to hear a commotion up in front of them--]
 79: 1767| [45] [--The entrance was in tumultuous disarray.]
 80: 1772| [45] [Dozens of rescue workers were pushing back a mass of thirty or forty men in protection suits on two sides.]
