  0:   77| [55] [√Before Chapter1]
  1:   91| [45] [１時間目の授業、『超心理学』――]
  2:   96| [45] [特別教室『ＢＣルーム』で行われるその授業は、この鹿鳴学園において、特に重要なカリキュラムだった。]
  3:  157| [45] [担当教師の『椿山恵那』が教壇に立ち、スクリーンを前に教鞭を振るう。]
  4:  165| [47] [恵那]
  5:  168| [45] [「――時代と共に、人間のコミュニケーションのあり方は大きく変わるのです」]
  6:  173| [47] [夏彦]
  7:  174| [45] [（またこの説明か……椿山先生、ほんとこのオハナシ好きだなぁ）]
  8:  179| [45] [恵那はしばしばこうして、ＢＣに関する小話を語る。それにしても今日の内容は、初歩的だった。]
  9:  251| [47] [恵那]
 10:  254| [45] [「遥か昔、仕草や行動で他者に意思を伝えていた人間は、やがて言葉を手にしました」]
 11:  262| [47] [恵那]
 12:  265| [45] [「そして文字が生まれ、活版印刷が生まれ、電信・電話・インターネットが生まれ……コミュニケーションは進化していきました」]
 13:  273| [47] [恵那]
 14:  276| [45] [「今世紀の初頭――人間のコミュニケーションのあり方に、大転換が起こったのです」]
 15:  284| [47] [恵那]
 16:  287| [45] [「そう、皆さんご存知！　ＢＣの発現です！」]
 17:  299| [45] [そう言いつつ、恵那が手元のＰＣを操作すると――]
 18:  374| [45] [スクリーンに文字が現われた。]
 19:  547| [47] [恵那]
 20:  550| [45] [「ビヨンドコミュニケーション！　それは言語を介さずに行う、新しい意思伝達方法！」]
 21:  558| [47] [恵那]
 22:  561| [45] [「一昔前の人から見たら、はっきり言って超能力よね？」]
 23:  569| [47] [恵那]
 24:  572| [45] [「でもこれはオカルトの世界の話じゃありません」]
 25:  580| [47] [恵那]
 26:  583| [45] [「オカルトの語源は『隠す』という事。これだけ大々的に認知されたら、もうオカルトじゃないわ」]
 27:  625| [45] [恵那の言う通りである。]
 28:  630| [45] [ＢＣが使える者、通称『コミュニケーター』たちは――]
 29:  635| [45] [およそ１６年前から、世界中で存在を認識されるようになったのだ。]
 30:  643| [47] [恵那]
 31:  646| [45] [「――歴史のターニングポイントは、２０１４年。ＢＣの存在が、科学的にほぼ実証された年ね」]
 32:  654| [47] [恵那]
 33:  657| [45] [「それと連動するかのように、世界中で多数のコミュニケーターが生まれるようにもなりました」]
 34:  714| [45] [恵那がそう言うと、スクリーンに新たな文字が現われる。]
 35:  720| [45] [２０１４年は、夏彦たちの生まれた年でもある。]
 36:  725| [45] [それから数年で社会に様々な変化があったというが、夏彦はその詳細をよく知らない。]
 37:  730| [47] [夏彦]
 38:  731| [45] [（……人間、興味のない事は覚えられないっていうけど、本当だな）]
 39:  736| [45] [そんな彼をよそに、恵那は名調子で説明を続ける。]
 40:  774| [47] [恵那]
 41:  777| [45] [「さて――コミュニケーターが使える能力は２つ」]
 42:  785| [47] [恵那]
 43:  788| [45] [「まず他者に意思を伝える『テレパシー』。これは１６年前のＢＣ大発現の直後に発見されたわね」]
 44:  796| [47] [恵那]
