  0:   77| [55] [√Before Chapter3]
  1:   85| [45] [――買い物を終えた夏彦たちは、バスに乗って帰宅した。]
  2:   90| [45] [そして連れ立って、玄関を潜る。]
  3:  303| [47] [悠里]
  4:  306| [45] [「あ、おかえりなさ～い」]
  5:  311| [45] [家に戻ると、悠里が夏彦たちを迎え入れてくれた。]
  6:  319| [47] [夏彦]
  7:  322| [45] [「ただいま、悠里」]
  8:  348| [47] [ましろ]
  9:  351| [45] [「ただいまーちゃん」]
 10:  377| [47] [サリュ]
 11:  380| [45] [「……ただいま」]
 12:  385| [45] [サリュもおずおずと答えを返す。]
 13:  408| [45] [ましろはほっとしたように笑い、そして声を上げた。]
 14:  434| [47] [ましろ]
 15:  437| [45] [「よーし、それじゃご飯作っちゃうね。今日は豪勢なメニューになるよ～？」]
 16:  486| [47] [夏彦]
 17:  489| [45] [「あ、手伝おうか？」]
 18:  515| [47] [ましろ]
 19:  518| [45] [「いーのいーの、私１人で充分。っていうか今日は、私も本気を出すから……」]
 20:  544| [47] [ましろ]
 21:  547| [45] [「キッチンは戦場になる。素人は足手まといだよ」]
 22:  555| [47] [夏彦]
 23:  558| [45] [「……！」]
 24:  566| [47] [夏彦]
 25:  569| [45] [「わ、わかった、任せよう……」]
 26:  595| [47] [ましろ]
 27:  598| [45] [「ふふん、まぁ座って待っててよ」]
 28:  631| [45] [ましろはそう言って、キッチンに行った。]
 29:  706| [45] [そしておとなしく待つこと、１時間――]
 30:  711| [45] [やがてましろが、料理をテーブルにずらりと並べて言った。]
 31:  799| [47] [ましろ]
 32:  802| [45] [「はいっ、お待たせ！」]
 33:  817| [47] [ましろ]
 34:  820| [45] [「フランスパンと牛レバーのパテ、海老のココットにニース風サラダ、そしてビシソワーズ・スープだよ」]
 35:  828| [47] [ましろ]
 36:  831| [45] [「メインディッシュは、シャリアピン風ビフテキ！」]
 37:  839| [47] [夏彦]
 38:  842| [45] [「お、おおお～！！」]
 39:  847| [45] [夏彦は思わず歓声を上げた。]
