  0:   46| [55] [√After Chapter 3]
  1:   63| [45] [--Watase and Jun let out a deep breath as soon as they made it back to the outer ring.]
  2:   71| [47] [Watase]
  3:   74| [45] ["Haah...!"]
  4:  136| [47] [Jun]
  5:  139| [45] ["Whew, that was nerve-wracking...!"]
  6:  147| [47] [Watase]
  7:  150| [45] ["Still, the danger was well worth it, wouldn't you say?"]
  8:  155| [45] [But Jun's face soon clouded over.]
  9:  181| [47] [Jun]
 10:  184| [45] ["Y-yeah..."]
 11:  192| [47] [Watase]
 12:  195| [45] ["Huh? Hey, what's wrong?"]
 13:  203| [47] [Jun]
 14:  206| [45] ["Ah, no, sorry... I just feel a little..."]
 15:  241| [47] [Jun]
 16:  244| [45] ["... Ugh!"]
 17:  249| [45] [Jun covered her mouth and bent over.]
 18:  257| [47] [Watase]
 19:  260| [45] ["Moribe!?"]
 20:  268| [47] [Jun]
 21:  271| [45] ["Captain, don't look! I'm gonna hurl!"]
 22:  279| [47] [Watase]
 23:  282| [45] ["Wait, what's that mean agai... ah!"]
 24:  299| [47] [Jun]
 25:  302| [45] ["Urrrrrrgh!"]
 26:  307| [45] [Jun turned her back on Watase and threw up in a corner of the hallway.]
 27:  312| [45] [Watase watched all that in dumbfoundment.]
 28:  317| [45] [Jun soon finished vomiting and managed a smile on her pale face.]
 29:  351| [47] [Jun]
 30:  354| [45] ["... Man, sorry you had to see that. I'm so embarrassed I wanna die."]
 31:  362| [47] [Watase]
 32:  365| [45] ["M-Moribe..."]
 33:  373| [47] [Watase]
 34:  376| [45] ["Hey, don't tell me you got radiation damage...!?"]
 35:  402| [47] [Jun]
 36:  405| [45] ["Huh? N-no, no, that's not it."]
 37:  431| [47] [Jun]
 38:  434| [45] ["I was just so nervous and ran around so much that my fatigue finally caught up with my stomach, that's all."]
 39:  442| [47] [Watase]
 40:  445| [45] ["Seriously!? Hey, let me see your wrist!"]
 41:  472| [45] [Watase grabbed Jun by the wrist.]
 42:  498| [47] [Jun]
 43:  501| [45] ["Hey! 'the hell you doing, you perv!?"]
 44:  509| [47] [Watase]
 45:  512| [45] ["Shut up! Keep it down for a minute!"]
 46:  610| [45] [Jun complied, and Watase examined her Vital Checker.]
 47:  615| [45] [Normally, all five lights would be green, but this time-- one of them was bright red.]
 48:  623| [47] [Watase]
 49:  626| [45] ["It's red! That means there's something wrong with your body, right!?"]
 50:  652| [47] [Jun]
 51:  655| [45] ["Whoa, hold your horses, that's just the 'pulse' indicator, right?"]
 52:  663| [47] [Jun]
 53:  666| [45] ["My heart's just racing a bit 'cause I just got done blowing chunks all over the floor... it'll be green again soon. See?"]
 54:  711| [45] [The light turned green again shortly after Jun said that.]
 55:  739| [47] [Jun]
 56:  742| [45] ["See, I'm all better now. Right as rain."]
 57:  750| [47] [Watase]
 58:  753| [45] ["I see... well, okay then..."]
 59:  779| [47] [Jun]
 60:  782| [45] ["But hey, are -you- okay? You having another headache?"]
 61:  790| [47] [Watase]
 62:  793| [45] ["Huh? Oh... no, I'm all good."]
 63:  798| [45] [He then realized something.]
 64:  803| [45] [The strange feeling he'd felt when he'd entered the contaminated zone had vanished.]
 65:  808| [47] [Watase]
 66:  809| [45] [(So it really was the effects of the radiation...)]
 67:  814| [45] [But that's why Watase was worried.]
 68:  819| [45] [Like him, Jun had also been in a contaminated zone twice.]
 69:  824| [45] [Watase was stronger than her and even he'd fainted. Meaning there was no guarantee someone with such a small body like Jun's would be okay.]
 70:  832| [47] [Watase]
 71:  835| [45] ["... Tell me right away if something comes up."]
 72:  861| [47] [Jun]
 73:  864| [45] ["Thanks for worrying about me. You really are acting so nice today."]
 74:  874| [47] [Watase]
 75:  877| [45] ["What're you talking about? It's only natural to be worried about your partner."]
 76:  886| [47] [Watase]
