  0:   52| [55] [√After Chapter 3]
  1:   70| [47] [Watase]
  2:   73| [45] ["Th... that was too close...!"]
  3:   78| [45] [Watase's voice was faint.]
  4:   83| [45] [The group had just barely escaped from the collapsing staircase with their lives.]
  5:  109| [47] [Yuuri]
  6:  112| [45] ["I never expected that the staircase would collapse on us..."]
  7:  139| [47] [Ukita]
  8:  142| [45] ["Is there any way we can go down from there?"]
  9:  147| [45] [Watase took a look into the stairwell.]
 10:  195| [45] [But the collapsed stairs blocked the door, meaning it was unlikely they could get to the other side.]
 11:  203| [47] [Watase]
 12:  206| [45] ["Heeey, Teach! Can you hear me!?"]
 13:  211| [45] [However... there was no reply.]
 14:  216| [45] [It seemed she'd gone to some other room to continue with the search.]
 15:  268| [47] [Watase]
 16:  271| [45] ["Crap, we're completely cut off from Teach!"]
 17:  297| [47] [Kazami]
 18:  300| [45] ["That's why I warned everyone not to go off on their own...!"]
 19:  327| [47] [Jun]
 20:  330| [45] ["No choice. Let's use the inner ring's emergency staircase to regroup with her!"]
 21:  352| [45] [The group nodded and headed for the inner ring.]
 22:  400| [45] [But the staircase there--]
 23:  444| [45] [--had also collapsed.]
 24:  497| [47] [Watase]
 25:  500| [45] ["Tch, guess we'll have to go down from another area?"]
 26:  526| [47] [Kazami]
 27:  529| [45] ["Yes. Then--"]
 28:  534| [45] [Kazami took out her PDA and began muttering to herself.]
 29:  582| [47] [Kazami]
 30:  585| [45] ["This staircase and that staircase are out of commission..."]
 31:  630| [45] [She placed X-marks on the staircases on the map.]
 32:  642| [47] [Kazami]
 33:  645| [45] ["So we'll have to take a detour through Area 6. Let's go."]
 34:  660| [45] [The group nodded again and headed for Area 6 this time.]
 35:  757| [45] [But thanks to the fire--]
 36:  762| [45] [The security slot that controlled the gate to Area 6 was out of order.]
 37:  813| [45] [Sliding the card into it did nothing.]
 38:  821| [47] [Watase]
 39:  824| [45] ["Luck's just not on our side... let's try the outer ring's gate."]
 40:  870| [45] [Watase added another X-mark on his PDA's map and headed for the outer ring.]
 41:  918| [45] [--But the connecting passageway to the outer ring was buried in rubble.]
 42:  964| [45] [The passageway was completely blocked off by collapsed pieces of ceiling and walls.]
 43:  969| [45] [And on top of all that, it appeared that the hole in the ceiling didn't connect to the surface floors.]
 44:  977| [47] [Watase]
 45:  980| [45] ["C-crap... this is really bad, isn't it?"]
 46: 1013| [47] [Kazami]
 47: 1016| [45] ["Khh..."]
 48: 1021| [45] [Kazami gritted her teeth and checked her PDA.]
 49: 1069| [47] [Kazami]
 50: 1072| [45] ["Both connecting passageways to Area 6 won't work. And the staircases are out..."]
 51: 1080| [47] [Jun]
 52: 1083| [45] ["Meaning we have no way to get down to B2, huh?"]
 53: 1091| [47] [Yuuri]
 54: 1094| [45] ["Couldn't we go through the B2 Area 4 route?"]
 55: 1102| [47] [Kazami]
 56: 1105| [45] ["Unfortunately... the outer ring's card slot there was burned in the fire."]
 57: 1113| [47] [Jun]
 58: 1116| [45] ["And the inner ring's a contaminated zone..."]
 59: 1124| [47] [Ukita]
 60: 1127| [45] ["Wait, you're not saying--!?"]
 61: 1135| [47] [Watase]
 62: 1138| [45] ["Yeah... we've hit a dead end."]
 63: 1143| [45] [Watase gritted his teeth.]
 64: 1148| [45] [All their ways forward were completely cut off.]
 65: 1191| [47] [Watase]
 66: 1194| [45] ["I'm worried about Teach... we've gotta find a way downstairs. We don't have a choice."]
 67: 1202| [47] [Jun]
 68: 1205| [45] ["What if we used the connecting passageway in the contaminated zone?"]
 69: 1231| [47] [Kazami]
 70: 1234| [45] ["No, it's too dangerous to bring everyone through a contaminated zone."]
 71: 1262| [47] [Yuuri]
 72: 1265| [45] ["Wh-what should we do...?"]
 73: 1291| [47] [Ukita]
 74: 1294| [45] ["This is a conundrum... if only the elevators were working..."]
 75: 1299| [45] [Ukita bemoaned this in a voice devoid of hope--]
 76: 1304| [45] [But that comment suddenly lit a lightbulb in Watase's mind.]
 77: 1312| [47] [Watase]
 78: 1315| [45] ["... Huh!? Wait, we might be able to get down through there!"]
 79: 1341| [47] [Kazami]
 80: 1344| [45] ["Huh? From where!?"]
 81: 1352| [47] [Watase]
 82: 1355| [45] ["This way! Follow me!"]
 83: 1403| [45] [Watase then ran off, with the rest of the group following close behind.]
 84: 1475| [45] [He finally stopped at the elevator hall.]
 85: 1537| [47] [Jun]
 86: 1540| [45] ["Hey, Captain? You do remember the elevators aren't working, right?"]
 87: 1548| [47] [Watase]
 88: 1551| [45] ["I know. But maybe, just maybe..."]
 89: 1632| [45] [Watase clasped the elevator doors and pried them open.]
 90: 1675| [45] [--The elevator car was apparently resting on the surface floors.]
 91: 1680| [45] [Watase looked into the elevator shaft, then yelled.]
 92: 1688| [47] [Watase]
 93: 1691| [45] ["... Yes, I was right!"]
 94: 1696| [45] [There was a ladder there.]
 95: 1730| [47] [Kazami]
 96: 1733| [45] ["This is a maintenance ladder... yes, it -does- look like we could use this to get down."]
 97: 1760| [47] [Jun]
 98: 1763| [45] ["It's a long way down, though. You guys sure you'll be okay with that?"]
 99: 1790| [47] [Ukita]
100: 1793| [45] ["Mmm, I think I can make it... so long as I don't look down."]
101: 1840| [47] [Watase]
102: 1843| [45] ["Good. Then let's go down one at a time."]
103: 1848| [45] [But Yuuri's face went as white as a sheet at that moment.]
104: 1874| [47] [Yuuri]
105: 1877| [45] ["I... I can't climb down from this high up..."]
106: 1950| [47] [Kazami]
107: 1953| [45] ["Don't worry, Ms. Yuuri, we'll back you up."]
108: 1981| [47] [Jun]
109: 1984| [45] ["She's right. Just hang in there."]
110: 2010| [47] [Yuuri]
111: 2013| [45] ["B-but..."]
112: 2018| [45] [But there was no way they could leave Yuuri there.]
113: 2023| [45] [It was too dangerous to split the group up any further.]
114: 2038| [47] [Watase]
115: 2041| [45] ["Okay. If you can't get down on your own, then how about I carry you on my back when I climb down?"]
116: 2067| [47] [Yuuri]
117: 2070| [45] ["Huh...!?"]
118: 2075| [45] [Yuuri stared at Watase with wide eyes.]
119: 2080| [47] [Watase]
120: 2081| [45] [(Uh-oh... is she going to reject me again?)]
121: 2086| [45] [Watase grew nervous for a moment, but after hesitating for a second--]
122: 2091| [45] [Yuuri nodded.]
123: 2117| [47] [Yuuri]
124: 2120| [45] ["Okay... please be careful."]
125: 2128| [47] [Watase]
126: 2131| [45] ["O-of course! Leave it to me!"]
127: 2143| [47] [Watase]
128: 2146| [45] ["Yuuri, are you sure you can't get down by yourself?"]
129: 2151| [47] [Yuuri]
130: 2152| [45] ["..."]
131: 2160| [47] [Watase]
132: 2163| [45] ["Oh great...!"]
133: 2168| [45] [They couldn't afford to waste time in this situation--%Njust as Watase thought this, Jun spoke up.]
134: 2194| [47] [Jun]
135: 2197| [45] ["Then how 'bout you hang on to the Captain's back when he goes down?"]
136: 2223| [47] [Yuuri]
137: 2226| [45] ["Huh...!?"]
138: 2252| [47] [Jun]
