  0:   58| [55] [√After Chapter6]
  1:   71| [47] [渡瀬]
  2:   74| [45] [「――すまん、遅くなった」]
  3:   79| [45] [エンジンルームに戻るなり、風見が駆け寄ってきた。]
  4:  144| [47] [風見]
  5:  147| [45] [「隊長！　どうしたのですか、その防護服は！？」]
  6:  155| [47] [渡瀬]
  7:  158| [45] [「複数の防護服の、無事な部分を繋ぎ合わせた」]
  8:  184| [47] [風見]
  9:  187| [45] [「っ！　そんな方法が……！」]
 10:  192| [45] [感心したように言う風見に、渡瀬はうなずく。]
 11:  200| [47] [渡瀬]
 12:  203| [45] [「……橘、これでようやく脱出できるぞ」]
 13:  229| [47] [風見]
 14:  232| [45] [「えぇ……！」]
 15:  237| [45] [風見はうなずき、天井付近のパイプを指差した。]
 16:  263| [47] [風見]
 17:  266| [45] [「……図面を見るに、奥側のパイプが排水パイプらしいです」]
 18:  292| [47] [風見]
 19:  295| [45] [「間違って取水パイプを破壊したら、このラボ自体が水没してしまいます。どうかご注意を」]
 20:  303| [47] [渡瀬]
 21:  306| [45] [「わかってる……ここまで来て、そんなヘマはしないさ」]
 22:  314| [47] [渡瀬]
 23:  317| [45] [「まずは濾過機構を破壊してくる。ちょっと待っていてくれ」]
 24:  354| [45] [渡瀬は斧を握り、濾過機構に歩み寄った。]
 25:  359| [45] [それを思い切り、制御板に振り下ろす。]
 26:  518| [45] [何度か殴っているうち、静かに聞こえていた水流の音が止まった。]
 27:  527| [47] [渡瀬]
 28:  530| [45] [「止まったぞ！」]
 29:  561| [47] [風見]
 30:  564| [45] [「これでパイプ内に入れますね……！」]
 31:  569| [45] [渡瀬はうなずき、風見と向き合った。]
 32:  577| [47] [渡瀬]
 33:  580| [45] [「さて……最後の選択だ」]
 34:  588| [47] [渡瀬]
 35:  591| [45] [「防護服は１着しかない」]
 36:  599| [47] [渡瀬]
 37:  602| [45] [「オレとお前の、どっちが行くべきだと思う？」]
 38:  610| [47] [渡瀬]
 39:  613| [45] [「ここに残っても、ＷＸ粒子とやらに脅かされるだろうが……」]
 40:  618| [45] [その問いに、風見はわずかな迷いもなく答えた。]
 41:  644| [47] [風見]
 42:  647| [45] [「私が行くべきだと思います」]
 43:  655| [47] [渡瀬]
 44:  658| [45] [「なぜ？」]
 45:  666| [47] [風見]
 46:  669| [45] [「ここに残るより、パイプ内に入る方が、確実に危険だからです」]
 47:  695| [47] [風見]
 48:  698| [45] [「熱水が満ちる中を、５００ｍも歩くなんて……！」]
 49:  706| [47] [風見]
 50:  709| [45] [「ボンベの空気が持つかどうかも、本当に微妙だし……」]
 51:  735| [47] [風見]
 52:  738| [45] [「そんなところに、あなたを行かせられません」]
 53:  743| [45] [風見がじっと見つめてくる。]
 54:  748| [45] [渡瀬はかすかに笑って言った。]
 55:  756| [47] [渡瀬]
 56:  759| [45] [「……そう答えると思ったよ」]
 57:  767| [47] [渡瀬]
 58:  770| [45] [「でもな、橘。それはダメだ」]
 59:  796| [47] [風見]
 60:  799| [45] [「え？」]
 61:  807| [47] [渡瀬]
 62:  810| [45] [「お前、脚を怪我してるだろう」]
 63:  818| [47] [渡瀬]
 64:  821| [45] [「その脚で、狭いパイプ内を５００ｍも歩けるのか？」]
 65:  847| [47] [風見]
 66:  850| [45] [「いいえ、これしきの傷……ここまで天川くんたちを連れてこられたんですから」]
