  0:   62| [47] [自動放送]
  1:   65| [45] [「――ただいま、『ケースＮ』が発生しました」]
  2:   70| [47] [自動放送]
  3:   73| [45] [「緊急事態につき、セキュリティを『封鎖モード』に移行」]
  4:   78| [47] [自動放送]
  5:   81| [45] [「施設内の全ゲートを閉鎖・ロックすると共に、隔壁を封鎖します」]
  6:  157| [47] [悠里]
  7:  160| [45] [「ど、どうしようひこりん……こわいよぅ……！」]
  8:  193| [47] [夏彦]
  9:  196| [45] [「泣くなって、悠里！　ぼくがなんとかするから！」]
 10:  201| [45] [――気付けば夏彦は、火の中に立っていた。]
 11:  206| [47] [夏彦]
 12:  207| [45] [（これは、９年前の……？）]
 13:  212| [45] [幼少時の夏彦と悠里が、ラボに忍び込んだあの日。]
 14:  217| [45] [第５エリアに閉じ込められた時の記憶が、悠里の視点を通じて、眼前に展開していた――。]
 15:  311| [45] [――火に追われるままに、２人は近くの部屋に逃げ込む。]
 16:  316| [45] [だが煙にいぶされ熱波に焼かれ、悠里の体からは力が失われていた。]
 17:  335| [45] [夏彦が目に涙を浮かべ、悠里を見つめる。]
 18:  361| [47] [夏彦]
 19:  364| [45] [「ごめん、悠里……ぼくが悠里をつれてきたせいで……」]
 20:  372| [47] [夏彦]
 21:  375| [45] [「母さんをたすけるなんて、かっこいいこと言っておいて……」]
 22:  383| [47] [夏彦]
 23:  386| [45] [「だけどできなくて、それどころか悠里をこんなめに……」]
 24:  412| [47] [夏彦]
 25:  415| [45] [「ごめん、ほんとにごめん……！」]
 26:  420| [45] [その言葉を聞いた悠里の胸が、しんしんと痛む。]
 27:  425| [45] [だから悠里は、そっと彼の涙を拭った。]
 28:  433| [47] [悠里]
 29:  436| [45] [「……いいんだよ、ひこりん……」]
 30:  444| [47] [悠里]
 31:  447| [45] [「いつでもだれかのために、いっしょうけんめいなのが、ひこりんだから……」]
 32:  455| [47] [悠里]
 33:  458| [45] [「わたしはそんなひこりんが、だいすきだったから……」]
 34:  466| [47] [悠里]
 35:  469| [45] [「さいごまでいっしょにいられて……うれしかったよ」]
 36:  521| [47] [夏彦]
 37:  524| [45] [「悠里……！」]
 38:  529| [45] [夏彦が悠里を抱きしめる。]
 39:  591| [45] [その感触さえも、体が痺れ、感じられなくなってきた。]
 40:  596| [45] [薄れ行く意識の中、悠里が思う事はただ１つ。]
 41:  601| [47] [悠里]
 42:  602| [45] [（……かみさま……）]
 43:  607| [47] [悠里]
 44:  608| [45] [（わたしは……いいですから……）]
 45:  613| [47] [悠里]
 46:  614| [45] [（ひこりんは……せめてひこりんだけは……）]
 47:  619| [47] [悠里]
 48:  620| [45] [（……たすけてあげて、ください……！）]
 49:  625| [45] [その願いに呼応するかのように――]
 50:  630| [45] [悠里の耳に、声が聞こえた。]
 51:  705| [85] [《だれかたすけにきて！》]
 52:  706| [86] [夏彦]
 53:  707| [86] [《だれかたすけにきて！》]
 54:  722| [85] [《ぼくらは天川はかせのへやにいる！》]
 55:  723| [86] [夏彦]
 56:  724| [86] [《ぼくらは天川はかせのへやにいる！》]
 57:  752| [45] [――いや、それは耳で聞いた声ではなかった。]
 58:  757| [45] [頭に直接響いたような――]
 59:  762| [47] [悠里]
 60:  763| [45] [（て……テレパシー？）]
 61:  768| [47] [悠里]
 62:  769| [45] [（ひこりんが、テレパシーを……？）]
 63:  937| [45] [だがその思考も消えて行く。]
 64:  942| [45] [視覚も聴覚も薄れ行く中――悠里は再び声を聞いた。]
 65:  950| [47] [？？]
 66:  953| [45] [「――彦！　夏彦！」]
 67: 1014| [47] [美夜子]
 68: 1017| [45] [「あぁ、悠里ちゃんも……！」]
 69: 1043| [47] [夏彦]
 70: 1046| [45] [「か、母さん……！」]
 71: 1072| [47] [美夜子]
 72: 1075| [45] [「よかった、無事みたいね！」]
 73: 1101| [47] [美夜子]
 74: 1104| [45] [「助けに来たわ！　悠里ちゃんを連れて、すぐに逃げましょう！」]
 75: 1109| [45] [博士がそう叫ぶのを、かろうじて聞き取ったその刹那――]
 76: 1215| [45] [悠里は気を失った。]
 77: 1274| [45] [――――――]
 78: 1279| [45] [――――]
 79: 1284| [45] [――それからどれくらいの時が過ぎたのだろうか――]
 80: 1292| [47] [美夜子]
 81: 1295| [45] [「……ちゃん……！」]
 82: 1303| [47] [美夜子]
 83: 1306| [45] [「悠里ちゃん……！」]
 84: 1311| [45] [自分を呼ぶ声を聞き、悠里は目を覚ました。]
 85: 1398| [47] [悠里]
 86: 1401| [45] [「う……ん……」]
 87: 1406| [45] [悠里が目を開けると、目の前に天川博士がいた。]
 88: 1432| [47] [美夜子]
 89: 1435| [45] [「よかった、目を覚ましたのね」]
 90: 1443| [47] [悠里]
