  0:   51| [55] [√After Chapter 6]
  1:  118| [45] [Watase destroyed the door opening mechanism located right next to the door once he left the room.]
  2:  161| [47] [Watase]
  3:  162| [45] [(This way, Moribe and the old man can't get into the room... and Teach will be safe.)]
  4:  167| [45] [The auditory hallucination then returned with a vengeance.]
  5:  225| [85] [{Hey, answer me! Why did you knock Prof. Tsubakiyama out!?}]
  6:  226| [86] [Auditory Hallucination]
  7:  227| [86] [{Hey, answer me! Why did you knock Prof. Tsubakiyama out!?}]
  8:  242| [85] [{What the hell are you trying to do!?}]
  9:  243| [86] [Auditory Hallucination]
 10:  244| [86] [{What the hell are you trying to do!?}]
 11:  272| [47] [Watase]
 12:  273| [45] [(Heh... I -really- must be a lunatic if I'm going to actually answer an auditory hallucination...)]
 13:  278| [45] [Watase laughed bitterly, then answered the hallucination.]
 14:  286| [47] [Watase]
 15:  289| [45] ["... There's no point in trying to persuade Moribe and the old man. Worse, we all only have an hour left."]
 16:  297| [47] [Watase]
 17:  300| [45] ["But even so... there's still just one way to save everyone."]
 18:  358| [85] [{What!?}]
 19:  359| [86] [Auditory Hallucination]
 20:  360| [86] [{What!?}]
 21:  388| [45] [Watase took a security card out of his pocket.]
 22:  393| [45] [It was the "Level N" card that the dead girl had on her.]
 23:  398| [45] [The only key that would open the door to Area N--.]
 24:  406| [47] [Watase]
 25:  409| [45] ["... The commander said that the security system's going haywire because of those fires burning on in Area N."]
 26:  417| [47] [Watase]
 27:  420| [45] ["So if I can put out those fires--"]
 28:  428| [47] [Watase]
 29:  431| [45] ["Then that means the security system should stabilize, and the lockdown will be lifted...!"]
 30:  488| [85] [{...!}]
 31:  489| [86] [Auditory Hallucination]
 32:  490| [86] [{...!}]
 33:  505| [85] [{You... you're not actually thinking of going to Area N by yourself, are you?}]
 34:  506| [86] [Auditory Hallucination]
 35:  507| [86] [{You... you're not actually thinking of going to Area N by yourself, are you?}]
 36:  538| [47] [Watase]
 37:  541| [45] ["Bingo."]
 38:  546| [45] [The melted down nuclear reactor was in Area N.]
 39:  551| [45] [The radiation filling that area was no doubt off the charts compared to what they were faced with out here.]
 40:  556| [45] [But in spite of that-- Watase still managed to force a smile.]
 41:  561| [47] [Watase]
 42:  562| [45] [(Hmph... so what?)]
 43:  567| [45] [What he truly feared wasn't death.]
 44:  572| [45] [It was powerlessness. To watch everything come to an end, helpless to stop it.]
 45:  577| [45] [With that thought in mind and his destination set, Watase started walking off.%NThe auditory hallucination then began to shout desperately at him.]
 46:  634| [85] [{Stop it, you dumbass! You'll die!}]
 47:  635| [86] [Auditory Hallucination]
 48:  636| [86] [{Stop it, you dumbass! You'll die!}]
 49:  651| [85] [{You can't put out the fire of a burning nuclear reactor all by yourself!}]
 50:  652| [86] [Auditory Hallucination]
 51:  653| [86] [{You can't put out the fire of a burning nuclear reactor all by yourself!}]
 52:  668| [85] [{Even if you could, you'd be exposed to radiation for sure!}]
 53:  669| [86] [Auditory Hallucination]
 54:  670| [86] [{Even if you could, you'd be exposed to radiation for sure!}]
 55:  698| [45] [That voice had guided Watase many a time up until now, even though he didn't know if it was his ally or his enemy.]
 56:  703| [45] [So when Watase once again heard that voice no one else knew of--]
 57:  708| [45] [He defied it.]
 58:  716| [47] [Watase]
 59:  719| [45] ["... Sorry, but I can't listen to you this time."]
 60:  727| [47] [Watase]
 61:  730| [45] ["Someone's gotta do it. Everyone's struggled hard for the last five hours, but look where that got us."]
 62:  788| [85] [{You wanna die that badly!?]
 63:  790| [85] [ Are you really okay with dying if it means saving everyone else!?}]
 64:  791| [86] [Auditory Hallucination]
 65:  792| [86] [{You wanna die that badly!? Are you really okay with dying if it means saving everyone else!?}]
 66:  820| [45] [The voice was growing louder and angrier.]
 67:  825| [45] [Watase answered it with a wry smile.]
 68:  833| [47] [Watase]
 69:  836| [45] ["You wouldn't understand..."]
 70:  844| [47] [Watase]
 71:  847| [45] ["It's not that I want to die. I just want to save everyone, that's all."]
 72:  904| [85] [{...?}]
