  0:   93| [55] [√Before Chapter 2]
  1:  104| [47] [Ena]
  2:  107| [45] ["Okay, looks like we're all here~"]
  3:  118| [45] [Ena called out to her students.]
  4:  144| [47] [Ena]
  5:  147| [45] ["This is the mecca of BC research in Rokumei City, the Parapsychology Research Center."]
  6:  371| [47] [The Rokumei City Parapsychology Research Center-- or the PRC for short.]
  7:  378| [47] [As Rokumei City's largest BC research facility,]
  8:  383| [47] [it had achieved many research breakthroughs in the past.]
  9:  464| [47] [Ena]
 10:  467| [45] ["Now then, class, let's come on in!"]
 11:  500| [45] [Natsuhiko and the rest of the class followed Ena, who seemed oddly excited for the field trip.]
 12:  617| [45] [Once the class was inside, a staff member in charge of guiding visitors began to explain various things relating to the facility and BC in general.]
 13:  622| [47] [PRC Staff Member]
 14:  625| [45] ["Well, this is the office. We conduct all kinds of experimental data analysis here."]
 15:  630| [47] [PRC Staff Member]
 16:  633| [45] ["From a chiefly biological standpoint, BC is a function of brain activity, and thus--"]
 17:  685| [45] [Mashiro and the other students listened on curiously, but Natsuhiko was completely inattentive.]
 18:  690| [47] [Natsuhiko]
 19:  691| [45] [(For a cutting-edge research facility, they've got a pretty ordinary-looking office...)]
 20:  696| [45] [He was merely pondering dumb thoughts like that.]
 21:  712| [45] [In contrast to Natsuhiko, the most curious of them all was--]
 22:  920| [47] [Ena]
 23:  923| [45] ["I see, I see~ That's so enlightening!"]
 24:  928| [45] [Their leader, Ena.]
 25: 1002| [47] [Ena]
 26: 1005| [45] ["Do you do BC particle research here too?"]
 27: 1010| [47] [PRC Staff Member]
 28: 1013| [45] ["Research on that front takes place at a different laboratory. It's highly classified information,%Nso we can't show you, however."]
 29: 1036| [47] [PRC Staff Member]
 30: 1039| [45] ["For example, one certain laboratory conducts research on the function of intracerebral Mind particles and their interaction with Wanderer particles."]
 31: 1065| [47] [Ena]
 32: 1068| [45] ["What about measurement and analysis of the energy generated intracerebrally during BC usage?"]
 33: 1073| [47] [PRC Staff Member]
 34: 1076| [45] ["Yes, naturally we conduct research on that as well."]
 35: 1099| [47] [PRC Staff Member]
 36: 1102| [45] ["For example, in the case of a Level 4 Communicator, a maximum of 10 microscalar values of energy--"]
 37: 1171| [45] [And thus, Ena and the staff member essentially had a one-on-one conversation,%Nignoring the students...]
 38: 1176| [45] [And eventually, the field trip came to a close.]
 39: 1278| [47] [Ena]
 40: 1281| [45] ["Okay, everybody! How was it? Did you find everything fun?"]
 41: 1286| [45] [As they left the facility, Ena spoke to the lined up students.]
 42: 1356| [47] [Mashiro]
 43: 1359| [45] ["Aren't you the one who had the most fun, Ms. Ena--?"]
 44: 1367| [47] [Mashiro]
 45: 1370| [45] ["You started getting all technical on us and we couldn't keep up."]
 46: 1375| [45] [A few students laughed at Mashiro's jab.]
 47: 1427| [47] [Ena]
 48: 1430| [45] ["Y-you're right. I'm sorry."]
 49: 1456| [47] [Ena]
 50: 1459| [45] ["I can't have talks like that with the other teachers, so I got a little carried away back there... How embarrassing."]
 51: 1485| [47] [Ena]
 52: 1488| [45] ["Anyway, that's it for classes today. There's a bus back to school, but you may also split up here if you'd like."]
 53: 1493| [47] [Students]
 54: 1496| [45] ["Okay~"]
 55: 1522| [47] [Ena]
 56: 1525| [45] ["Be careful on your way back, everyone. The field trip's not over until you get home~"]
 57: 1530| [45] [And with that piece of advice, the field trip was over.]
 58: 1570| [45] [The students dispersed in every which way.]
 59: 1575| [45] [Since Natsuhiko and the others were not part of any clubs and thus had no business on campus after school, they decided to head straight home.]
 60: 1601| [47] [Mashiro]
 61: 1604| [45] ["Awrighty, how about we head home, Natsuhiko?"]
 62: 1612| [47] [Natsuhiko]
 63: 1615| [45] ["Yeah, sure."]
 64: 1620| [45] [Natsuhiko half-heartedly replied.]
 65: 1625| [47] [Natsuhiko]
 66: 1626| [45] [(Ah, man... I'm kinda tired.)]
 67: 1631| [45] [The sharp-sighted Ena caught sight of Natsuhiko's yawn and called out to him.]
 68: 1664| [47] [Ena]
 69: 1667| [45] ["You sure seem tired, Mr. Tenkawa."]
 70: 1693| [47] [Natsuhiko]
 71: 1696| [45] ["Ah... Professor."]
 72: 1764| [45] [Ena smiled dryly when Natsuhiko twitched.]
 73: 1772| [47] [Ena]
 74: 1775| [45] ["You were spacing out during the field trip too, weren't you? We can't be having any of that."]
 75: 1783| [47] [Natsuhiko]
 76: 1786| [45] ["I-I'm sorry."]
 77: 1812| [47] [Ena]
 78: 1815| [45] ["Hmm... You really don't like parapsychology, do you Mr. Tenkawa? That makes me a little sad as your parapsychology teacher."]
 79: 1823| [47] [Natsuhiko]
 80: 1826| [45] ["No, it's not that, Professor. It's just..."]
 81: 1852| [47] [Ena]
 82: 1855| [45] ["It's just...?"]
 83: 1863| [47] [Natsuhiko]
 84: 1866| [45] ["I'm not too good with BC itself, actually. It's hard to explain..."]
 85: 1871| [45] [Natsuhiko spoke what was on his mind.]
 86: 1876| [45] [Upon which, Mashiro cut in beside him.]
 87: 1902| [47] [Mashiro]
 88: 1905| [45] ["Natsuhiko didn't hate BC this much in the past, but... it looks like he's becoming more self-aware of how he's not good at it these past few years."]
 89: 1931| [47] [Ena]
 90: 1934| [45] ["I see... But there've always been people like that."]
 91: 1939| [45] [Ena smiled somewhat sadly as she spoke.]
 92: 1947| [47] [Ena]
 93: 1950| [45] ["And I'd like to change their perspectives if at all possible."]
 94: 1991| [47] [Ena]
 95: 1994| [45] ["And that's kind of why I became a parapsychology teacher."]
 96: 2020| [47] [Ena]
 97: 2023| [45] ["Even though I'm not a Communicator myself... Is that strange?"]
 98: 2031| [47] [Natsuhiko]
 99: 2034| [45] ["No, I don't find it strange in the slightest."]
100: 2039| [45] [Natsuhiko struggled to find a reply.]
101: 2090| [45] [Just as Ena said, she was a parapsychology teacher, but couldn't use BC in the slightest.]
102: 2095| [45] [But for someone of Ena's generation, that was only natural.]
103: 2100| [45] [The great worldwide Communicator boom only began about 16 years ago, after all.]
104: 2105| [45] [The vast majority of those born before that couldn't use BC.]
105: 2110| [45] [Even the teachers at Rokumei Academy were no exception. However--]
