  0:   92| [55] [√Double Chapter 3]
  1:  104| [45] [--Back at the shelter, Ukita and Jun were staring each other down.]
  2:  112| [47] [Ukita]
  3:  115| [45] ["Khh..."]
  4:  123| [47] [Jun]
  5:  126| [45] ["... Problem, Mr. Ukita?"]
  6:  132| [45] [Jun stepped up with that provocative line.]
  7:  137| [45] [Ukita had shot several rounds, but they had all lodged into the ground by Jun's feet.]
  8:  145| [47] [Jun]
  9:  148| [45] ["Looks like you can't hit me, huh?"]
 10:  156| [47] [Jun]
 11:  159| [45] ["All you're doing is threatening me. You ain't gonna stop me like that, you know?"]
 12:  226| [47] [Ukita]
 13:  229| [45] ["Wh-... whatever, just stop! Or I'll shoot you for real this time!"]
 14:  234| [45] [Ukita trained his aim on Jun. But her feet did not stop.]
 15:  239| [45] [Natsuhiko reached the end of his rope and called out to her.]
 16:  293| [47] [Natsuhiko]
 17:  296| [45] ["Jun, please stop!"]
 18:  304| [47] [Jun]
 19:  307| [45] ["Huh...?"]
 20:  315| [47] [Natsuhiko]
 21:  318| [45] ["Didn't you say you wanted to be a hero of justice!?"]
 22:  326| [47] [Natsuhiko]
 23:  329| [45] ["What kind of hero kills people!?"]
 24:  337| [47] [Jun]
 25:  340| [45] ["... No worries. I ain't gonna kill you guys."]
 26:  348| [47] [Jun]
 27:  351| [45] ["Just gonna lop off an arm or a leg or two so you can't move, that's all."]
 28:  359| [47] [Natsuhiko]
 29:  362| [45] ["You won't be a rescue worker anymore if you do that, Jun!"]
 30:  419| [47] [Jun]
 31:  422| [45] ["Natsuhiko... You know, Mr. Ukita struck me on the back of the head and snatched the bullets from me."]
 32:  430| [47] [Jun]
 33:  433| [45] ["He stole them so he could kill people."]
 34:  441| [47] [Jun]
 35:  444| [45] ["So you see, he's an attempted murderer!"]
 36:  452| [47] [Natsuhiko]
 37:  455| [45] ["He wasn't himself at the time! He doesn't have thoughts like that anymore!"]
 38:  512| [47] [Jun]
 39:  515| [45] ["How the hell can you say that!? How the hell do you suggest an attempted murderer could ever reform!?"]
 40:  523| [47] [Jun]
 41:  526| [45] ["Listen! It's too late to act once someone's been killed! The dead are never coming back!"]
 42:  534| [47] [Jun]
 43:  537| [45] ["It's not like I wanna do this either, dammit! But if the alternative is to regret the loss of another victim--"]
 44:  677| [47] [Jun]
