  0:   77| [55] [√Before Chapter 3]
  1:   85| [45] [There were no particularly memorable lessons after that.]
  2:   90| [45] [Lunch break ended and the afternoon classes swiftly came to a close...]
  3:  170| [45] [--After school.]
  4:  181| [45] [Natsuhiko stretched and called out to the seat next to him.]
  5:  189| [47] [Natsuhiko]
  6:  192| [45] ["All right, Mashiro, how about we head--"]
  7:  293| [45] [He stopped before he could finish.]
  8:  298| [45] [Salyu was staring directly at him.]
  9:  303| [47] [Salyu]
 10:  304| [45] ["..."]
 11:  312| [47] [Natsuhiko]
 12:  315| [45] ["... Ah, right, you coming with us, Salyu?"]
 13:  413| [47] [Salyu]
 14:  416| [45] ["... Mm."]
 15:  421| [45] [Natsuhiko felt an odd sense of tension and distance with her. There was something about her ominous story that bugged him too.]
 16:  426| [47] [Natsuhiko]
 17:  427| [45] [(It's kinda hard to talk to her... What do I do?)]
 18:  453| [47] [Mashiro]
 19:  456| [45] ["What's wrong you two? Still feeling awkward around each other? Just try to act natural when you talk. Natural."]
 20:  464| [47] [Natsuhiko]
 21:  467| [45] ["Nah... wait, Mashiro, what about you? How can you be so calm?"]
 22:  493| [47] [Natsuhiko]
 23:  496| [45] ["Weren't you quivering in fear from Salyu's story earlier today?"]
 24:  522| [47] [Mashiro]
 25:  525| [45] ["What, still talking about that? You worry too much, Natsuhiko."]
 26:  533| [47] [Natsuhiko]
 27:  536| [45] ["Or so you say..."]
 28:  559| [45] [It was not as if he could lower his guard with the flip of a switch.]
 29:  564| [45] [Far from it. It was only stronger today compared to yesterday.]
 30:  572| [47] [Natsuhiko]
 31:  575| [45] ["Even if you tell us to talk naturally, it's not like we have any topics in common to talk about."]
 32:  601| [47] [Mashiro]
 33:  604| [45] ["Good grief, that's so anti-social of you... Let's see... What can we do about that..."]
 34:  609| [45] [Mashiro fell silent to ponder for a second-- and then clapped her hands together.]
 35:  635| [47] [Mashiro]
 36:  638| [45] ["Okay! Let's all go shopping today!"]
 37:  664| [47] [Natsuhiko]
 38:  667| [45] ["Huh? But didn't we just go shopping the day before yesterday?"]
 39:  693| [47] [Mashiro]
 40:  696| [45] ["That was grocery shopping. It doesn't count. Salyu, you've just moved in, so there's a bunch of stuff you need too, right?"]
 41:  722| [47] [Salyu]
 42:  725| [45] ["No, not particularly--"]
 43:  751| [47] [Mashiro]
 44:  754| [45] ["Now-now-now-now, no need to hold back. I mean, it's just sooo boring to just go straight back home, isn't it?"]
 45:  780| [47] [Mashiro]
 46:  783| [45] ["The weather's nice, too. Perfect shopping weather. So how about the three of us go shopping?"]
 47:  806| [47] [Salyu]
 48:  807| [45] ["..."]
 49:  833| [47] [Salyu]
 50:  836| [45] ["... I'll go if Natsuhiko goes."]
 51:  844| [47] [Natsuhiko]
 52:  847| [45] ["Huh?"]
 53:  870| [45] [Natsuhiko jumped at the abrupt answer.]
 54:  875| [45] [Was Salyu perhaps trying to lower her guard around him too?]
 55:  880| [45] [If that were the case, it'd mean Natsuhiko was the only one being obstinate. Quite the awkward situation.]
 56:  888| [47] [Natsuhiko]
 57:  891| [45] ["W-well, fine, then..."]
 58:  917| [47] [Mashiro]
 59:  920| [45] ["Okay, that settles it! Welp, here we go!"]
 60:  925| [45] [Salyu nodded expressionlessly. Natsuhiko nodded with a sigh.]
 61: 1048| [45] [--And so Mashiro took them to Center Street.]
 62: 1053| [47] [Natsuhiko]
 63: 1054| [45] [(But still, how'd things turn out like this...?)]
 64: 1160| [45] [As Natsuhiko pondered this turn of events, Mashiro was to his right, enjoying herself.%NSalyu was to his left, sulking.]
 65: 1186| [47] [Mashiro]
 66: 1189| [45] ["Salyu, is there anything you want?"]
 67: 1215| [47] [Salyu]
 68: 1218| [45] ["Not in particular."]
 69: 1269| [47] [Natsuhiko]
 70: 1270| [45] [(Then what did we come here for...?)]
 71: 1275| [45] [Natsuhiko had that thought, but said nothing. He just followed silently wherever Mashiro took him.]
 72: 1283| [47] [Mashiro]
 73: 1286| [45] ["Have you gotten everything you need for daily life?"]
 74: 1312| [47] [Salyu]
 75: 1315| [45] ["The professor already bought me the essentials like a towel, a toothbrush, and underwear. That should be plenty."]
 76: 1341| [47] [Mashiro]
 77: 1344| [45] ["Mmmgh, you live so simply...!"]
 78: 1360| [47] [Natsuhiko]
 79: 1363| [45] ["Even though you seem like a princess..."]
 80: 1368| [45] [Natsuhiko was surprised to learn about that side of Salyu, but--]
 81: 1373| [45] [That's when he noticed something.]
 82: 1381| [47] [Natsuhiko]
 83: 1384| [45] ["Wait a second... What about clothes?"]
 84: 1425| [47] [Salyu]
 85: 1428| [45] ["Huh?"]
 86: 1436| [47] [Natsuhiko]
 87: 1439| [45] ["You were wearing your uniform even when you came to the house. Don't tell me those are the only clothes you have?"]
 88: 1465| [47] [Salyu]
 89: 1468| [45] ["Is that a problem?"]
 90: 1494| [47] [Natsuhiko]
 91: 1497| [45] ["I knew it... We -are- talking about Mom here, so I guess she didn't even think about clothes for Salyu."]
 92: 1505| [45] [Natsuhiko had been ignoring the conversation, but--]
 93: 1510| [45] [Before long, Mashiro spoke up as if she had noticed something.]
