  0:    8| [55] [√After Chapter3]
  1:   16| [45] [階段室からロープを伝い、地下２階へ――]
  2:   66| [45] [そしてファクトリーに戻ると、すぐに皆が飛んで来た。]
  3:  146| [47] [洵]
  4:  149| [45] [「隊長！　何かあったの！？」]
  5:  157| [47] [恵那]
  6:  160| [45] [「なんかどすんって音が鳴ったけど……」]
  7:  168| [47] [渡瀬]
  8:  171| [45] [「いや、大したことないさ。連絡通路が崩れただけだ」]
  9:  199| [47] [風見]
 10:  202| [45] [「それより皆さん、要救助者等は見つかりましたか？」]
 11:  228| [47] [洵]
 12:  231| [45] [「それが……いないんだよ」]
 13:  309| [47] [風見]
 14:  312| [45] [「隊長！　何かあったのですか！？」]
 15:  320| [47] [恵那]
 16:  323| [45] [「なんかどすんって音が鳴ったけど……」]
 17:  331| [47] [渡瀬]
 18:  334| [45] [「いや、大したことないさ。連絡通路が崩れただけだ」]
 19:  362| [47] [洵]
 20:  365| [45] [「それよりみんな、要救助者とかいた？」]
 21:  391| [47] [恵那]
 22:  394| [45] [「それが……いないのよ」]
 23:  472| [47] [風見]
 24:  475| [45] [「隊長！　何かあったのですか？」]
 25:  483| [47] [洵]
 26:  486| [45] [「なんかどすんって音が鳴ったけど！」]
 27:  494| [47] [渡瀬]
 28:  497| [45] [「いや、大したことないさ。連絡通路が崩れただけだ」]
 29:  525| [47] [恵那]
 30:  528| [45] [「それより皆さん、あの子たちは見つかった？」]
 31:  554| [47] [洵]
 32:  557| [45] [「それが……いないんだよ」]
 33:  676| [47] [宇喜多]
 34:  679| [45] [「隅々まで捜索したのだがね、要救助者の姿はどこにもない」]
 35:  687| [47] [ユウリ]
 36:  690| [45] [「あの、内周棟にもいなかったんですか……？」]
 37:  698| [47] [渡瀬]
 38:  701| [45] [「あぁ、こっちでも誰も見つからなかった」]
 39:  706| [45] [渡瀬たちは、すでにラボ内の全エリアの捜索をすでに終えてしまっている。]
 40:  711| [45] [だが、要救助者はどこにもいない。死体すらも見つからない。]
 41:  719| [47] [渡瀬]
 42:  722| [45] [「じゃあ……いよいよ、間違いないな」]
 43:  750| [47] [風見]
 44:  753| [45] [「え？」]
 45:  761| [47] [渡瀬]
 46:  764| [45] [「あの子たちはすでに、搬出リフトから脱出したんだ！」]
 47:  793| [47] [風見]
 48:  796| [45] [「そう考えるのが自然ですね……！」]
 49:  801| [45] [渡瀬の言葉に、洵たちが訝しげな顔をする。]
 50:  827| [47] [洵]
 51:  830| [45] [「搬出リフト？　なにそれ？」]
 52:  856| [47] [風見]
 53:  859| [45] [「ファクトリーのどこかに、地上に脱出できるリフトがあるらしいのです」]
 54:  867| [47] [渡瀬]
 55:  870| [45] [「ほら、これ見てくれ！」]
 56:  875| [45] [渡瀬はそう言って、さきほど入手した防災マニュアルを皆に見せた。]
 57:  901| [47] [宇喜多]
 58:  904| [45] [「そうか……こんな手があったのか！」]
 59:  930| [47] [恵那]
 60:  933| [45] [「確かに、これなら行けそうね……！」]
 61:  941| [47] [渡瀬]
 62:  944| [45] [「だろ？　なぁみんな、ファクトリーの中に、それっぽいリフトはなかったか？」]
