  0:   46| [55] [√After Chapter 1]
  1:   60| [45] [By the time Watase's group made it back to the inner ring, Ena and the others were waiting to greet them.]
  2:  122| [47] [Ena]
  3:  125| [45] ["D-did something happen? I thought I heard an explosion or something."]
  4:  133| [47] [Watase]
  5:  136| [45] ["Well, you see, there was this backdraft, and..."]
  6:  141| [45] [--Watase informed Ena, Ukita, and Yuuri of what'd transpired back in the outer ring.]
  7:  168| [47] [Ukita]
  8:  171| [45] ["There was that much fire in the outer ring...!?"]
  9:  179| [47] [Watase]
 10:  182| [45] ["What's wrong, Mr. Ukita? You seem rather surprised."]
 11:  208| [47] [Ukita]
 12:  211| [45] ["No, it's not that... just thinking about how the fire's spread further than I'd imagined."]
 13:  239| [47] [Jun]
 14:  242| [45] ["Damn straight. If I'd known it'd spread that far, I probably wouldn't have gone myself and left you guys behind."]
 15:  250| [47] [Watase]
 16:  253| [45] ["I'm also to blame for what happened... sorry, Mr. Ukita."]
 17:  279| [47] [Ukita]
 18:  282| [45] ["Let's not dwell on it. It's more important that we make haste with the search, is it not?"]
 19:  308| [47] [Jun]
 20:  311| [45] ["Then let's get moving on to floor B1 on the dou... wait, what the heck?"]
 21:  316| [45] [A puzzled look formed on Jun's face before she could finish her sentence.]
 22:  342| [47] [Jun]
 23:  345| [45] ["Hey, Ms. Tsubakiyama, Mr. Ukita... where's Yuuri?"]
 24:  371| [47] [Ena]
 25:  374| [45] ["--Huh!?"]
 26:  413| [45] [Taken aback with shock, everyone looked around them.]
 27:  418| [45] [But Yuuri was nowhere to be found.]
 28:  478| [47] [Watase]
 29:  481| [45] ["Wh-where did she go!?"]
 30:  507| [47] [Ena]
 31:  510| [45] ["I don't know! She was right here with us a minute ago!"]
 32:  536| [47] [Ukita]
 33:  539| [45] ["I swear, I had my eyes on her until just a little while back!"]
 34:  565| [47] [Jun]
 35:  568| [45] ["Then she ran away!? But why!?"]
 36:  594| [47] [Kazami]
 37:  597| [45] ["I don't know, but this is bad... it's too dangerous to wander around alone in this place!"]
 38:  685| [47] [Ena]
 39:  688| [45] ["...!"]
 40:  693| [45] [Ena gasped sharply at Kazami's words.]
 41:  698| [45] [Watase saw what appeared to be a look of guilt cover her face.]
 42:  706| [47] [Watase]
 43:  709| [45] ["Teach, we need to look for her now!"]
 44:  735| [47] [Ena]
 45:  738| [45] ["Y-you're right... She couldn't have gotten far!"]
 46:  780| [45] [The two of them exchanged glances and simultaneously broke off into a run.]
 47:  834| [45] [They heard the other members of the group talking and taking off running soon after.]
 48:  842| [47] [Kazami]
 49:  845| [45] ["Moribe, Mr. Ukita, let's search too!"]
 50:  853| [47] [Jun]
 51:  856| [45] ["Roger!"]
 52:  864| [47] [Ukita]
 53:  867| [45] ["Right, let's hurry!"]
 54:  950| [45] [Watase turned to Ena as they dashed through the hallway.]
 55:  958| [47] [Watase]
