  0:   39| [55] [√Before Chapter 4]
  1:   69| [45] [And thus began the second hour of class--]
  2:   74| [45] [Ena explained the next topic to the students.]
  3:  101| [47] [Ena]
  4:  104| [45] ["Now then, class. Let's practice 'empathy' for the next hour."]
  5:  130| [47] [Ena]
  6:  133| [45] ["Empathy is the ability to read other people's minds. It's quintessential to BC."]
  7:  159| [47] [Ena]
  8:  162| [45] ["That said... there's nobody in the class that can use empathy yet, is there?"]
  9:  167| [45] [After seeing the students meekly shake their heads, Ena continued.]
 10:  193| [47] [Ena]
 11:  196| [45] ["Indeed, empathy is several times more difficult than telepathy, even though the underlying theory is pretty much the same."]
 12:  201| [45] [Ena tampered with the computer as she spoke, causing text to appear on the screen.]
 13:  330| [47] [Ena]
 14:  333| [45] ["You start out with the same trick you used for telepathy, that is, you perceive the target's characteristic brain waveform and establish a brain-brain connection."]
 15:  341| [47] [Ena]
 16:  344| [45] ["During this connection, your target will emit trace amounts of information energy. Regardless of whether they're a Communicator or not."]
 17:  352| [47] [Ena]
 18:  355| [45] ["Thinking naturally causes you to emit energy. It's even less energy than the characteristic brain waveform and it's quite complicated..."]
 19:  363| [47] [Ena]
 20:  366| [45] ["But experienced Communicators are able to perceive it."]
 21:  414| [47] [Ena]
 22:  417| [45] ["The Communicator mentally analyzes the perceived information energy."]
 23:  425| [47] [Ena]
 24:  428| [45] ["If they successfully analyze it, an 'auditory hallucination' occurs in their auditory cortex and they hear the target's 'mental voice'."]
 25:  436| [47] [Ena]
 26:  439| [45] ["And that is the three step process to expressing empathy."]
 27:  444| [45] [Upon hearing her explanation--]
 28:  518| [47] [Male Student 1]
 29:  521| [45] ["I-I see. It's easy to understand when you say it like that, but it's easier said than done...!"]
 30:  526| [45] [--one student spoke up first.]
 31:  531| [45] [The other students nodded in agreement.]
 32:  557| [47] [Ena]
 33:  560| [45] ["True... I know it's a lot harder than it sounds, too."]
 34:  586| [47] [Ena]
 35:  589| [45] ["In terms of a phone call, it's as if the other side is talking quietly to ensure you normally wouldn't hear them."]
 36:  615| [47] [Ena]
 37:  618| [45] ["It's the same with normal conversation. You can try talking to someone whenever you want,%Nbut sometimes it's hard to get someone else to start talking..."]
 38:  623| [45] [Ena smiled a little awkwardly as she continued.]
 39:  649| [47] [Ena]
 40:  652| [45] ["But in any case, there's one important principle you must never forget when using empathy."]
 41:  678| [47] [Ena]
 42:  681| [45] ["That is, your target absolutely must open their heart to you."]
 43:  689| [47] [Ena]
 44:  692| [45] ["If you try to use empathy on a target who has not opened their heart, their mental voice will be plagued with noise."]
 45:  718| [47] [Ena]
 46:  721| [45] ["When two brains connect, the target's brain instinctively senses danger and actively works to combat having its thoughts read."]
 47:  747| [47] [Ena]
 48:  750| [45] ["That self-defense mechanism manifests in the form of noise."]
 49:  776| [47] [Ena]
 50:  779| [45] ["Which is why when you use empathy, you must first get your target to think it's okay for you to read their mind."]
 51:  805| [47] [Ena]
 52:  808| [45] ["Otherwise, even if you do invoke empathy, you won't be able to properly hear your target's mental voice."]
 53:  904| [47] [Mashiro]
 54:  907| [45] ["I see. But why are human brains equipped with that sort of defense mechanism?"]
 55:  912| [45] [Upon hearing Mashiro's question, Ena grinned and replied.]
 56: 1008| [47] [Ena]
 57: 1011| [45] ["No idea."]
 58: 1107| [47] [Mashiro]
 59: 1110| [45] ["Huh? Wh-what do you mean--?"]
 60: 1206| [47] [Ena]
 61: 1209| [45] ["BC theory is still under development, you see. There are various theories, but nothing conclusive yet."]
 62: 1235| [47] [Ena]
 63: 1238| [45] ["For example, one theory states that when people feel uncomfortable about someone else, their thoughts begin to run wild, and that's what causes the noise."]
 64: 1246| [47] [Ena]
 65: 1249| [45] ["One theory even states that Communicators have existed for ages, and the noise is a defense mechanism acquired by non-Communicators to protect themselves from them."]
 66: 1275| [47] [Ena]
 67: 1278| [45] ["There are many theories, but for the time being, it's a mystery. For now, I believe it's fine to just accept it as a fact of life."]
 68: 1304| [47] [Ena]
 69: 1307| [45] ["But still, if it weren't for this defense mechanism, empathy would be regarded as a truly dangerous ability, wouldn't it..."]
 70: 1312| [45] [A faint shadow casted over Ena's face as she said this.]
 71: 1317| [45] [That's when Salyu suddenly spoke up.]
 72: 1413| [47] [Salyu]
 73: 1416| [45] ["Are there any students in this school who can use empathy?"]
 74: 1512| [47] [Ena]
 75: 1515| [45] ["Huh? Yes... indeed, there are quite a few scattered from the elementary campus all the way through to the high school campus."]
 76: 1523| [47] [Ena]
 77: 1526| [45] ["So even if empathy seems extremely difficult to use, it's by no means a mere pipe dream for you kids."]
 78: 1552| [47] [Ena]
 79: 1555| [45] ["By the way, if you become able to use empathy, you're awarded Ability Level 4 certification or higher, unconditionally."]
 80: 1560| [47] [Students]
 81: 1563| [45] ["Whooaa~!"]
 82: 1568| [45] [The students got excited at those words.]
 83: 1573| [45] [In this school, students with high BC ability levels were treated preferentially.]
 84: 1578| [45] [Ability Level 4 and 5 students in particular received special privileges such as tuition waivers and scholarships. They even received recommendations to major in parapsychology in top colleges.]
 85: 1583| [45] [Furthermore, students who can use empathy gain the respect of other students with that feat alone.]
 86: 1588| [47] [Natsuhiko]
 87: 1589| [45] [(I'm sure at an ordinary school, being able to read minds would get you beat up and ostracized...)]
 88: 1594| [45] [But that was far from the case at Rokumei Academy.]
 89: 1599| [45] [Rokumei Academy severely punished any instance of discrimination against empaths.]
