  0:   14| [55] [√Before Chapter 2]
  1:   18| [45] [--After lunch break--]
  2:   29| [45] [An extracurricular lesson was scheduled for the afternoon classes.]
  3:   34| [45] [The students were to board a bus for a field trip to an outside facility.]
  4:  108| [45] [Natsuhiko and the others left the school with Ena.]
  5:  207| [45] [And as they waited at the bus stop in front of the school gate, Mashiro talked to Salyu again.]
  6:  215| [47] [Mashiro]
  7:  218| [45] ["Salyu, how was the cafeteria food?"]
  8:  244| [47] [Salyu]
  9:  247| [45] ["Normal."]
 10:  252| [45] [They were apparently talking about the food they ate just a while ago.]
 11:  257| [47] [Natsuhiko]
 12:  258| [45] [("Normal", huh... Just how long is she going to keep up the lone wolf act?)]
 13:  284| [47] [Salyu]
 14:  287| [45] ["I was just a little surprised."]
 15:  313| [47] [Mashiro]
 16:  316| [45] ["Huh, about what?"]
 17:  342| [47] [Salyu]
 18:  345| [45] ["The system for buying your own food."]
 19:  353| [47] [Salyu]
 20:  356| [45] ["I thought all food was supposed to be served to you."]
 21:  364| [47] [Natsuhiko]
 22:  367| [45] ["Hmm?"]
 23:  372| [45] [Natsuhiko couldn't help but interject at her odd statement.]
 24:  380| [47] [Natsuhiko]
 25:  383| [45] ["Food's supposed to be served to you...? Is that how it is at rich girl schools?"]
 26:  409| [47] [Salyu]
 27:  412| [45] ["I don't know what you mean by 'rich girl schools', but I personally have never gone and bought my own food before."]
 28:  420| [47] [Natsuhiko]
 29:  423| [45] ["R-really...?"]
 30:  428| [45] [Natsuhiko was taken a little by surprise, but Mashiro, on the other hand, spoke calmly.]
 31:  454| [47] [Mashiro]
 32:  457| [45] ["Haah, I guess French schools really are such high society establishments."]
 33:  483| [47] [Mashiro]
 34:  486| [45] ["Well, if you come across anything else you don't quite understand, don't hesitate to ask."]
 35:  512| [47] [Salyu]
 36:  515| [45] ["Anything I don't understand..."]
 37:  520| [45] [Salyu pondered Mashiro's offer for a little bit, and then--]
 38:  546| [47] [Salyu]
 39:  549| [45] ["... What's that?"]
 40:  587| [45] [She pointed outside the school gate and inquired.]
 41:  799| [45] [Salyu's finger was aimed at a camera overlooking the street in plain sight.]
 42:  807| [47] [Mashiro]
 43:  810| [45] ["Oh, that's a security camera."]
 44:  818| [47] [Salyu]
 45:  821| [45] ["Security camera...? For keeping the students under surveillance?"]
 46:  829| [47] [Mashiro]
 47:  832| [45] ["Ahah, no, not quite. It's just to make sure nobody suspicious tries to get into the school."]
 48:  917| [47] [Salyu]
 49:  920| [45] ["That reminds me, I saw a lot of those around town yesterday, too. Are they everywhere?"]
 50:  946| [47] [Mashiro]
 51:  949| [45] ["Yup. There are security cameras all over Rokumei City to keep a careful eye on any suspicious people."]
 52:  954| [45] [Mashiro explained pridefully.]
 53:  959| [45] [The security cameras established high levels of public order within the city.]
 54:  985| [47] [Salyu]
 55:  988| [45] ["What an odd city. Something feels a little off."]
 56: 1015| [47] [Mashiro]
