  0:   47| [55] [√After Chapter 5]
  1:   62| [45] [--Area 6, inner ring, B2--]
  2:   67| [45] [Watase and Ukita were searching the area.]
  3:   72| [45] [But... they couldn't find anything.]
  4:   80| [47] [Watase]
  5:   83| [45] ["... There's nothing here."]
  6:  145| [47] [Ukita]
  7:  148| [45] ["Then I suppose all we can do is check B1, yes?"]
  8:  156| [47] [Watase]
  9:  159| [45] ["Yeah."]
 10:  164| [45] [They headed for the emergency staircase.]
 11:  208| [45] [The staircase in that dim stairwell... had collapsed.]
 12:  213| [45] [But the rope Watase had used to climb up earlier was still right where he'd left it.]
 13:  246| [47] [Ukita]
 14:  249| [45] ["Does... this mean that we have to climb this rope in order to get upstairs?"]
 15:  257| [47] [Watase]
 16:  260| [45] ["Yeah. Can you climb it?"]
 17:  286| [47] [Ukita]
 18:  289| [45] ["H-highly unlikely. I have absolutely zero confidence when it comes to climbing...!"]
 19:  297| [47] [Watase]
 20:  300| [45] ["Well, that's okay. Just get on my back and I'll--"]
 21:  305| [45] [But Watase realized something before he finished speaking.]
 22:  310| [45] [He was feeling quite tired. Could he really climb up the rope with Ukita on his back in this shape?]
 23:  317| [47] [Watase]
 24:  318| [45] [(It'd be just like what happened before... if I fall with the old man on my back, the both of us are gonna get badly hurt.)]
 25:  324| [47] [Watase]
 26:  325| [45] [(If the two of us fall together by any chance, we'll both get badly hurt...)]
 27:  333| [47] [Watase]
 28:  336| [45] ["Actually... I think it'd be safer if I didn't climb with you on my back."]
 29:  362| [47] [Ukita]
 30:  365| [45] ["I see... then what do you propose?"]
 31:  373| [47] [Watase]
 32:  376| [45] ["I'll go by myself."]
 33:  384| [47] [Watase]
 34:  387| [45] ["You go back to the factory and help Moribe and Teach with their search."]
 35:  413| [47] [Ukita]
 36:  416| [45] ["Roger. Then rendezvous with us in the factory when you're done."]
 37:  424| [47] [Watase]
 38:  427| [45] ["Yeah. You be careful yourself."]
 39:  460| [45] [Ukita nodded, then left the stairwell.]
 40:  468| [47] [Watase]
 41:  471| [45] ["Okay then..."]
 42:  476| [45] [Watase promptly climbed the rope to the upper floor.]
 43:  580| [45] [--Area 6, inner ring, B1.]
 44:  585| [45] [Watase began searching the block by himself.]
 45:  633| [45] [But he didn't find Yuuri or any of the other survivors in the rooms.]
 46:  693| [45] [Time was passing by, and he still hadn't secured any more AD.]
 47:  701| [47] [Watase]
 48:  704| [45] ["Tch, and after all that work to get up here..."]
 49:  709| [45] [He figured he should go to the factory and meet up with Ukita and the others.]
 50:  714| [45] [But just as he thought that--]
 51:  758| [45] [The PC monitor in the room suddenly caught Watase's eye.]
 52:  766| [47] [Watase]
 53:  769| [45] ["...?"]
 54:  774| [45] [He hadn't noticed it the last time he'd been there.]
 55:  779| [45] [The monitor was still on. It appeared the PC was frozen.]
 56:  784| [45] [On-screen was what appeared to be a text file that someone had been editing.]
 57:  822| [45] [<Test Subjects and IGF2R Gene Type>]
 58:  825| [85] [　]
 59:  828| [45] [Subject A: Hereditary IGF2R Gene Abnormality Type S (Deceased)]
 60:  831| [45] [Subject N: Hereditary IGF2R Gene Abnormality Type S]
 61:  834| [45] [Subject Y: IGF2R Gene Type 4]
 62:  837| [45] [           (showed no signs of genetic mutation via WX particles/Discarded)]
 63:  840| [45] [Subject Y-II: Acquired IGF2R Gene Abnormality Type S]
 64:  843| [45] [             (Natural IGF2R Gene Abnormality Type C)]
 65:  846| [85] [　]
 66:  849| [45] [Y's discarding->no precedent regarding releases  Expected problem(s): memory recovery, etc.]
 67:  853| [45] [<Observation Targets and IGF2R Gene Type>]
 68:  856| [85] [　]
 69:  859| [45] [Special Observation Target Na: Hereditary IGF2R Gene Abnormality Type S]
 70:  862| [45] [Special Observation Target Na2: Acquired IGF2R Gene Abnormality Type S]
 71:  865| [45] [                    (Natural IGF2R Gene Abnormality Type C)]
 72:  868| [45] [Special Observation Target Yu: IGF2R Gene Type 4]
 73:  871| [45] [Observation Target Ka: Hereditary IGF2R Gene Abnormality Type D]
 74:  874| [45] [Observation Target Ma: Hereditary IGF2R Gene Abnormality Type B]
 75:  877| [85] [　]
 76:  880| [45] [*Ma: Level 5 -> consider irradiation test]
 77:  883| [45] [*Na -> Subject N (April 07, 2021)]
 78:  886| [45] [*Subject Y -> Yu (Sept. 10, 2030)]
 79:  922| [47] [Watase]
 80:  925| [45] ["...!!!???"]
 81:  930| [45] [Nothing he saw on that screen meant anything to Watase.]
 82:  935| [45] [And yet-- he felt a mysterious chill run through him the moment he saw all those entries for some reason.]
 83:  943| [47] [Watase]
 84:  946| [45] ["T-test subjects...!?"]
 85:  994| [45] [At the exact moment he muttered that-- strange images flickered through Watase's brain.]
 86: 1042| [86] [???]
 87: 1043| [86] ["I think it's because they're basically scared of those people."]
 88: 1053| [85] ["I think it's because they're basically scared of those people."]
 89: 1116| [86] [???]
 90: 1117| [86] ["She was ostracized by others because of that power even before that incident."]
 91: 1125| [85] ["She was ostracized by others because of that power even before that incident."]
 92: 1188| [86] [???]
 93: 1189| [86] ["What... in God's name is this!?"]
 94: 1197| [85] ["What... in God's name is this!?"]
 95: 1260| [86] [???]
 96: 1261| [86] ["Keeheeheeheeheeheehee!"]
 97: 1269| [85] ["Keeheeheeheeheeheehee!"]
 98: 1364| [47] [Watase]
 99: 1365| [45] [(--!!)]
100: 1370| [45] [He didn't recognize any of those images. Perhaps they were remnants of his memories of the past.]
101: 1375| [45] [But they were accompanied by intense fear and unpleasant feelings that assaulted him.]
102: 1380| [45] [He didn't know why, but just being there was terrifying and made him disgusted enough to throw up...]
103: 1437| [47] [Watase]
104: 1440| [45] ["Khh...!"]
105: 1445| [45] [Watase left the room as if he were running away from it.]
106: 1494| [47] [Watase]
