  0:   51| [55] [√Double Chapter5]
  1:   63| [45] [――そして、夏彦たちのはるか下方、Ｚｅｒｏエリアには――]
  2:   68| [45] [もう１つの絶望があった。]
  3:  137| [47] [渡瀬]
  4:  140| [45] [「この爆弾は……解体不可能だ……！」]
  5:  145| [45] [渡瀬の疲れ切った声が響く。]
  6:  150| [45] [渡瀬たちは４人がかりで、このテトリル爆弾に挑んだ。]
  7:  155| [45] [わずか８分でデジタルプロテクトを外し、カバーを開けるまでに至ったのだ。]
  8:  160| [45] [だが、そこで洵がうめいた。]
  9:  195| [47] [洵]
 10:  198| [45] [「これ……普通の起爆装置じゃない！」]
 11:  203| [45] [それは渡瀬たちが想定していたより、はるかに凶悪な品だった。]
 12:  208| [45] [信管を火薬が覆い、その周囲にさらに信管が配置された、入れ子構造の起爆装置。]
 13:  213| [45] [わずかにでも解体に失敗すれば、連鎖爆発が起きるのだ。]
 14:  292| [47] [宇喜多]
 15:  295| [45] [「ど、どうにかならないのかね？」]
 16:  303| [47] [渡瀬]
 17:  306| [45] [「……時間をかければなんとかなるってもんじゃない」]
 18:  314| [47] [渡瀬]
 19:  317| [45] [「Ｘ線でも使って、内部を確認しつつ解体しないと、どうにもならない代物だよ」]
 20:  349| [47] [洵]
 21:  352| [45] [「装備が少なすぎる……いや、フル装備でも解体できるかどうか……」]
 22:  406| [47] [サリュ]
 23:  409| [45] [「それでも一か八かで――」]
 24:  435| [47] [洵]
 25:  438| [45] [「危険すぎるよ！　ちょっとしたミスで、全員が爆死する！」]
 26:  446| [47] [洵]
 27:  449| [45] [「そんな賭けに乗る事はできない！」]
 28:  472| [47] [サリュ]
 29:  473| [45] [「……」]
 30:  478| [45] [サリュが苦々しく奥歯を噛む。]
 31:  486| [47] [渡瀬]
 32:  489| [45] [「……止むを得ない。一度夏彦たちのところに戻って、方策を話そう」]
 33:  515| [47] [洵]
 34:  518| [45] [「……うん」]
 35:  576| [45] [被験体Ｎの部屋を出て、エレベーターに向かう。]
 36:  581| [45] [籠が下りてくるのを待ちながら、渡瀬は思っていた。]
 37:  586| [47] [渡瀬]
 38:  587| [45] [（爆弾は解体できなかった、が……）]
 39:  592| [47] [渡瀬]
 40:  593| [45] [（皆が生き延びる方法は、もう１つだけある）]
 41:  598| [45] [――いや、それは厳密には正解ではない。]
 42:  603| [45] [むしろ明らかな不正解だ。]
 43:  608| [45] [渡瀬１人ではできない事なのだから。]
 44:  613| [47] [渡瀬]
 45:  614| [45] [（だが、いよいよになったらそれを……）]
 46:  667| [45] [そう思いながら、渡瀬は皆の顔を見回した。]
 47:  672| [47] [渡瀬]
 48:  673| [45] [（おっさん、守部、サリュか……）]
 49:  678| [47] [渡瀬]
 50:  679| [45] [（恐らく、おっさんは賛同すると思うが……）]
 51:  762| [45] [そう思った時、渡瀬はふと気付いた。]
 52:  785| [45] [洵がずっと被験体Ｎの部屋の方を、見つめている事に。]
 53:  793| [47] [渡瀬]
 54:  796| [45] [「……どうした、爆弾の事が気になるのか？」]
 55:  822| [47] [洵]
 56:  825| [45] [「あ、いや……」]
 57:  851| [47] [洵]
 58:  854| [45] [「違うよ……気になるのは、あの部屋の内装の事だよ」]
 59:  862| [47] [渡瀬]
 60:  865| [45] [「え？」]
 61:  870| [45] [そう言えば被験体Ｎの部屋に入った時も、洵は部屋を見て驚いていた。]
 62:  897| [47] [宇喜多]
 63:  900| [45] [「内装がどうかしたのかね？」]
 64:  932| [47] [洵]
 65:  935| [45] [「見覚えがあったんだよ。ずっと昔に」]
 66:  992| [47] [洵]
 67:  995| [45] [「９年前に、ガス爆発で吹き飛んだ団地の中にさ」]
 68: 1076| [45] [洵が渡瀬を、じっと見つめる。]
 69: 1102| [47] [洵]
 70: 1105| [45] [「……隊長は、覚えてないよね？」]
 71: 1113| [47] [渡瀬]
 72: 1116| [45] [「何をだ？」]
 73: 1142| [47] [洵]
 74: 1145| [45] [「あたしたちが救助された時にいた、あの部屋の事だよ」]
 75: 1153| [47] [洵]
 76: 1156| [45] [「あの時あたしたちがいたのは、凪沙の部屋」]
 77: 1182| [47] [洵]
 78: 1185| [45] [「被験体Ｎの部屋はね、その部屋にそっくりなんだよ」]
 79: 1193| [47] [渡瀬]
 80: 1196| [45] [「な、に……！？」]
 81: 1222| [47] [洵]
 82: 1225| [45] [「ねぇ、これってどういう事だと思う？」]
 83: 1230| [45] [そう問われた瞬間、渡瀬は気付いた。]
 84: 1235| [45] [震える声が、口から漏れる。]
 85: 1243| [47] [渡瀬]
 86: 1246| [45] [「ま、まさか……！」]
 87: 1254| [47] [渡瀬]
 88: 1257| [45] [「被験体Ｎの正体は、９年前に死んだはずの……」]
 89: 1265| [47] [渡瀬]
 90: 1268| [45] [「風見の妹、凪沙なのか！？」]
 91: 1273| [45] [その言葉に、洵はこくりとうなずいた。]
 92: 1300| [47] [宇喜多]
 93: 1303| [45] [「な、なんだと！？　馬鹿な、そんな事があるわけ――」]
 94: 1311| [47] [渡瀬]
 95: 1314| [45] [「いや！　ありうる！」]
 96: 1319| [45] [――９年前、悠里は家族に『死んだ』と見せかけられて、ラボに幽閉された。]
 97: 1324| [45] [同様の手口で、凪沙が幽閉されていてもおかしくない。]
 98: 1383| [47] [サリュ]
