  0:   52| [55] [√After Chapter6]
  1:   62| [45] [――しばらく、渡瀬はそこで放心していた。]
  2:   67| [45] [やがて意識が明晰さを取り戻した時には、改めて失った命の重さを感じた。]
  3:   72| [47] [渡瀬]
  4:   73| [45] [（……畜生）]
  5:   78| [45] [渡瀬は閉ざされた部屋の前で、歯噛みする。]
  6:   83| [47] [渡瀬]
  7:   84| [45] [（どうしてオレは、こんなに無力なんだ……！）]
  8:   89| [47] [渡瀬]
  9:   90| [45] [（記憶喪失なんかじゃない、本来のオレなら……きっと先生も救えたはずなのに……！）]
 10:   95| [45] [ＡＤはもうない。タイムリミットは刻一刻と迫っている。]
 11:  100| [45] [今から新たなＡＤを探したところで、見つかる可能性は低いだろう。]
 12:  105| [45] [脱出口も見つからず、仲間の信頼を失い――あげく、恵那まで殺された。]
 13:  110| [47] [渡瀬]
 14:  111| [45] [（……ダメなのか……？）]
 15:  116| [47] [渡瀬]
 16:  117| [45] [（もうここらで、何もかも諦めちまった方がいいってのか……？）]
 17:  122| [45] [無力感が渡瀬をさいなんだ。]
 18:  127| [45] [心が今にも、闇に落ちそうになる。]
 19:  132| [47] [渡瀬]
 20:  133| [45] [（結局……今のオレじゃあ、誰の命も救えないっていうのかよ……？）]
 21:  138| [45] [だが、その時――]
 22:  276| [45] [思い出したのは、１度目の司令長との交信だった。]
 23:  281| [47] [司令長]
 24:  284| [45] [「どうやら原子炉のある『Ｎエリア』で、今もメルトダウンによる大火災が続いているらしく――」]
 25:  289| [47] [司令長]
 26:  292| [45] [「そのためにセキュリティシステムが暴走し、外部からアクセスできなくなっているそうだ」]
 27:  357| [47] [渡瀬]
 28:  358| [45] [（……！）]
 29:  363| [47] [渡瀬]
 30:  364| [45] [（そうか……Ｎエリアの火災を、消火する事さえできれば……！）]
 31:  369| [47] [渡瀬]
 32:  370| [45] [（セキュリティシステムの暴走は止まり、隔壁は開放され、残りの全員が生きて脱出できる！）]
 33:  375| [45] [だがＮエリアには、メルトダウンを起こした原子炉がある。]
 34:  380| [45] [膨大な放射線が渦巻くそんな場所へ行けば、おそらく生きては戻れないだろう。]
 35:  385| [47] [渡瀬]
 36:  386| [45] [（……はっ、だから何だってんだ？）]
 37:  391| [45] [恐怖がないと言えば嘘になる。]
 38:  396| [45] [だが自分の命など、渡瀬にはもはやどうでもよかった。]
 39:  401| [45] [――一刻も早くこの悪夢を終わらせ、１人でも多くの人間をこの地下から救い出す。]
 40:  406| [45] [それが恵那を死なせてしまった渡瀬にできる、唯一の贖罪だった。]
 41:  469| [47] [恵那]
 42:  472| [45] [「……馬鹿ね、隊長さん。そんな事をして、いったい何になるっていうの？」]
 43:  483| [45] [聞こえるはずのない恵那の声が、とがめるように渡瀬に言う。]
 44:  491| [47] [渡瀬]
 45:  494| [45] [「ごめんな、先生……オレには、もうこうする以外にはないんだよ……」]
 46:  499| [45] [渡瀬はそう呟き、歩き出した。]
 47:  504| [45] [炎上する原子炉のある、Ｎエリアへ向かって――。]
 48:  611| [45] [Ｎエリアに続く連絡通路のゲートが開いた瞬間、プロキオンが激しく警告音を鳴らした。]
 49:  616| [45] [ディスプレイには、見た事もない数値が表示されている。]
 50:  622| [47] [渡瀬]
 51:  625| [45] [「『１１８５０ｍＳｖ』……！」]
 52:  631| [47] [渡瀬]
 53:  634| [45] [「『１１７５０ｍＳｖ』……！」]
 54:  640| [47] [渡瀬]
 55:  643| [45] [「『１１６５０ｍＳｖ』……！」]
 56:  649| [47] [渡瀬]
 57:  652| [45] [「『１１５５０ｍＳｖ』……！」]
 58:  658| [47] [渡瀬]
 59:  661| [45] [「『１１４５０ｍＳｖ』……！」]
 60:  666| [45] [ひどく頭が痛み、嘔吐感が襲ってくる。]
 61:  671| [45] [肌が痺れ、眼がかすむ。]
 62:  679| [47] [渡瀬]
 63:  682| [45] [「……ちっ」]
 64:  726| [45] [渡瀬はプロキオンのスイッチを切り、そしてまた歩き出した。]
 65:  769| [47] [渡瀬]
 66:  770| [45] [（このゲートの向こうに、原子炉が……！）]
 67:  775| [45] [溶解する原子炉、荒れ狂う業火、致死量を超える放射線――]
 68:  780| [45] [そこで待ち受けているであろう地獄絵図を想像し、渡瀬の身は震えた。]
 69:  785| [45] [だが……]
 70:  793| [47] [渡瀬]
 71:  796| [45] [「……覚悟の上だ」]
 72:  801| [45] [渡瀬は震えを抑え、消火栓からホースを引っ張り出す。]
 73:  806| [45] [それを左手に抱え、セキュリティゲートに向けた。]
 74:  811| [47] [渡瀬]
 75:  812| [45] [（放水準備完了。突入準備よし）]
 76:  817| [45] [真正の危険を前にしても、渡瀬の心は萎えていない。]
 77:  822| [45] [胸の奥からは、悲壮な決意が湧いていた。]
 78:  827| [45] [渡瀬はふと、頬に笑みを浮かべる。]
 79:  832| [47] [渡瀬]
 80:  833| [45] [（……先生、ようやくオレも……レスキュー隊らしくなれたかな）]
 81:  838| [45] [そうして彼は、右手にカードを持ち――]
 82:  905| [45] [ゲートを、開けた。]
