  0:  212| [55] [√Before Chapter2]
  1:  220| [45] [――ふと腕時計を見ると、もう夜の８時を大きく回っていた。]
  2:  262| [45] [夏彦は気を取り直し、自宅の玄関を潜った。]
  3:  402| [45] [リビングに行くとサリュの姿はなく、悠里が本を読んでくつろいでいた。]
  4:  496| [47] [悠里]
  5:  499| [45] [「あ、おかえりひこりん。ちゃんとましろん、送ってあげた？」]
  6:  507| [47] [夏彦]
  7:  510| [45] [「ん？　あぁ、送ってあげたよ」]
  8:  536| [47] [悠里]
  9:  539| [45] [「うん、えらいえらい」]
 10:  544| [45] [のんびりした口調で言う悠里を見ると、夏彦はほっとした。]
 11:  549| [47] [夏彦]
 12:  550| [45] [（今日も色々あったけど……悠里がいつも通りなのは救いだな）]
 13:  555| [45] [気苦労も疲れも、悠里の笑顔を見ていると、すうっと薄れていく。]
 14:  574| [45] [夏彦は笑みを返し、ソファに腰掛けた。]
 15:  584| [47] [夏彦]
 16:  587| [45] [「悠里は今日は、どういう風に過ごしたんだい？」]
 17:  613| [47] [悠里]
 18:  616| [45] [「昨日と同じ～。編み物を少しして、続き物の本を２冊読んだよ」]
 19:  624| [47] [夏彦]
 20:  627| [45] [「続き物？　どんな本？」]
 21:  653| [47] [悠里]
 22:  656| [45] [「えっとね、とても切ない恋愛小説」]
 23:  682| [47] [悠里]
 24:  685| [45] [「主人公の過去について、自らの記憶を元に記したっていう形式のお話なんだけど……」]
 25:  711| [47] [悠里]
 26:  714| [45] [「冒頭に出てくる『記憶というのはすごく曖昧なものだ』っていう言葉が印象的で、ぐいぐい引き込まれちゃった」]
 27:  722| [47] [夏彦]
 28:  725| [45] [「記憶は曖昧なもの？」]
 29:  751| [47] [悠里]
 30:  754| [45] [「そう、主人公曰く……『人は自分の記憶を、自覚しないまま、色々と書き換える性質がある』」]
 31:  762| [47] [悠里]
 32:  765| [45] [「『だからこれから語る物語も、真実とは限らない』ってね」]
 33:  791| [47] [悠里]
 34:  794| [45] [「そんな始まり方の恋愛小説って、なんか面白そうでしょ？」]
 35:  802| [47] [夏彦]
 36:  805| [45] [「うん、ちょっと煙に巻かれた感じもするけど」]
 37:  831| [47] [悠里]
 38:  834| [45] [「でもね、確かにその通りだって、話を読み進めていけばわかるの」]
 39:  842| [47] [悠里]
