  0:   52| [55] [√After Chapter6]
  1:   67| [45] [――渡瀬が記憶を失った状態で目覚めてから、すでに９時間が経っていた。]
  2:   72| [45] [腕時計を見ると、時刻は『１８：１５』――。]
  3:   77| [45] [それはもう間もなく、隔壁が開放されるという時間だった。]
  4:  122| [45] [地上フロアへの道を閉ざしている隔壁の前にたどり着く。]
  5:  127| [45] [その傍らに、様々な困難を共にした６人の仲間たちの姿はない。]
  6:  132| [45] [そして３人の少年少女たちの姿も――。]
  7:  140| [47] [渡瀬]
  8:  143| [45] [「ようやく終わる……」]
  9:  148| [45] [そう、もうすぐ悪夢は終わる。]
 10:  153| [45] [――この悪夢から目覚めた時、オレにはどんな現実が待ち受けているのだろう？]
 11:  158| [45] [渡瀬は隔壁に灯る赤いランプを見つめながら、そんな事を考えた。]
 12:  163| [45] [そこには言い知れない恐怖があった。]
 13:  168| [45] [だがこの隔壁が開きさえすれば、渡瀬は真実の『笠鷺渡瀬』を知ることができるのだ。]
 14:  173| [45] [自分はレスキュー隊員なのか、それとも殺人鬼なのか――？]
 15:  178| [45] [ラボ内で起きた数々の凶状が、多くの客観的な目にさらされた時、その答えが出るのだろう。]
 16:  183| [45] [そしてラボ内で見た、いくつもの死が――]
 17:  886| [45] [それが渡瀬の脳裏を駆け抜けた、その時。]
 18:  912| [47] [渡瀬]
 19:  915| [45] [「な、なんだ……ッ！？」]
 20:  955| [47] [渡瀬]
 21:  958| [45] [「この音は……！？」]
 22:  966| [47] [渡瀬]
 23:  969| [45] [「な……何なんだ……ッ！？」]
 24:  974| [45] [足元から轟音と振動が迫ってくる。]
 25: 1024| [45] [そして渡瀬が、背後の非常階段を振り返った時――]
 26: 1029| [45] [――音が、衝撃と熱をともなって！]
 27: 1158| [47] [渡瀬]
 28: 1161| [45] [「ッ――！？」]
 29: 1299| [45] [――]
 30: 1304| [45] [――――]
 31: 1323| [45] [――――――どこかで何かが響いていた。]
 32: 1331| [47] [渡瀬]
 33: 1334| [45] [「ぅ……うぅ……」]
 34: 1339| [45] [渡瀬の意識は、バラバラに壊れた世界の中にあった。]
 35: 1344| [45] [視覚も、聴覚も、嗅覚も、味覚も、触覚も……あらゆる感覚が壊れている。]
 36: 1349| [45] [まぶたを開けたのによく見えない。]
 37: 1354| [45] [音の方向と距離がわからない。]
 38: 1359| [45] [何かが焼け焦げた匂いだけは鮮明で。]
 39: 1364| [45] [味覚は完全に消失している。]
 40: 1369| [45] [そして身体が動くことはなく――]
 41: 1374| [45] [手足があるのかどうかさえわからない。]
 42: 1379| [45] [世界に触れている実感がまるで無い。]
 43: 1395| [86] [？？]
 44: 1396| [86] [「総員、気を緩めるな！」]
 45: 1397| [85] [「総員、気を緩めるな！」]
 46: 1453| [86] [？？]
 47: 1454| [86] [「中で何か起こったのかわからん！　状況を確認し次第、ただちに報告しろ！」]
 48: 1455| [85] [「中で何か起こったのかわからん！　状況を確認し次第、ただちに報告しろ！」]
 49: 1466| [47] [渡瀬]
 50: 1467| [45] [（な……何が――…おきた―…んだ……？）]
 51: 1472| [45] [その時、断絶していた渡瀬の視界に光が流れ込み――]
 52: 1609| [47] [？？]
 53: 1612| [45] [「最優先事項は、被験体２名の確保だ！　ＮＢＣ対策をおこたるな！」]
 54: 1617| [47] [？？]
 55: 1620| [45] [「それ以外の人間は生死に関わらず収容、鹿鳴市立病院に搬送しろ！」]
 56: 1625| [47] [渡瀬]
 57: 1626| [45] [（なん――……だ？　こいつら―…何を言って…――るんだ？）]
 58: 1631| [45] [そのとき朦朧とする渡瀬の目に、彼らの防護服に記された『ＮＢＣ』という文字がとまる。]
 59: 1636| [47] [？？]
 60: 1639| [45] [「発見！　生存者１！　ただちに収容します！」]
 61: 1644| [45] [だがそれが何を意味するのかもわからぬまま、渡瀬はどこかへ運び出されていく。]
 62: 1696| [45] [終わらない悪夢の中で、渡瀬は必死に声を上げた。]
 63: 1705| [47] [渡瀬]
 64: 1708| [45] [「ぅ、お…………ぁ…………ぉ…………」]
 65: 1709| [85] [このラボで―…いったい……なにがおきて、だったんだ……―？）]
 66: 1710| [86] [このラボで―…いったい……なにがおきて、だったんだ……―？）]
 67: 1719| [47] [渡瀬]
 68: 1722| [45] [「うぅ…………あ…………うぁ、ぁ…………」]
 69: 1723| [85] [おれは…――カササギワタセという人間は―…）]
 70: 1724| [86] [おれは…――カササギワタセという人間は―…）]
 71: 1729| [47] [渡瀬]
 72: 1730| [45] [（けっきょく、何者だったんだ……？）]
 73: 1739| [47] [渡瀬]
 74: 1742| [45] [「ぅ、お…………ぁ…………ぉ…………」]
 75: 1743| [85] [このラボで―…いったい……なにがおきて、だったんだ……―？）]
 76: 1744| [86] [このラボで―…いったい……なにがおきて、だったんだ……―？）]
 77: 1749| [47] [渡瀬]
 78: 1750| [45] [（だれか……おしえて―…くれ……！）]
 79: 1755| [45] [だが渡瀬が口に出来たのは、意味をなさない呻き声だけで――]
 80: 1760| [45] [やがて意識が遠のき始めた。]
