  0:   65| [55] [√Current Chapter3]
  1:   82| [45] [――医務室にたどり着くなり、渡瀬たちは夏彦に輸血を始めた。]
  2:   90| [47] [渡瀬]
  3:   93| [45] [「……夏彦の容態はどうなんだ？　助かりそうか？」]
  4:  119| [47] [風見]
  5:  122| [45] [「呼吸・脈拍ともに極めて微弱。しかしバイタルサインはかろうじて安定――」]
  6:  148| [47] [風見]
  7:  151| [45] [「予断を許さない状況ではありますが、このまま輸血を続ければなんとかなりそうです」]
  8:  156| [45] [夏彦は、風見の言葉に安堵しながらも――考えずにはいられなかった。]
  9:  161| [47] [夏彦]
 10:  162| [45] [（それにしても……あんな状態で長時間放置されていたのに、どうしてぼくは助かったんだ……？）]
 11:  167| [45] [Ｎエリアに原子炉がないと判明した以上、体に放射線の影響がなかったというのは理解できる。]
 12:  172| [45] [だが出血に関して言えば、とうに失血死していてもおかしくないほどの傷を、夏彦は負っていたはずなのだ。]
 13:  177| [47] [夏彦]
 14:  178| [45] [（もしかして、ぼくがずっと渡瀬とＢＣで繋がっていた事と何か関係があるのかな？）]
 15:  183| [45] [それ以外に思い当たるふしはない。]
 16:  188| [45] [そして思い出したのは、数日前のある授業での一幕だった。]
 17:  193| [47] [夏彦]
 18:  194| [45] [（そう言えば……確かＢＣルームで、テレパシーの練習をしてた時だっけ……）]
 19:  282| [47] [恵那]
 20:  285| [45] [「ＢＣの使用のため重要となるのは――言うまでもなく『集中力』！」]
 21:  293| [47] [恵那]
 22:  296| [45] [「五感とは違う、『第六の感覚』を引き出すためには、常識を超えた集中力が必要なのよ！」]
 23:  322| [47] [恵那]
 24:  325| [45] [「ＢＣを使用するほどの、極度の集中がなされると、代わりに五感が減衰すると言われています」]
 25:  333| [47] [恵那]
 26:  336| [45] [「場合によっては、体温や脈拍の低下など、生命反応さえ弱まる事も……」]
 27:  362| [47] [恵那]
 28:  365| [45] [「その境地に達した時、脳の新たな力が発揮され、ＢＣの世界の扉が開くのよ」]
 29:  456| [47] [夏彦]
 30:  457| [45] [（……そうか、わかったぞ）]
 31:  462| [45] [――ＢＣの使用中は、場合によっては五感が減衰し、呼吸・脈拍などの生命活動も低下する。]
 32:  467| [45] [答えは全てそこにあった。]
 33:  472| [47] [夏彦]
 34:  473| [45] [（ぼくはあのとき意識を失ってから、ずっとＢＣで渡瀬と繋がっていた）]
 35:  478| [47] [夏彦]
 36:  479| [45] [（つまり、ぼくの脳はＢＣを使うために、ずっと集中し続けていたって事になる）]
 37:  484| [47] [夏彦]
 38:  485| [45] [（それでぼくの体は、呼吸も脈拍も極端に低下して――）]
 39:  490| [45] [実際、夏彦は遠方にいるましろにテレパシーを送ろうとして、顔面が蒼白になったことがあった。]
 40:  495| [45] [きっと『ＢＣの第３の能力』には、それを遥かに越える集中力が必要になるのだろう。]
 41:  500| [45] [それこそ肉体が、冬眠状態に陥らなければならないほどの――。]
 42:  505| [47] [夏彦]
 43:  506| [45] [（そう……だからぼくの体はあれだけ渡瀬に撃たれたのに、出血が最小限で済んだんだ）]
 44:  511| [45] [夏彦がようやくその結論にたどり着いた時、渡瀬の背後で物音が鳴った。]
 45:  693| [45] [渡瀬が振り返ると、医務室の戸口に――宇喜多が立っていた。]
 46:  719| [47] [宇喜多]
 47:  722| [45] [「おやおや、これはこれは隊長さんに副隊長さん」]
 48:  748| [47] [宇喜多]
 49:  751| [45] [「物音がするから来てみれば、君らは何をやっているのかね？」]
