  0:   52| [55] [√After Chapter3]
  1:   60| [45] [パイプの隙間を縫って歩く宇喜多を、渡瀬は支えるようにして同行した。]
  2:   65| [45] [宇喜多が行く手に見えるものを指差して答える。]
  3:  127| [47] [宇喜多]
  4:  130| [45] [「……確かあの大きなタンクが、消火剤の詰まっているタンクだ。水や窒素ガスなども詰まっている」]
  5:  138| [47] [渡瀬]
  6:  141| [45] [「窒素ガス？」]
  7:  167| [47] [宇喜多]
  8:  170| [45] [「消火作用があるんだよ。例えば『ＢｒａｉｎＣｅｌｌ』があるような場所では、水を使用出来ないだろう？」]
  9:  178| [47] [渡瀬]
 10:  181| [45] [「なるほどな……じゃあ、あのやたら太いパイプはなんなんだ？」]
 11:  186| [45] [タンクのそばには、エンジンルームの天井付近を横切るように、太いパイプがあった。]
 12:  233| [47] [宇喜多]
 13:  236| [45] [「あれは……確か原子炉の、冷却水用のパイプだったかな。近くにある湖から水を取っているんだ」]
 14:  244| [47] [渡瀬]
 15:  247| [45] [「湖か……」]
 16:  252| [45] [その時、渡瀬の頭に、１つのアイディアが閃いた。]
 17:  279| [47] [渡瀬]
 18:  282| [45] [「そうだ宇喜多さん！　あのパイプの中を伝って、湖まで脱出できないかな！？」]
 19:  308| [47] [宇喜多]
 20:  311| [45] [「不可能だ」]
 21:  319| [47] [渡瀬]
 22:  322| [45] [「え、なぜ？」]
 23:  348| [47] [宇喜多]
 24:  351| [45] [「冷却水用のパイプだと言ったろう。あのパイプの中には、水が高速で循環している」]
 25:  359| [47] [宇喜多]
 26:  362| [45] [「パイプ内に入るために穴を開けたりしたら、凄まじい勢いで水が溢れ、この地下部分が丸ごと水没してしまう。全員死ぬぞ」]
 27:  370| [47] [渡瀬]
 28:  373| [45] [「そ、そうか……水の流れを止める方法は？」]
 29:  399| [47] [宇喜多]
 30:  402| [45] [「わからんが、仮にあったとしても、どのみち脱出は不可能だ」]
 31:  428| [47] [宇喜多]
 32:  431| [45] [「湖までの距離は約５００ｍ。息を止めたまま、そこまでいくつもりかね？」]
 33:  439| [47] [渡瀬]
 34:  442| [45] [「じゃあ、空気ボンベを使えば――」]
 35:  468| [47] [宇喜多]
 36:  471| [45] [「それは実にいい考えだ。全員分のボンベとマスクが、どこかにあるならね」]
 37:  476| [47] [渡瀬]
 38:  477| [45] [「……」]
 39:  503| [47] [宇喜多]
 40:  506| [45] [「まぁそれがあったとしても、冷却に使われた水は、原子炉の熱で熱されている」]
 41:  514| [47] [宇喜多]
 42:  517| [45] [「たしか５０℃以上だったかな。耐えられる熱さではないよ」]
 43:  522| [45] [あらゆる意味で、パイプからの脱出は不可能のようだった。]
 44:  527| [45] [渡瀬はがっくりと肩を落とす。]
 45:  535| [47] [渡瀬]
 46:  538| [45] [「そうか……いいアイディアだと思ったんだが」]
 47:  564| [47] [宇喜多]
 48:  567| [45] [「残念ながらパイプからの脱出なんて案は、僕だって真っ先に考えたさ」]
 49:  593| [47] [宇喜多]
 50:  596| [45] [「だが今までそれを口にしなかったのは、そもそも不可能だからだ」]
 51:  604| [47] [宇喜多]
 52:  607| [45] [「だいたいこのあたりの話は、隊長さんには、記憶を失う前にも説明したはずだがね？」]
 53:  612| [45] [皮肉たっぷりの言葉を聞き、渡瀬は耳が痛かった。]
 54:  620| [47] [渡瀬]
 55:  623| [45] [「そうなのか……悪いが、その事も全く覚えていない……」]
 56:  695| [47] [宇喜多]
 57:  698| [45] [「だとしたら『記憶の混濁』なんてレベルではないな」]
 58:  706| [47] [宇喜多]
 59:  709| [45] [「何も覚えていないのかね？　君が地下に降りてきた理由も、救助すべき人の名も」]
 60:  717| [47] [渡瀬]
 61:  720| [45] [「あぁ……橘が言うには、時間と共に記憶が戻ってくるらしいが、なかなかな……」]
 62:  725| [47] [宇喜多]
 63:  726| [45] [「……」]
 64:  731| [45] [宇喜多は黙り込んだ。まだどこか疑っているようなまなざしだ。]
 65:  743| [45] [無理もないよなと思いつつ、渡瀬は続ける。]
 66:  751| [47] [渡瀬]
 67:  754| [45] [「残念ながらこれ、本当の事なんだ。頼りないレスキュー隊長ですまない」]
 68:  780| [47] [宇喜多]
 69:  783| [45] [「じゃあ君はさっき、そんな状態だというのに……危険を冒してまで、みんなの分のＡＤを取りに行ったわけか」]
 70:  791| [47] [渡瀬]
 71:  794| [45] [「あぁ……今のオレにできる事は、そう多くないからな」]
 72:  802| [47] [渡瀬]
 73:  805| [45] [「記憶がなくても体力はある。知識が無い分、体動かさなきゃと思ってさ」]
 74:  813| [47] [宇喜多]
 75:  816| [45] [「ガスよりも、放射線が怖いと言うわけかね？」]
 76:  824| [47] [渡瀬]
 77:  827| [45] [「そりゃあな。ＡＤが足りなくなるのが一番怖いだろ」]
 78:  835| [47] [渡瀬]
 79:  838| [45] [「だけどガスの中駆けずり回ったおかげで、どうにかまた１時間生き長らえたぞ」]
 80:  843| [45] [宇喜多は渡瀬をしばらく見つめていたが――やがて鼻を鳴らして言った。]
 81:  869| [47] [宇喜多]
 82:  872| [45] [「……それは確かに、大したものだな」]
 83:  898| [47] [宇喜多]
 84:  901| [45] [「礼を言っておくよ、ありがとう」]
 85:  912| [47] [渡瀬]
 86:  915| [45] [「なんだよ、宇喜多さん……まさかオレの事を疑ってるのか？」]
 87:  941| [47] [宇喜多]
 88:  944| [45] [「あ、いや――しかし君は、そんな状態だというのに、ＡＤを取りに行ったというのかね？」]
 89:  952| [47] [渡瀬]
 90:  955| [45] [「あぁ……今のオレにできる事は、そう多くないからな」]
 91:  963| [47] [渡瀬]
 92:  966| [45] [「記憶がなくても体力はある。知識が無い分、体動かさなきゃと思ってさ」]
 93:  974| [47] [宇喜多]
 94:  977| [45] [「ガスよりも、放射線が怖いと言うわけかね？　そのためにあんな危険をおかしたと？」]
 95:  985| [47] [渡瀬]
 96:  988| [45] [「……なぁ宇喜多さん、あんた何が言いたいんだ？」]
 97:  996| [47] [渡瀬]
 98:  999| [45] [「まさかＡＤが手に入らない方が、良かったとでも言うのか？」]
 99: 1025| [47] [宇喜多]
100: 1028| [45] [「な、何を馬鹿な……！」]
101: 1054| [47] [宇喜多]
102: 1057| [45] [「僕はただ、その……記憶がないのに『大したものだ』と、そう言いたかったのだよ」]
103: 1065| [47] [渡瀬]
104: 1068| [45] [「な、なんだよ急に……おっさんに褒められても、そんなに嬉しくはないぞ」]
105: 1094| [47] [宇喜多]
106: 1097| [45] [「おっさんって、僕はまだ３５だぞ。君とそう年も変わらないじゃないか」]
107: 1105| [47] [渡瀬]
108: 1108| [45] [「そう言えばそうか……まぁおっさん同士、力を合わせて、女の子たちを助けていこうぜ」]
109: 1113| [45] [多少失礼かと思ったが――宇喜多を『おっさん』と呼んでみると、彼に対して親近感が湧いた気がした。]
110: 1118| [45] [その風貌や白みがかった髪を見ると、彼の方がずっと年上で、むしろそう言うのが自然なようにも感じる。]
111: 1123| [45] [宇喜多も特に文句は言わない。代わりにふと、立ち止まって言う。]
112: 1149| [47] [宇喜多]
113: 1152| [45] [「おっと……着いたぞ、これだ」]
114: 1187| [45] [見れば例のタンクのすぐ側に、無数のバルブがあった。]
115: 1213| [47] [宇喜多]
116: 1216| [45] [「何かの理由で、これらのバルブが閉ざされてたらしいな」]
117: 1224| [47] [渡瀬]
118: 1227| [45] [「やっぱ点検でもしてたのか……？」]
119: 1253| [47] [宇喜多]
120: 1256| [45] [「今となってはわからんね。ともかくこれを開放すれば、消火システムは復帰するはずだ」]
121: 1264| [47] [渡瀬]
122: 1267| [45] [「よし！　おっさん手伝ってくれ！」]
123: 1275| [47] [宇喜多]
124: 1278| [45] [「うむ」]
125: 1311| [45] [そう言葉を交わし、渡瀬たちはそこにあるバルブを次々に回した。]
126: 1351| [45] [タンクが唸り声を上げ、そこら中のパイプが一斉に振動し始める。]
127: 1377| [47] [宇喜多]
128: 1380| [45] [「……よし、これで問題はなさそうだな」]
129: 1388| [47] [渡瀬]
130: 1391| [45] [「これでＮエリアの火災も収まってくれればいいんだが……」]
131: 1417| [47] [宇喜多]
132: 1420| [45] [「いや、残念ながらあの場所の消火システムは、こことは別系統のようなんだ」]
133: 1428| [47] [渡瀬]
134: 1431| [45] [「そうか……」]
135: 1436| [45] [だがそれ以外のエリアの火災が収まるだけで、かなりありがたい。]
