  0:   55| [55] [√Before Chapter 7]
  1:   63| [47] [Natsuhiko]
  2:   66| [45] ["Wha!?"]
  3:   89| [45] [Natsuhiko fell to the ground as if a rug had been pulled from under him.]
  4:  102| [45] [He heard something shatter by his wrist.]
  5:  107| [45] [But the roaring sounds kept coming.]
  6:  273| [47] [Mashiro]
  7:  276| [45] ["Kyaah!"]
  8:  281| [45] [Mashiro screamed from beside him.]
  9:  446| [47] [Salyu]
 10:  449| [45] ["Ghh...!"]
 11:  454| [45] [They could feel tremors coming through from the floor.]
 12:  626| [47] [Security Guard 2]
 13:  629| [45] ["Wh... what was that sound?"]
 14:  634| [45] [The security guard muttered in shock.]
 15:  639| [45] [The kids were well aware of what it was.]
 16:  683| [47] [Salyu]
 17:  686| [45] ["... Explosions? Several of them...!?"]
 18:  694| [47] [Mashiro]
 19:  697| [45] ["N-Natsuhiko, could this be...!?"]
 20:  702| [45] [Natsuhiko gritted his teeth at those words.]
 21:  710| [47] [Natsuhiko]
 22:  713| [45] ["Yeah, it is..."]
 23:  718| [45] [He endured the pain to stand up and wring words out of his lungs.]
 24:  726| [47] [Natsuhiko]
 25:  729| [45] ["... We didn't make it in time."]
 26:  734| [45] [His words were drowned out by the shrill shriek of an alarm.]
 27:  750| [47] [Automatic PA]
 28:  753| [45] ["--Intense tremors detected in B1 Area 1."]
 29:  758| [47] [Automatic PA]
 30:  761| [45] ["--Intense tremors detected in B2 Area 3."]
 31:  766| [47] [Automatic PA]
 32:  769| [45] ["--A fire has broken out in B1 Area 2."]
 33:  774| [47] [Automatic PA]
 34:  777| [45] ["--Intense tremors detected in B2 Area 2."]
 35:  782| [45] [The automatic disaster prevention system rang out a flurry of warning broadcasts.]
 36:  787| [45] [A mechanical, robotic voice. An unending stream of fragmentary information.]
 37:  792| [45] [But regardless, everyone could tell that an unprecedented crisis was upon this facility.]
 38:  797| [47] [Natsuhiko]
 39:  798| [45] [(--It's the same as nine years ago!)]
 40:  803| [47] [Natsuhiko]
 41:  804| [45] [(This same alarm, these same warnings rang out back then too--!)]
 42:  809| [45] [The moment Natsuhiko made that realization, another memory came back.]
 43:  919| [47] [Automatic PA]
 44:  922| [45] ["--A fire has broken out in B1 Area 2."]
 45:  927| [47] [Automatic PA]
 46:  930| [45] ["--A fire has broken out in B2 Area 3."]
 47:  935| [47] [Automatic PA]
 48:  938| [45] ["--A fire has broken out in B1 Area 5."]
 49:  943| [45] [Natsuhiko and Yuuri heard those warnings as they stood in front of the iron door.]
 50:  951| [47] [Natsuhiko]
 51:  954| [45] ["Wh-what!? What happened!?"]
 52: 1017| [47] [Yuuri]
 53: 1020| [45] ["A fire...! Oh no, there's a fire down below!"]
 54: 1028| [47] [Natsuhiko]
 55: 1031| [45] ["A fire down below!?"]
 56: 1036| [45] [As Natsuhiko yelled, the automatic announcement continued.]
 57: 1041| [47] [Automatic PA]
 58: 1044| [45] ["Security has shifted to 'Evacuation Mode'. All gates, barring those leading to Area N, have been opened."]
 59: 1049| [47] [Automatic PA]
 60: 1052| [45] ["All personnel, please calmly evacuate to the surface levels."]
 61: 1154| [47] [Natsuhiko]
 62: 1155| [45] [(--So that's it!)]
 63: 1160| [45] [Back then, it was just a fire alarm, but the situation was similar.]
 64: 1165| [45] [Once Natsuhiko made the connection, he heard the same announcement as he did nine years ago.]
 65: 1170| [47] [Automatic PA]
 66: 1173| [45] ["Security has shifted to 'Evacuation Mode'. All gates, barring those leading to Area N, have been opened."]
 67: 1178| [47] [Automatic PA]
 68: 1181| [45] ["All personnel, please calmly evacuate to the surface levels."]
 69: 1186| [45] [And at the same time, the iron door opened up further down the entrance.]
 70: 1313| [45] [--And in the same way, the iron door opened up nine years ago.]
 71: 1321| [47] [Natsuhiko]
 72: 1324| [45] ["A fire down below...? But Mom's down there...!"]
 73: 1350| [47] [Yuuri]
 74: 1353| [45] ["Wh-what do we do, Hikorin...!?"]
 75: 1361| [47] [Natsuhiko]
 76: 1364| [45] ["I... I gotta go save her!"]
 77: 1372| [47] [Natsuhiko]
 78: 1375| [45] ["Wait right here, Yuuri!"]
 79: 1380| [45] [Natsuhiko yelled that command as he rushed through to the other side of the door.]
 80: 1492| [47] [Natsuhiko]
 81: 1495| [45] ["I gotta go... Or else things will take a turn for the worse!"]
 82: 1500| [45] [Natsuhiko tried to run off, but the security guard grabbed his arm.]
 83: 1505| [47] [Security Guard 2]
 84: 1508| [45] ["Hold on a second, kid! Whaddaya mean for the worse!?"]
 85: 1516| [47] [Natsuhiko]
 86: 1519| [45] ["Officer, this isn't the time for you to mind us!"]
 87: 1524| [47] [Security Guard 2]
 88: 1527| [45] ["What!?"]
 89: 1535| [47] [Natsuhiko]
 90: 1538| [45] ["This is a terrorist attack! Call the police and the fire department immediately!"]
 91: 1543| [47] [Security Guard 2]
 92: 1546| [45] ["T-terrorist attack!? No way--...!?"]
 93: 1602| [45] [Natsuhiko shook off the confused security guard's arm and dashed off.]
 94: 1607| [47] [Natsuhiko]
 95: 1608| [45] [(The terrorists had the sleeper agent cause a commotion in the facility so that the gates would open!)]
 96: 1613| [47] [Natsuhiko]
 97: 1614| [45] [(At this rate, it's just a repeat of what happened nine years ago-- No, something far worse!)]
 98: 1647| [47] [Mashiro]
 99: 1650| [45] ["Wait, Natsuhiko, where are you going!?"]
100: 1658| [47] [Natsuhiko]
101: 1661| [45] ["To the basement!"]
102: 1694| [47] [Salyu]
103: 1697| [45] ["The basement? But the explosions--"]
104: 1705| [47] [Natsuhiko]
105: 1708| [45] ["You two stay here. No matter what happens, don't you dare move from this spot!!"]
106: 1773| [45] [Saying just that much, Natsuhiko plunged toward the iron door.]
107: 1889| [45] [He searched for a nearby staircase and ran down.]
108: 1993| [45] [As he descended the staircase, he heard the screams of LABO staff members off in the distance.]
109: 1998| [47] [Researcher 1]
110: 2001| [45] ["W-what happened!?"]
111: 2006| [47] [Researcher 2]
112: 2009| [45] ["I don't know! Were those explosions...?"]
113: 2014| [47] [Researcher 3]
114: 2017| [45] ["Explosions!? In -this- facility!?"]
115: 2022| [45] [The basement floors were already engulfed in dreadful chaos.]
116: 2027| [45] [Nobody seemed to know what was going on.]
117: 2058| [47] [Natsuhiko]
118: 2059| [45] [(Where are the terrorists!? Where did they set the bombs!?)]
119: 2073| [45] [As he looked around with that in mind,]
120: 2081| [47] [Natsuhiko]
121: 2084| [45] ["!?"]
122: 2122| [45] [he noticed Mashiro and Salyu right behind him.]
123: 2130| [47] [Natsuhiko]
124: 2133| [45] ["Wh... what are you doing!? Why did you come down here!?"]
125: 2159| [47] [Mashiro]
