  0:  366| [55] [√Before Chapter 0]
  1:  374| [86] [You have taken from me my closest friends]
  2:  375| [86] [and have made me repulsive to them.]
  3:  376| [86] [I am confined and cannot escape.]
  4:  377| [86] [(The Old Testament / Psalms 88:8)]
  5:  379| [45] [--The roar echoed through the laboratory at daybreak--]
  6:  384| [45] [As if it were a bell heralding the end.]
  7:  501| [47] [Boy]
  8:  504| [45] ["Wha!?"]
  9:  509| [45] [The boy gasped in shock.]
 10:  599| [47] [Girl 1]
 11:  602| [45] ["Kyaah!"]
 12:  607| [45] [The girls screamed beside him.]
 13:  648| [47] [Girl 2]
 14:  651| [45] ["Ghh...!"]
 15:  656| [45] [They felt the tremors through the floor.]
 16:  842| [47] [Girl 2]
 17:  845| [45] ["... Explosions? Several of them...!?"]
 18:  853| [47] [Girl 1]
 19:  856| [45] ["N-Natsuhiko, could this be...!?"]
 20:  933| [45] [The boy called "Natsuhiko" gritted his teeth at the girls' words.]
 21:  959| [47] [Natsuhiko]
 22:  962| [45] ["Yeah, it is..."]
 23:  977| [47] [Natsuhiko]
 24:  980| [45] ["... We didn't make it in time."]
 25:  985| [45] [His words were drowned out by the shrill shriek of an alarm.]
 26: 2220| [45] [A calm automated voice read out an announcement.]
 27: 2225| [47] [Automatic PA]
 28: 2228| [45] ["Security has shifted to 'Evacuation Mode'. All gates, barring those leading to Area N, have been opened."]
 29: 2233| [47] [Automatic PA]
 30: 2236| [45] ["All personnel, please calmly evacuate to the surface levels."]
 31: 2357| [45] [Everyone seemed to be confused by the fragmentary information.]
 32: 2362| [47] [Researcher 1]
 33: 2365| [45] ["W-what happened!?"]
 34: 2370| [47] [Researcher 2]
 35: 2373| [45] ["I don't know! Were those explosions...?"]
 36: 2378| [47] [Researcher 3]
 37: 2381| [45] ["Explosions!? In -this- facility!?"]
 38: 2386| [45] [The announcement continued as if to answer that question.]
 39: 2483| [47] [Male Staff]
 40: 2486| [45] ["Th-this is an emergency broadcast!"]
 41: 2494| [47] [Male Staff]
 42: 2497| [45] ["Explosions of unknown origin have just occurred within the facility!"]
 43: 2505| [47] [Male Staff]
 44: 2508| [45] ["From our current understanding of the situation, explosions occurred simultaneously in ten different locations inside the facility. Fires have broken out as a result!"]
 45: 2516| [47] [Male Staff]
 46: 2519| [45] ["Researchers Eriguchi and Kashiwagi! Please come to Area 2 posthaste!"]
 47: 2609| [47] [Staff Member 1]
 48: 2612| [45] ["Explosions in ten different locations...!?"]
 49: 2617| [47] [Staff Member 2]
 50: 2620| [45] ["'Unknown origin'!? What do you mean, 'unknown origin'!?"]
 51: 2625| [45] [As the men shuddered, a female scientist muttered.]
 52: 2711| [47] [Female Researcher]
 53: 2714| [45] ["It's okay...! This facility's equipped with layers upon layers of disaster prevention systems."]
 54: 2722| [47] [Female Researcher]
 55: 2725| [45] ["No matter what happens, it shouldn't escalate to a large-scale disaster."]
 56: 2751| [47] [Female Researcher]
 57: 2754| [45] ["Our safety is guaranteed... so there's no need to worry."]
 58: 2759| [45] [She spoke softly and gently to quell their fears with hope.]
 59: 2877| [45] [--But that hope was trampled soon enough.]
 60: 2963| [47] [Security Guard 1]
 61: 2966| [45] ["The sprinkler system's not working!?"]
 62: 2971| [47] [Security Guard 2]
 63: 2974| [45] ["Why...? Dammit! Hurry up with the personnel evacuation!"]
 64: 2979| [45] [The systems that were supposedly their last ray of hope proved to be completely ineffective.]
 65: 3059| [47] [Staff Member 1]
 66: 3062| [45] ["They've even confirmed fires in the factory! The equipment undergoing development's going up in flames now!"]
 67: 3067| [47] [Staff Member 2]
 68: 3070| [45] ["You've gotta be kidding me! Do you even realize how much it cost to develop that!?"]
 69: 3075| [47] [Staff Member 2]
 70: 3078| [45] ["We can't let it go up in flames! Put it out manually!"]
 71: 3083| [47] [Staff Member 1]
 72: 3086| [45] ["There's another fire breaking out in in Hall 4! Who can extinguish the flames if nobody can even reach the factory?"]
 73: 3202| [45] [Chaos and hysteria dominated the facility.]
