  0:   47| [55] [√After Chapter1]
  1:   58| [45] [――]
  2:   63| [45] [――――]
  3:   68| [45] [――――――意識は、果てのない闇の中にあった。]
  4:   73| [45] [そこは何もかもが閉じた世界だった。]
  5:   78| [45] [視覚も、聴覚も、触覚も、嗅覚も、味覚も……あらゆる感覚が途切れている。]
  6:   83| [45] [世界に触れている実感がまるで無い。]
  7:   88| [47] [？？]
  8:   89| [45] [（ここは……？）]
  9:   94| [45] [わからない。]
 10:   99| [45] [脳裏にはただ虚無だけがある。]
 11:  104| [47] [？？]
 12:  105| [45] [（何だ……？）]
 13:  110| [45] [感じ取れるのは喪失感のみ。]
 14:  115| [47] [？？]
 15:  116| [45] [（一体……どうなってるんだ……？）]
 16:  121| [45] [何か決定的なものが、欠落している気がした。]
 17:  126| [47] [？？]
 18:  127| [45] [（どうしてこんな事に――）]
 19:  132| [45] [必死でその原因を探る。]
 20:  137| [45] [やがて断片的な映像が、意識の片隅で瞬いた。]
 21:  220| [47] [？？]
 22:  221| [45] [（…………！）]
 23:  226| [47] [？？]
 24:  227| [45] [（そうか……）]
 25:  232| [47] [？？]
 26:  233| [45] [（あの時、あれに襲われて――）]
 27:  316| [45] [死んだのか！？]
 28:  399| [45] [いや……！]
 29:  482| [45] [心臓の鼓動――内から響く音。]
 30:  487| [45] [それが確かに感じられる。]
 31:  499| [45] [こいつは――]
 32:  504| [45] [待て、そうじゃない……！]
 33:  509| [47] [？？]
 34:  510| [45] [（オレは……！）]
 35:  570| [45] [……生きている……！]
 36:  575| [45] [感覚がある……！]
 37:  580| [45] [視覚が聴覚が嗅覚が味覚が触覚が――痛覚が。]
 38:  585| [45] [肉体が、意識が、ここにある……。]
 39:  590| [47] [？？]
 40:  591| [45] [（オレは、ここにいるんだ……！！）]
 41:  597| [45] [……………………]
 42:  602| [45] [――――――――]
 43:  713| [47] [女１]
 44:  716| [45] [「――……長！」]
 45:  724| [47] [女１]
 46:  727| [45] [「……隊長、しっかりして下さい！　隊長！」]
 47:  735| [47] [女２]
 48:  738| [45] [「起きなよ隊長！　隊長ってば！」]
 49:  743| [45] [不意にそんな声が聞こえ――]
 50:  748| [45] [男は眼を開けた。]
 51:  948| [47] [女１]
 52:  951| [45] [「あ……！　気がついたのですね！」]
 53:  998| [47] [女２]
 54: 1001| [45] [「よ、よかったぁ！　死んでるかと思ったよ！」]
 55: 1009| [47] [男]
 56: 1012| [45] [「……？」]
 57: 1017| [45] [何も言えないでいる男に、目の前の女たちが声をかけてくる。]
 58: 1064| [47] [女２]
 59: 1067| [45] [「っていうか隊長、なんでこんな所にいるのさ！？　指揮所にいるはずじゃ！？」]
 60: 1075| [47] [女１]
 61: 1078| [45] [「それよりご自分の名前を言えますか？　今日が何月何日かは？」]
 62: 1086| [47] [男]
 63: 1089| [45] [「……え……あ？」]
 64: 1094| [45] [突然巻き込まれた質問の嵐に、すでに男は混乱していた。]
 65: 1099| [45] [まず男は現状を把握しようとした。]
 66: 1104| [45] [２人の女性は、オレンジ色の制服らしきものを着ている。]
 67: 1109| [47] [男]
 68: 1110| [45] [（消防隊員……いや、レスキュー隊？）]
 69: 1115| [45] [彼女たちの制服は、煤にまみれていた。]
 70: 1120| [45] [災害、事故、救助――取り留めのないイメージが、男の脳内に渦巻く。]
 71: 1128| [47] [男]
 72: 1131| [45] [「君らは……いや、ここは……？」]
 73: 1178| [47] [女１]
