  0:  123| [55] [√Before Chapter1]
  1:  131| [45] [――いつの間にか壊れていた時計と、奇妙な事を言う悠里――]
  2:  136| [45] [それらに夏彦は戸惑いながら、ひとまず言葉を返した。]
  3:  144| [47] [夏彦]
  4:  147| [45] [「……悠里は心配性だな」]
  5:  179| [47] [悠里]
  6:  182| [45] [「え？」]
  7:  190| [47] [夏彦]
  8:  193| [45] [「大丈夫だよ、恐ろしい出来事なんか起きないって」]
  9:  201| [47] [夏彦]
 10:  204| [45] [「昔のぼくとは違うんだ。危険なところに飛び込む事なんてないからさ」]
 11:  227| [47] [悠里]
 12:  228| [45] [「……」]
 13:  254| [47] [悠里]
 14:  257| [45] [「……そうだね」]
 15:  283| [47] [悠里]
 16:  286| [45] [「ごめんね。暗いニュースを見ると、なんだか不安になっちゃって」]
 17:  294| [47] [夏彦]
 18:  297| [45] [「なぁに、気にしなくていいよ」]
 19:  513| [45] [そう言いながら、ちらりと時計を見て――そしてはっとした。]
 20:  518| [47] [夏彦]
 21:  519| [45] [（あれ……？）]
 22:  524| [45] [ついさっき、腕時計が壊れていたのを見たはずだった。]
 23:  529| [45] [だがよく見れば文字盤には傷などなく、時計はいつも通り時を刻んでいる。]
 24:  534| [45] [９月１０日、６時４９分――示されている時刻にも、おかしなところなどない。]
 25:  619| [47] [夏彦]
 26:  620| [45] [（……見間違いかな）]
 27:  625| [45] [若干妙な気がしたが、他に合理的な説明はできない。]
 28:  815| [45] [夏彦と悠里が笑みを交わしたとき、ましろが呆れたように言った。]
 29:  823| [47] [ましろ]
 30:  826| [45] [「２人とも、なにボソボソ話してるの？」]
 31:  852| [47] [ましろ]
 32:  855| [45] [「朝なんだし、明るいお話しよーよ」]
 33:  860| [45] [ましろにそう言われ、夏彦は――]
 34:  891| [45] [それに乗る事にした。]
 35:  899| [47] [夏彦]
 36:  902| [45] [「そうだな、何か楽しい話題あるかい？」]
 37:  928| [47] [ましろ]
 38:  931| [45] [「そーだねぇ、たとえば今期の朝アニメの話とか」]
 39:  957| [47] [ましろ]
 40:  960| [45] [「ちょうどオススメのがやってる時間だよ、みんなで一緒に見ようよ～」]
 41:  968| [47] [夏彦]
 42:  971| [45] [「おっと、またアニメの話かぁ……」]
 43:  997| [47] [悠里]
 44: 1000| [45] [「ましろん、好きだもんねぇ」]
 45: 1026| [47] [ましろ]
 46: 1029| [45] [「なにっ、２人とも反応薄いなぁ！」]
 47: 1055| [47] [ましろ]
