  0:   52| [55] [√After Chapter 2]
  1:   60| [45] [--When Watase ran down the emergency staircase,]
  2:  172| [45] [he found the sea of flames still there.]
  3:  177| [45] [He could see Kazami and Jun holding two hoses as they desperately suppressed the fire,%Nthe sound of the Procyon's alarm beeping in the background.]
  4:  212| [47] [Jun]
  5:  215| [45] ["Oh, you came back!?"]
  6:  256| [47] [Kazami]
  7:  259| [45] ["Captain! Are you sure you're okay!?"]
  8:  267| [47] [Watase]
  9:  270| [45] ["Your concern is unnecessary! Anyway, is there anything I can help with!?"]
 10:  342| [47] [Jun]
 11:  345| [45] ["I'd like you to help us put out the fire, but, well--"]
 12:  350| [45] [Watase checked the area around him as he listened to Jun.]
 13:  361| [45] [Everywhere except for where Kazami and Jun were standing was engulfed in flames.]
 14:  366| [45] [With the air full of heat waves and steam, every breath he took felt like it was setting his lungs on fire.]
 15:  392| [47] [Kazami]
 16:  395| [45] ["It's too dangerous for you in your current condition! Please fall back!"]
 17:  410| [47] [Watase]
 18:  411| [45] [(No, "firefighting is all about teamwork"! There must be something that I can do too!)]
 19:  416| [45] [Watase stood frozen in place.]
 20:  470| [45] [He hesitated for a second, wondering if he should just do as Kazami said and fall back--]
 21:  475| [47] [Watase]
 22:  476| [45] [(No, "firefighting is all about teamwork"!)]
 23:  490| [47] [Watase]
 24:  491| [45] [(There must be something I can do too!)]
 25:  496| [45] [Watase stood frozen in place.]
 26:  510| [47] [Watase]
 27:  513| [45] ["I'll watch the fire from the rear! That way, I can let you know if I see something strange!"]
 28:  539| [47] [Jun]
 29:  542| [45] ["Yes, thank you, Captain!"]
 30:  568| [47] [Kazami]
 31:  571| [45] ["Much obliged!"]
 32:  635| [45] [The two of them shouted that and continued hosing down the fire.]
 33:  640| [47] [Watase]
 34:  641| [45] [(But this fire looks far beyond the control of human hands at this point...!)]
 35:  646| [45] [Just as Watase thought that--]
 36:  780| [45] [Some of the nearby flames surged upward fiercely.]
 37:  788| [47] [Watase]
 38:  791| [45] ["Wha!?"]
 39:  796| [45] [A tongue of flame which had been licking at the ceiling nimbly waved towards the floor.]
 40:  801| [45] [It was almost like the writhing of a giant snake--]
 41:  815| [47] [Watase]
 42:  818| [45] ["H-hey guys, what's that!?"]
 43:  867| [47] [Jun]
 44:  870| [45] ["!? Oh shit, it's rolling over!"]
 45:  927| [47] [Kazami]
 46:  930| [45] ["We'll never last against that! All hands retreat!"]
 47:  935| [45] [Even Watase could tell that whatever was happening was no laughing matter.]
 48:  943| [47] [Watase]
 49:  946| [45] ["T-this way, guys!"]
 50:  958| [45] [Watase opened the emergency staircase door.]
 51: 1013| [45] [Kazami and Jun threw aside their hoses at the same time and ran for the stairs.]
 52: 1018| [45] [Watase followed them on nigh-instinct.]
 53: 1075| [47] [Watase]
 54: 1078| [45] ["Hurry!"]
 55: 1083| [45] [The whole group crowded their way up the stairs as fast as they could.]
