  0:   38| [55] [√Before Chapter8]
  1:   64| [45] [外周棟は広々とした、工場のような場所だった。]
  2:   69| [45] [そこは凄まじい猛火に包まれている。]
  3:   74| [45] [９年前も見た光景。]
  4:   79| [45] [あの時も母に連れられ、ここから脱出した。]
  5:   84| [47] [夏彦]
  6:   85| [45] [（確かこの最奥部に、搬出リフトが！！）]
  7:   90| [45] [夏彦は炎の合間を縫い、ましろをそこまで連れて行く。]
  8:   95| [45] [燃えさかる炎は２人に容赦なく襲いかかり、ジリジリと肌や服を焼き焦がす。]
  9:  100| [45] [夏彦は熱さや痛みに耐えながら、この先にあるはずの脱出口に全てを賭けて突き進んだ。]
 10:  150| [45] [工場の隅にあったセキュリティゲートを開ける。]
 11:  196| [45] [ゲートの向こうには、記憶と寸分違わぬ小部屋があった。]
 12:  201| [45] [扉の横のコントロールパネルに、扉の開閉を行うボタンが並んでいる。]
 13:  212| [45] [『開く』のボタンを押すと、ゆっくりとリフトが降下してくる音が聞こえてきて――]
 14:  217| [45] [扉が、開いた。]
 15:  266| [47] [夏彦]
 16:  267| [45] [（……よし、動く）]
 17:  272| [45] [どうやら扉を開けばリフトが自動的に下に降りてきて、閉めればリフトは上に上がる仕組みになっているらしい。]
 18:  277| [45] [中に入って確認すると、リフト内からは上昇・下降の操作はできないようだ。]
 19:  282| [47] [夏彦]
 20:  283| [45] [（本来、人が乗るようにはできていないんだろうな）]
 21:  288| [45] [夏彦はそれを確認するや、ましろを床に降ろした。]
 22:  293| [45] [彼女の上着を脱がし、そして自分のＴシャツを引き裂く。]
 23:  298| [45] [それを彼女の肩の辺りに、強く巻きつけた。]
 24:  306| [47] [ましろ]
 25:  309| [45] [「うっ……」]
 26:  317| [47] [夏彦]
 27:  320| [45] [「痛むか？　ごめんな、いま傷の手当をしてるんだ」]
 28:  328| [47] [ましろ]
 29:  331| [45] [「てあ、て……？」]
 30:  339| [47] [夏彦]
 31:  342| [45] [「これ以上出血したら、まずいだろうからさ」]
 32:  347| [45] [夏彦は傷の手当を終え、彼女に上着を着せ直した。]
 33:  355| [47] [夏彦]
 34:  358| [45] [「ほら、終わったぞ」]
 35:  423| [47] [ましろ]
 36:  426| [45] [「ん……あり、がと……」]
 37:  431| [45] [ましろの意識は混濁しているようだ。]
 38:  436| [45] [だがそれでも夏彦の声や表情に、おかしな点がある事に気付いたらしい。]
 39:  441| [45] [虚ろだった目の色に、疑問の光が宿った。]
 40:  467| [47] [ましろ]
 41:  470| [45] [「でも……どうして、いまなの？」]
 42:  478| [47] [ましろ]
 43:  481| [45] [「いっしょに逃げてから、外で手当てすれば……」]
 44:  486| [47] [夏彦]
 45:  487| [45] [「……」]
 46:  492| [45] [『できないんだよ、ましろ。それはできないんだ』]
 47:  497| [45] [その言葉を夏彦は飲み込んだ。]
 48:  505| [47] [夏彦]
 49:  508| [45] [「……逃げるまでのわずかな時間の間に、傷口が開くかもしれないだろ？」]
 50:  516| [47] [夏彦]
 51:  519| [45] [「だからだよ。大した意味はない」]
 52:  527| [47] [ましろ]
 53:  530| [45] [「……ほんとに？」]
 54:  535| [45] [その問いには答えず、夏彦はリフトの方を見た。]
 55:  543| [47] [夏彦]
 56:  546| [45] [「……いいかましろ。このリフトに乗れば、地上まで脱出できる」]
 57:  554| [47] [夏彦]
 58:  557| [45] [「まずはお前が乗って、逃げてくれ」]
 59:  583| [47] [ましろ]
 60:  586| [45] [「え……」]
 61:  594| [47] [ましろ]
 62:  597| [45] [「夏彦、は……？」]
 63:  602| [45] [夏彦は答えを探し、そして――]
 64:  607| [45] [嘘をついた。]
 65:  615| [47] [夏彦]
 66:  618| [45] [「……さっきの男の心を読んでわかった」]
 67:  626| [47] [夏彦]
 68:  629| [45] [「サリュがぼくらを助けようと地下に降りてきて、閉じ込められたらしい」]
 69:  655| [47] [ましろ]
 70:  658| [45] [「……！」]
 71:  663| [45] [そんな事実はない。ましろを先に逃がすための方便に過ぎないが――]
 72:  668| [45] [夏彦はそれを表に出さず、真摯に言った。]
 73:  676| [47] [夏彦]
 74:  679| [45] [「ぼくはサリュを助けてから脱出する」]
