  0:   75| [55] [√Before Chapter 5]
  1:  105| [47] [Mashiro]
  2:  108| [45] ["For now, let's go to my house! We need to secure a hiding place!"]
  3:  218| [45] [In accordance with that suggestion, the three of them headed to Mashiro's house.]
  4:  223| [45] [The Toba residence was quite nearby. No more than three minutes if you ran.]
  5:  228| [45] [But once they got close--]
  6:  254| [47] [Mashiro]
  7:  257| [45] ["... Huh? Hold on, guys!"]
  8:  262| [45] [Natsuhiko and Salyu stopped at Mashiro's command.]
  9:  270| [47] [Natsuhiko]
 10:  273| [45] ["What's wrong, Mashiro?"]
 11:  299| [47] [Mashiro]
 12:  302| [45] ["There's somebody by the entranceway..."]
 13:  307| [45] [And true enough, they looked to see silhouettes standing in front of the Toba residence.]
 14:  312| [45] [Mashiro's mother was talking to two men.]
 15:  320| [47] [Natsuhiko]
 16:  323| [45] ["Who's she talking to...?"]
 17:  381| [45] [They hid themselves and strained their ears on the conversation between Mashiro's mother and the two men.]
 18:  386| [47] [Security Dept. 1]
 19:  389| [45] ["... Your daughter snuck into the Parapsychology Research Center and injured a security guard."]
 20:  394| [45] [The three kids gasped at the conversation.]
 21:  399| [47] [Natsuhiko]
 22:  400| [45] [(The security department...!)]
 23:  405| [45] [The security department had apparently already gotten here.]
 24:  410| [45] [Mashiro's mother spoke in surprise.]
 25:  415| [47] [Mrs. Toba]
 26:  418| [45] ["No, not my daughter!? There has to be some sort of mistake!"]
 27:  423| [47] [Security Dept. 1]
 28:  426| [45] ["I'm sorry ma'am, but she was caught by a surveillance camera. There's no doubt about it."]
 29:  431| [47] [Security Dept. 1]
 30:  434| [45] ["Is it all right if we wait here for your daughter to return?"]
 31:  439| [47] [Mrs. Toba]
 32:  442| [45] ["Not at all! Besides, look at the time... I must ask you two to please leave!"]
 33:  450| [47] [Natsuhiko]
 34:  453| [45] ["This is bad... they're pressing her."]
 35:  494| [47] [Salyu]
 36:  497| [45] ["It's partly true, so it's in some ways unavoidable... I'm sorry Mashiro. It's my fault."]
 37:  523| [47] [Mashiro]
 38:  526| [45] ["It's okay, Salyu. I'll explain the situation to Mom with telepathy."]
 39:  549| [45] [And with that, Mashiro placed a finger to her temple.]
 40:  654| [45] [Using telepathy on a blood relative was probably easy enough for her.]
 41:  659| [45] [And she was probably successful in contacting her, but--]
 42:  718| [45] [Right after that, Mashiro's mother shouted.]
 43:  723| [47] [Mrs. Toba]
 44:  726| [45] ["Mashiro!? Is that you, Mashiro!?"]
 45:  731| [47] [Security Dept. 1]
 46:  734| [45] ["!?"]
 47:  739| [45] [The security department members snapped back and looked around.]
 48:  744| [47] [Security Dept. 1]
 49:  747| [45] ["Where is she!?"]
 50:  752| [45] [The security department members' voices echoed. There was no time to hesitate.]
 51:  793| [47] [Salyu]
 52:  796| [45] ["Let's get out of here. Things are gonna get problematic."]
 53:  804| [47] [Natsuhiko]
 54:  807| [45] ["Right!"]
 55:  812| [45] [Mashiro nodded and dashed off.]
 56:  876| [45] [But as she ran, she yelled.]
 57:  884| [47] [Mashiro]
 58:  887| [45] ["Mom, believe in me! I did nothing wrong!"]
 59:  892| [45] [Mashiro's voice resounded in the dark residential area.]
 60:  998| [45] [--The kids avoided the security department and ran with reckless abandon.]
 61: 1003| [45] [But no matter where they ran, the shadows of people who seemed like security department members appeared.]
 62: 1008| [47] [Security Dept. 2]
 63: 1011| [45] ["There they are! After them!"]
 64: 1016| [45] [Each time they heard that, they turned back and rushed through a back street.]
 65: 1024| [47] [Natsuhiko]
 66: 1027| [45] ["Dammit. How can they manage to find us no matter where we go!?"]
 67: 1053| [47] [Mashiro]
 68: 1056| [45] ["Natsuhiko, it's those things!"]
 69: 1064| [47] [Natsuhiko]
 70: 1067| [45] ["Huh!?"]
 71: 1072| [45] [Natsuhiko snapped toward where she was pointing to find a security camera.]
 72: 1126| [47] [Natsuhiko]
 73: 1127| [45] [(Dammit...!)]
 74: 1132| [45] [The security department had the authority to use the security cameras.]
 75: 1137| [45] [The camera footage was likely being sent to the municipal office server where they could inspect it in realtime.]
 76: 1142| [45] [They could check it on PDAs or something to follow the kids' tracks.]
 77: 1228| [47] [Mashiro]
 78: 1231| [45] ["What do we do? They're going to catch us!"]
 79: 1239| [47] [Natsuhiko]
 80: 1242| [45] ["Calm down. Let's escape to a place without any cameras!"]
 81: 1333| [45] [The kids ran desperately, avoiding human presence, avoiding cameras.]
 82: 1457| [45] [And in all the confusion, they ended up in Rokumei Park.]
 83: 1465| [47] [Natsuhiko]
 84: 1468| [45] ["Haah, haah..."]
 85: 1509| [47] [Mashiro]
 86: 1512| [45] ["Th-think we'll be safe here...?"]
 87: 1538| [47] [Salyu]
 88: 1541| [45] ["No."]
 89: 1546| [45] [Salyu pointed to the woods as she said that.]
 90: 1656| [45] [And hidden in the grove of trees was indeed another security camera.]
