  0:   97| [55] [√Current Chapter3]
  1:  117| [47] [宇喜多]
  2:  120| [45] [「くそっ、見失ったか……！」]
  3:  188| [45] [渡瀬と恵那は追跡から逃れ、第２エリア内周棟の一室に身を潜めていた。]
  4:  196| [47] [渡瀬]
  5:  199| [45] [「……行ったみたいだな」]
  6:  234| [47] [恵那]
  7:  237| [45] [「えぇ……」]
  8:  242| [45] [夏彦は渡瀬の眼を通して、恵那を見つめた。]
  9:  247| [45] [とても教師とは思えない、油断なく張り詰めた顔がそこにある。]
 10:  252| [47] [夏彦]
 11:  253| [45] [（先生……ぼくはあなたを、信じていてもいいんですよね？）]
 12:  258| [45] [できる事ならそう尋ねたいと、夏彦が思った――その時。]
 13:  263| [45] [奇妙な感覚が襲ってきた。]
 14:  438| [47] [夏彦]
 15:  439| [45] [（……？）]
 16:  444| [45] [不意に五感がぼやけてきた。]
 17:  612| [47] [夏彦]
 18:  613| [45] [（なんだ、この感じは……？）]
 19:  618| [45] [光も音も、確かにそこにあるはずなのに。]
 20:  626| [47] [渡瀬]
 21:  629| [45] [「どうして―……オレを――…んだ？」]
 22:  655| [47] [恵那]
 23:  658| [45] [「――……私も―――…意が――……からよ」]
 24:  663| [45] [なぜか正確に、世界を知覚することができない。]
 25:  668| [45] [例えるなら、猛烈な睡魔に襲われている時のような……。]
 26:  836| [47] [夏彦]
 27:  837| [45] [（ダメだ……意識が、ぼーっとする……）]
 28:  863| [47] [恵那]
 29:  866| [45] [「隊――……、こ――……る？」]
 30:  874| [47] [渡瀬]
 31:  877| [45] [「――……れ？」]
 32:  882| [45] [恵那が渡瀬に何かを見せている。]
 33:  887| [45] [だが何を見せているのか、理解できない。]
 34:  892| [47] [夏彦]
 35:  893| [45] [（おかしい　なんで）]
 36:  898| [45] [眠い]
 37:  903| [47] [夏彦]
 38:  904| [45] [（待てもしかして、これって――）]
 39:  909| [45] [渡瀬の中に滞留していた]
 40:  914| [45] [ＢＣエネルギーが]
 41:  919| [45] [尽きかけて……]
 42:  924| [47] [夏彦]
 43:  925| [45] [（ぼくが消えようとしているのか！？）]
 44:  930| [45] [――消える？]
 45:  935| [45] [ぼくが？]
 46:  940| [45] [――ぼくの意識が！]
 47:  945| [47] [夏彦]
 48:  946| [45] [（う、嘘だろ……！）]
 49:  951| [45] [夏彦は薄れいく意識の中に、慌てて気を張り巡らせた。]
 50: 1119| [45] [すると急速に――]
 51: 1127| [47] [渡瀬]
 52: 1130| [45] [「――――……る？　守部も宇喜多のおっさんも、オレを心底疑っているぞ？」]
 53: 1156| [47] [恵那]
 54: 1159| [45] [「……ね、だから――私が、あの２人を説得してくるわ」]
 55: 1164| [45] [２人の会話の内容が、理解できるようになってきた。]
 56: 1172| [47] [渡瀬]
 57: 1175| [45] [「なっ……まさか、１人で行くつもりか？」]
 58: 1201| [47] [恵那]
 59: 1204| [45] [「当たり前でしょ？　あなたが一緒に来たりしたら、話がややこしくなるだけだわ」]
 60: 1212| [47] [渡瀬]
 61: 1215| [45] [「それはそうかもしれないが……」]
 62: 1241| [47] [恵那]
 63: 1244| [45] [「すぐに戻ってくるから、ここで待ってて」]
 64: 1249| [45] [どうやら恵那は、１人でここを離れるつもりらしい。]
 65: 1254| [47] [夏彦]
 66: 1255| [45] [（ダメだ、先生……そんなの、どう考えても危険すぎる……！）]
 67: 1260| [45] [だが渡瀬は、恵那を引きとめようとする気配がない。]
