  0:   51| [55] [√Before Chapter 6]
  1:   75| [47] [Natsuhiko]
  2:   78| [45] ["...!"]
  3:   83| [45] [Natsuhiko had a detailed recollection of what happened yesterday.]
  4:   88| [45] [He remembered the day he had learned the truth, confronted the enemy, and suffered defeat.]
  5:   93| [45] [And today--]
  6:   98| [45] [The gate closed in front of them, sending Natsuhiko into a crisis alongside Yuuri and Mashiro.]
  7:  103| [45] [But even so--]
  8:  108| [47] [Natsuhiko]
  9:  109| [45] [(Like hell am I gonna give up...!)]
 10:  114| [45] [He had that conviction.]
 11:  119| [45] [Yuuri stood beside him and whispered softly into his ear.]
 12:  180| [47] [Yuuri]
 13:  183| [45] ["... Hikorin, you've remembered, haven't you?"]
 14:  191| [47] [Yuuri]
 15:  194| [45] ["You've overcome several obstacles to get here..."]
 16:  220| [47] [Yuuri]
 17:  223| [45] ["You've obtained the strength you need to overcome the past."]
 18:  231| [47] [Yuuri]
 19:  234| [45] ["No matter what happens from now on, your mind will endure. You should be able to overcome anything."]
 20:  239| [45] [Those words fortified Natsuhiko's mind even further.]
 21:  244| [45] [Though his head still hurt, he gritted his teeth and bore it.]
 22:  249| [45] [Mashiro called out to Natsuhiko in his silence.]
 23:  298| [47] [Mashiro]
 24:  301| [45] ["Natsuhiko, what are you talking to Yuuri about!?"]
 25:  306| [45] [Natsuhiko smiled and answered her.]
 26:  314| [47] [Natsuhiko]
 27:  317| [45] ["... She's given me courage."]
 28:  343| [47] [Mashiro]
 29:  346| [45] ["Huh?"]
 30:  354| [47] [Natsuhiko]
 31:  357| [45] ["Mashiro, we can't give up yet. There has to be a way out."]
 32:  383| [47] [Mashiro]
 33:  386| [45] ["B-but we can't go anywhere because the gate won't open..."]
 34:  394| [47] [Natsuhiko]
 35:  397| [45] ["No... We'll search for a 'security card'. As long as we have the right card, we can go to Area 6."]
 36:  494| [45] [Closer inspection of the gate revealed a card slot.]
 37:  499| [45] [Natsuhiko, Mashiro, and Yuuri didn't have a security card, but if they found one, they could probably open the gate.]
 38:  523| [47] [Natsuhiko]
 39:  526| [45] ["There was a huge panic in the facility after the alarm rang out."]
 40:  534| [47] [Natsuhiko]
 41:  537| [45] ["I wouldn't be surprised if one or two staff members forgot to bring their card with them!"]
 42:  567| [47] [Mashiro]
 43:  570| [45] ["I-I see!"]
 44:  575| [45] [A little bit of Mashiro's cheerfulness had returned to her voice.]
 45:  580| [45] [It may have been just a sliver of hope, but they had no choice but to wager on it.]
 46:  585| [47] [Natsuhiko]
 47:  586| [45] [(I swear I'll find a card... and get these two girls out of here if it's the last thing I do!)]
 48:  591| [45] [Natsuhiko made that conviction and ran off once more.]
 49:  721| [47] [Natsuhiko]
 50:  724| [45] ["Let's split up the search! Mashiro, you take that room!"]
 51:  750| [47] [Mashiro]
 52:  753| [45] ["O-okay!"]
 53:  761| [47] [Yuuri]
 54:  764| [45] ["Then Hikorin, you take that room further down!"]
 55:  772| [47] [Natsuhiko]
 56:  775| [45] ["Yeah, leave it to me!"]
 57:  780| [45] [Natsuhiko followed Yuuri's suggestion and plunged into that room.]
 58:  872| [45] [It was a small personal office about 9 square meters in size.]
 59:  902| [47] [Natsuhiko]
 60:  903| [45] [(It's a mess, huh... Maybe I can find a card here somewhere.)]
