  0:   50| [55] [√Double Chapter7]
  1:   86| [85] [　%N　%N　%N　%N　%N]
  2:   90| [47] [【――三ノ宮・ルイーズ・優衣との記憶――】]
  3:  171| [45] [――ましろと将来の話をした日から、また３ヶ月ほど過ぎたある日の事――]
  4:  176| [45] [夏彦はサリュと、宿舎の中庭で話していた。]
  5:  182| [45] [――あの事件の後、夏彦たちは――]
  6:  187| [45] [恵那の手引きで、北海道の某所にある、超科局の宿舎に寝泊りしていた。]
  7:  192| [45] [生まれ育った街を離れ、マスコミや鹿鳴市の関係者から、隠れて暮らす日々。]
  8:  197| [45] [そんな生活も、１０ヶ月近く過ぎた、ある日の事。]
  9:  202| [45] [夏彦はサリュと、宿舎の中庭で話していた……。]
 10:  267| [45] [その日、夏彦はサリュに『星を見るのに付き合って』と誘われた。]
 11:  272| [45] [それはサリュの趣味らしく、時々こうして悠里やましろも誘われていた。]
 12:  381| [45] [飽く事無く星を眺めるサリュに、夏彦は尋ねる。]
 13:  389| [47] [夏彦]
 14:  392| [45] [「サリュ、面白いかい？」]
 15:  400| [47] [サリュ]
 16:  403| [45] [「面白い」]
 17:  411| [47] [サリュ]
 18:  414| [45] [「空は時と共に移ろい、星は季節によって変化していく。実に興味深い」]
 19:  422| [47] [夏彦]
 20:  425| [45] [「なるほど、確かに」]
 21:  430| [45] [何度も誘われているうちに、夏彦も少しずつ星に興味が湧いていた。]
 22:  435| [45] [今度天体望遠鏡でも買おうかと思っていると、サリュがぽつりと呟く。]
 23:  443| [47] [サリュ]
 24:  446| [45] [「……覚えてる、夏彦？」]
 25:  454| [47] [夏彦]
 26:  457| [45] [「ん？」]
 27:  465| [47] [サリュ]
 28:  468| [45] [「いつかもこうやって、夜空を一緒に見上げた事」]
 29:  476| [47] [サリュ]
 30:  479| [45] [「夏彦と悠里、そしてましろの名前の共通点について話したでしょう」]
 31:  487| [47] [夏彦]
 32:  490| [45] [「あぁ、もちろん」]
 33:  555| [45] [そう言われて思い出した。]
 34:  560| [45] [サリュが天川家に来た直後、確かにそんな話をした。]
 35:  614| [47] [夏彦]
 36:  617| [45] [「彦星がぼく、織姫＝琴座のヴェガが悠里、そして天の川にかかる鳥の羽がましろ……だよな？」]
 37:  625| [47] [サリュ]
 38:  628| [45] [「そう」]
 39:  636| [47] [サリュ]
 40:  639| [45] [「だけどあれとは、また別の共通点がある事に気がついた」]
 41:  647| [47] [夏彦]
 42:  650| [45] [「え？」]
 43:  658| [47] [サリュ]
 44:  661| [45] [「あの星を見て」]
 45:  705| [45] [サリュがそう言って指差した先には、ひときわ輝く３つの星があった。]
 46:  713| [47] [サリュ]
 47:  716| [45] [「彦星と織姫に加えて、もう１つ大きな星があるでしょう」]
 48:  725| [47] [サリュ]
 49:  728| [45] [「白鳥座のデネブ……その３つを総称して、『夏の大三角形』と呼ぶ」]
 50:  765| [47] [サリュ]
 51:  768| [45] [「白鳥、すなわち『鳥羽ましろ』」]
 52:  776| [47] [夏彦]
 53:  779| [45] [「ん？　んんん？　それはちょっとこじつけ過ぎじゃ――」]
 54:  796| [47] [サリュ]
 55:  799| [45] [「こじつけじゃない。確固たる共通点」]
 56:  804| [45] [サリュははっきりとそう言いきった。異論は許さないというように。]
 57:  812| [47] [夏彦]
 58:  815| [45] [「そ、そうか……確かに共通点だな、うん」]
 59:  863| [47] [サリュ]
 60:  866| [45] [「夏の大三角形は、まるであなたたちの絆の強さを、象徴しているよう」]
 61:  874| [47] [サリュ]
 62:  877| [45] [「それが妬ける。私は仲間外れだから」]
 63:  885| [47] [夏彦]
 64:  888| [45] [「や、妬けるって……」]
 65:  896| [47] [夏彦]
 66:  899| [45] [「えっと、なんの話なのかなこれは……？」]
 67:  937| [45] [夏彦が戸惑っていると、サリュは空を見上げたまま言った。]
 68:  945| [47] [サリュ]
 69:  948| [45] [「この隠遁生活中に、私も理解した」]
 70:  956| [47] [サリュ]
 71:  959| [45] [「あなたたちの関係には、私の入り込む余地がない何かがある……」]
 72:  967| [47] [夏彦]
 73:  970| [45] [「なにっ？　そんな事はないぞ。ぼくらは４人揃って仲間――」]
 74:  978| [47] [サリュ]
 75:  981| [45] [「いや、そういうのではない」]
 76:  989| [47] [夏彦]
 77:  992| [45] [「じゃあどういうのだ？」]
 78: 1000| [47] [サリュ]
 79: 1003| [45] [「それは即ち、三角関係。恋愛的な意味での」]
