  0:   72| [55] [√Before Chapter2]
  1:   80| [45] [――それはもう、１０年も前の話だ。]
  2:   85| [45] [その日、夏彦とましろは公園でケンカしていた。]
  3:  172| [47] [ましろ]
  4:  175| [45] [「なにさ、夏彦のチョウチンフグ！」]
  5:  183| [47] [夏彦]
  6:  186| [45] [「なんだよ、ましろのスベスベマンジュウガニ！」]
  7:  191| [45] [きっかけは夏彦が好きなヒーローもののテレビ番組を、ましろがつまらないと言ったとか、そんな些細な事だった。]
  8:  242| [45] [かたわらで悠里が、２人を見ておろおろしている。]
  9:  277| [47] [悠里]
 10:  280| [45] [「夏彦くん、ましろちゃん、ケンカはやめてよぅ」]
 11:  312| [47] [夏彦]
 12:  315| [45] [「悠里はだまってろ！」]
 13:  356| [47] [ましろ]
 14:  359| [45] [「『だまってろ』って！？」]
 15:  385| [47] [ましろ]
 16:  388| [45] [「なにさ夏彦、悠里にむかってえらそうに！　このやばん人！」]
 17:  420| [47] [夏彦]
 18:  423| [45] [「なにをー！？」]
 19:  446| [45] [２人は悠里に構わず、にらみ合う。]
 20:  451| [45] [この頃には夏彦もましろも、悠里とはすでに仲良くなっていた。]
 21:  456| [45] [だが夏彦とましろの間は、まだひどく仲が悪かったのだ。]
 22:  482| [47] [ましろ]
 23:  485| [45] [「だいたいなに、なんとかマンジュウガニって！　いみわかんないよ！」]
 24:  493| [47] [夏彦]
 25:  496| [45] [「おまえのほうがわかんねーよ、ましろのバーカバーカ！」]
 26:  522| [47] [ましろ]
 27:  525| [45] [「グルルル！」]
 28:  533| [47] [夏彦]
 29:  536| [45] [「ガルルル！」]
 30:  541| [45] [そんな風に、当時の夏彦とましろは、何かといえばケンカしていた。]
 31:  546| [45] [誰とでも仲良くできる夏彦だったが、ましろとはなんだかソリが合わなかったのだ。]
 32:  572| [47] [ましろ]
 33:  575| [45] [「……フン、つきあってらんない！」]
 34:  615| [45] [やがてましろが捨てゼリフを残し、どこへともなく歩き去る。]
 35:  639| [47] [夏彦]
 36:  642| [45] [「そりゃこっちのセリフだ！」]
 37:  647| [45] [夏彦もその背に、憎まれ口を返す。]
 38:  652| [45] [それがいつもの２人の日常だった。]
 39:  731| [45] [悠里もましろの背を見ながら、困ったように言う。]
 40:  739| [47] [悠里]
 41:  742| [45] [「もう……どうして夏彦くんって、ましろちゃんとはいつもケンカばっかりなの？」]
 42:  766| [47] [夏彦]
 43:  769| [45] [「だってあいつ、女なのにナマイキなんだもん」]
 44:  795| [47] [夏彦]
 45:  798| [45] [「むかしっからなにかっていうと、ぼくにかみついてきてさー」]
 46:  803| [45] [夏彦とましろは家が近所のため、物心ついた時には、すでに顔見知りだった。]
 47:  808| [45] [幼稚園も同じで、ゆえにケンカした回数も、数え切れないほどあった。]
 48:  834| [47] [悠里]
 49:  837| [45] [「でも夏彦くん、『せいぎのヒーロー』にあこがれてるんでしょ？」]
 50:  845| [47] [悠里]
 51:  848| [45] [「だったら女の子とケンカしちゃだめじゃない？」]
 52:  856| [47] [夏彦]
 53:  859| [45] [「うっ」]
 54:  864| [45] [そこを突かれると、夏彦としては痛い。]
 55:  869| [45] [夏彦は正義感が強く、体の大きないじめっ子などにも果敢に挑む少年だった。]
 56:  874| [45] [だからテレビや漫画に出てくる正義のヒーローに憧れていたし、悠里の意見ももっともだったのだが――]
 57:  882| [47] [夏彦]
 58:  885| [45] [「でもましろは口はわるいし、パンチもいたいし……」]
 59:  893| [47] [夏彦]
 60:  896| [45] [「あいつはきっと、悪のてさきなんだ」]
 61:  922| [47] [悠里]
 62:  925| [45] [「そんなことないよ、ましろちゃんはいい子だよ～」]
 63:  951| [47] [悠里]
 64:  954| [45] [「女の子でいちばんさいしょに、わたしのともだちになってくれたしね～」]
 65:  959| [45] [悠里がほわほわした口調で、ましろを庇う。]
 66: 1207| [45] [２つ年上の悠里は、夏彦にとってはケンカ相手ではない。]
 67: 1212| [45] [彼が女の子に望むものとは、まさに悠里のような優しさとおとなしさである。]
 68: 1319| [45] [しかしましろはその真逆だ。]
 69: 1324| [45] [年も同じで、お互い気が強く、だから何かと衝突したのだろう。]
 70: 1447| [47] [悠里]
 71: 1450| [45] [「うーん……もっと２人がなかよくなってくれれば、わたしはうれしいんだけどなぁ」]
 72: 1458| [47] [夏彦]
 73: 1461| [45] [「へん。そんな日はきっとこないね」]
 74: 1466| [45] [夏彦はそううそぶいた。]
