  0:   51| [55] [√Double Chapter1]
  1:   63| [45] [――シェルターの扉の向こうで、渡瀬がパスワード入力用のボタンを壊す音がした。]
  2:   92| [45] [大きく息をつく夏彦に、悠里が穏やかな声で言う。]
  3:  118| [47] [悠里]
  4:  121| [45] [「ひこりん、本当に隊長さん、味方だったんだね……」]
  5:  129| [47] [夏彦]
  6:  132| [45] [「ああ、これでましろの事も安心だ」]
  7:  137| [45] [夏彦はそう言ってから、悠里の顔を見つめた。]
  8:  145| [47] [夏彦]
  9:  148| [45] [「それにしても、悠里……本当に、悠里なんだな？」]
 10:  153| [45] [彼女が生きていた事が、まだ信じられなかった。]
 11:  158| [45] [だから渡瀬がいなくなってから、改めて確かめようと思ったのだ。]
 12:  163| [45] [すると彼女は微笑んで、夏彦の問いに答える。]
 13:  189| [47] [悠里]
 14:  192| [45] [「うん……わたしだよ、ひこりん」]
 15:  200| [47] [悠里]
 16:  203| [45] [「幻でも偽者でもない、本物の琴乃悠里だよ……！」]
 17:  208| [45] [その声も姿も口調も仕草も、夏彦の知っている悠里だった。]
 18:  260| [45] [彼女は夏彦の手を握り、続ける。]
 19:  286| [47] [悠里]
 20:  289| [45] [「……ねぇひこりん。ちゃんとわたしに触れるでしょ」]
 21:  297| [47] [夏彦]
 22:  300| [45] [「……あぁ」]
 23:  308| [47] [悠里]
 24:  311| [45] [「錯覚じゃなくて、ちゃんと体温感じるでしょ？」]
 25:  319| [47] [夏彦]
 26:  322| [45] [「ああ」]
 27:  327| [45] [その小さな手から、彼女の温もりが伝わってくる。]
 28:  332| [45] [それでようやく、夏彦は確信した。]
 29:  337| [47] [夏彦]
 30:  338| [45] [（……本物だ……）]
 31:  343| [47] [夏彦]
 32:  344| [45] [（悠里は生きていたんだ……！）]
 33:  349| [45] [そう思うと夏彦の頬は、自然とほころんだ。]
 34:  356| [45] [――だが、喜んでばかりもいられない。]
 35:  361| [45] [決して無視できない疑問を、夏彦は口にした。]
 36:  369| [47] [夏彦]
 37:  372| [45] [「でも……こう言ったらなんだけど……」]
 38:  380| [47] [夏彦]
 39:  383| [45] [「その、君は……どうして生きているんだ？」]
 40:  444| [47] [悠里]
 41:  447| [45] [「っ！」]
 42:  470| [45] [夏彦がそう呟いた瞬間、悠里の表情が強張った。]
 43:  537| [45] [数時間前、母の研究室で資料を見た時に思い出した記憶――]
 44:  542| [45] [それはとても生々しく、あれこそが真実のように思えた。]
 45:  547| [45] [自分だけならともかく、ましろの記憶の中でも、悠里は９年前に死んでいた。]
 46:  552| [45] [その矛盾を埋める合理的な答えが、夏彦には思いつかない。]
 47:  602| [47] [夏彦]
