  0:   49| [55] [√Double Chapter 7]
  1:   60| [45] [--"I'm" with Yuuri and the others--]
  2:   65| [45] [--heading straight for Rokumei Park.]
  3:  104| [85] [　%N　%N　%N　%N　%N]
  4:  108| [47] [[--Natsuhiko Tenkawa's Present--]]
  5:  190| [45] [For a while, we had been living a secluded life in order to escape the watchful eyes of the media.]
  6:  195| [45] [But as the chaos in the world calmed down, we took the opportunity to finally return to Rokumei City.]
  7:  200| [45] [And besides, today's the first anniversary of that girl's death.]
  8:  205| [45] [Visiting her grave is another reason we came here.]
  9:  231| [47] [Yuuri]
 10:  234| [45] ["Mmm, the weather sure is nice, huh~..."]
 11:  239| [45] [Yuuri blissfully smiles as she squints her eyes.]
 12:  244| [45] [Mashiro, Salyu, and Mom respond.]
 13:  270| [47] [Mashiro]
 14:  273| [45] ["It sure is peaceful here. Hard to believe what happened a year ago, isn't it~"]
 15:  299| [47] [Salyu]
 16:  302| [45] ["I agree... It's been so peaceful lately that it's a little boring, though."]
 17:  328| [47] [Miyoko]
 18:  331| [45] ["You sure are tough, Yui. If you've got that much energy to spare, then I'd like you to help out with my work."]
 19:  357| [47] [Miyoko]
 20:  360| [45] ["I've spent three sleepless nights already with all this back and forth negotiation with the ESP Bureau."]
 21:  386| [47] [Miyoko]
 22:  389| [45] ["It's really tiring. I'm getting too old for this..."]
 23:  397| [47] [Natsuhiko]
 24:  400| [45] ["I'm sorry, Mom... We'll all help out together."]
 25:  426| [47] [Salyu]
 26:  429| [45] ["Of course."]
 27:  455| [47] [Mashiro]
 28:  458| [45] ["I'll help out with the cooking and stuff too~"]
 29:  484| [47] [Yuuri]
 30:  487| [45] ["I-I'll help out somehow too!"]
 31:  513| [47] [Miyoko]
 32:  516| [45] ["Oh my, I was just joking. You kids need to go to school."]
 33:  542| [47] [Miyoko]
 34:  545| [45] ["I'm working hard so that you kids can live like normal kids, after all."]
 35:  553| [47] [Natsuhiko]
 36:  556| [45] ["... I see."]
 37:  561| [45] [I really think she's a great mom.]
 38:  566| [45] [She's such a loving, capable, and strong person, and to be honest, I'm proud to be her son.]
 39:  571| [45] [--But I can't stay under her wing forever.]
 40:  585| [47] [Natsuhiko]
 41:  588| [45] [{Yuuri. Mashiro. Salyu. Let's help Mom out even if she insists we don't.}]
 42:  678| [85] [{Of course!}]
 43:  679| [86] [Yuuri]
 44:  680| [86] [{Of course!}]
 45:  695| [85] [{Sure thing.}]
 46:  696| [86] [Mashiro]
 47:  697| [86] [{Sure thing.}]
 48:  746| [47] [Salyu]
 49:  749| [45] ["Mmm."]
 50:  754| [45] [We exchange those words with a smile.]
 51:  806| [45] [Eventually we reach the park.]
