  0:   98| [55] [√After Chapter 7]
  1:  103| [45] [A thought made its way into Watase's faint consciousness.]
  2:  120| [47] [Watase]
  3:  121| [45] [(How... did it... come to this...?)]
  4:  138| [47] [Watase]
  5:  139| [45] [(Did I... do something wrong...?)]
  6:  156| [45] [Thinking about it wouldn't yield an answer. He didn't know a thing.]
  7:  205| [45] [--Way too many bizarre incidents had occurred in the past six hours.]
  8:  210| [45] [The sights and mysteries he'd witnessed up until that point flickered before his mind's eye.]
  9:  262| [45] [The loss of his memories.]
 10:  310| [45] [The nine of them being trapped in the facility.]
 11:  360| [45] [The murder victims they'd found.]
 12:  410| [45] [The survivor who'd run away from him time after time.]
 13:  460| [45] [The wrecked cargo lift and the body of the unidentified girl.]
 14:  508| [45] [The disappearance of their AD stock.]
 15:  603| [45] [The loss of any rhyme or reason to everything his companions said and did.]
 16:  653| [45] [The lack of any fires or nuclear reactor in Area N, and finding Natsuhiko on the brink of death instead.]
 17:  703| [45] [And-- the discovery and subsequent disappearance of Yuuri's body.]
 18:  749| [47] [Watase]
 19:  750| [45] [(Was all of that... actually... real...?)]
 20:  755| [45] [He wasn't even sure of that anymore.]
 21:  760| [47] [Watase]
 22:  761| [45] [(But if it was real... then what the hell happened here...?)]
 23:  766| [47] [Watase]
 24:  767| [45] [(Where'd Yuuri's body go...?)]
 25:  772| [45] [Kazami, Jun, Ena, Ukita-- and Yuuri.]
 26:  777| [45] [The faces of all those people who Watase had met up until that point materialized in his brain.]
 27:  782| [47] [Watase]
 28:  783| [45] [(... No, that's not all.)]
 29:  788| [47] [Watase]
 30:  789| [45] [(What happened to the 9th survivor...)]
 31:  794| [47] [Watase]
 32:  795| [45] [(Where's "Mashiro Toba"...?)]
 33:  842| [45] [He didn't want to doubt anyone.]
 34:  853| [45] [But everyone was suspicious.]
 35:  864| [47] [Watase]
 36:  865| [45] [(I can't help but think that someone set things up so they'd end this way...!)]
 37:  876| [45] [But who was the mastermind?]
 38:  887| [45] [All that he knew for sure was that it wasn't him.]
 39:  898| [45] [And then--]
 40:  909| [47] [Watase]
 41:  910| [45] [(It can't be Natsuhiko... he was dying in here...)]
 42:  921| [47] [Watase]
 43:  922| [45] [(So... I want to make sure that at least he can get out of here...!)]
 44:  933| [45] [But Watase's consciousness was growing fainter by the second.]
 45:  944| [45] [Just before he lost consciousness--]
 46:  954| [45] [--It happened.]
 47:  989| [45] [He heard the beating of a heart.]
 48: 1020| [47] [Watase]
 49: 1021| [45] [(!?)]
 50: 1052| [45] [For a moment, he thought it was his own heartbeat.]
 51: 1100| [45] [But-- that wasn't the case.]
 52: 1105| [45] [That sound appeared to be coming from somewhere closer.]
 53: 1169| [45] [He could sense that something was moving next to him.]
 54: 1174| [47] [Watase]
 55: 1175| [45] [(It... it can't be...!)]
 56: 1180| [45] [Watase forced his eyes open and looked that way.]
 57: 1245| [45] [-He- was standing there.]
 58: 1331| [47] [Watase]
 59: 1332| [45] [(Wh... why...!?)]
 60: 1381| [45] [The boy who was supposed to be on the brink of death was standing tall and glaring down at Watase with wide eyes.]
 61: 1386| [45] [Why had he woken up so suddenly? Why was he glaring at Watase?]
 62: 1435| [45] [Watase lay there without a single answer to any of those questions...]
 63: 1440| [45] [The boy then spoke to him.]
 64: 1493| [47] [Natsuhiko]
 65: 1496| [45] ["--Get up."]
 66: 1504| [47] [Natsuhiko]
 67: 1507| [45] ["None of this is over yet...!"]
 68: 1555| [45] [--But at the same time he registered Natsuhiko's voice--]
 69: 1560| [45] [Watase's consciousness faded into darkness.]
