  0:   51| [55] [√After Chapter 4]
  1:   66| [45] [The security slot for the gate from the outer ring on B2 of Area 4 to Area 5 had been burned, but--]
  2:   71| [45] [When it came to the other way around, the security slot was totally intact.]
  3:   76| [45] [So Watase's group used that route to get into Area 4.]
  4:  126| [45] [Area 4, outer ring, B2--]
  5:  131| [45] [The area where Salyu had run off, where the flashover had nearly killed Watase, Kazami, and Jun, and where they'd found Hiyama's body.]
  6:  136| [45] [The reading on the Procyon read "6610 mSv".]
  7:  145| [47] [Watase]
  8:  148| [45] ["The contamination is much worse than it was before...!"]
  9:  210| [47] [Kazami]
 10:  213| [45] ["But we've got AD, so we should still be able to manage."]
 11:  240| [47] [Ukita]
 12:  243| [45] ["She's right. We should get the search here done as soon as we can, then move on to Area 3."]
 13:  248| [45] [--Kazami and Ukita were right.]
 14:  253| [45] [Just because they'd found a ton of AD didn't change the fact they were short on time.]
 15:  258| [47] [Watase]
 16:  259| [45] [(We need to be more careful to make sure we don't waste any time from this point onwards...)]
 17:  264| [45] [Watase thought for a moment, then spoke up.]
 18:  272| [47] [Watase]
 19:  275| [45] ["Then let's commence the search! You all have three minutes!"]
 20:  283| [47] [Kazami]
 21:  286| [45] ["Yes!"]
 22:  329| [45] [The team immediately began to search the outer ring.]
 23:  334| [45] [But there weren't that many rooms, so the search probably wouldn't take all that long.]
 24:  339| [45] [Watase ran down the hallway and headed for the elevator hall.]
 25:  382| [45] [For the room where Hiyama's body had been put to rest. But as he drew near--]
 26:  431| [47] [Watase]
 27:  434| [45] ["Huh...!?"]
 28:  439| [45] [Watase's eyes widened. He could tell something was off.]
 29:  444| [47] [Watase]
 30:  445| [45] [(It's like something that should be here isn't...!)]
 31:  450| [45] [He soon realized what it was.]
 32:  512| [45] [The group had put the fire axe that had been by Hiyama's body in front of the door as a grave marker of sorts, but--]
 33:  576| [47] [Ukita]
 34:  579| [45] ["The axe is gone!?"]
 35:  587| [47] [Kazami]
 36:  590| [45] ["That can't be... Why...!?"]
 37:  598| [47] [Ukita]
 38:  601| [45] ["D-did someone take it...?"]
 39:  606| [45] [The group had been together the whole time.]
 40:  611| [45] [Meaning it couldn't have been anyone else but one of the three survivors.]
 41:  616| [47] [Watase]
 42:  617| [45] [(No wait... couldn't Yuuri have done it too...?)]
 43:  622| [45] [Now that Yuuri had run away, they couldn't say for sure that she couldn't have come here and taken the axe.]
 44:  627| [47] [Watase]
 45:  628| [45] [(But what would they want with an axe...?)]
 46:  633| [45] [Watase had no idea.]
 47:  638| [45] [But he had a horrible feeling about all this.]
