  0:   53| [45] [――そして、運命の日がやってきた。]
  1:   58| [45] [２０３０年、９月１６日――]
  2:  123| [45] [悠里はその日、早朝から天川博士と共に、第５エリアの脳科学実験室に来ていた。]
  3:  155| [47] [美夜子]
  4:  158| [45] [「悠里ちゃん、こんな早朝からごめんなさいね」]
  5:  166| [47] [悠里]
  6:  169| [45] [「いいんですよ、今日はとっても重要な実験をするんでしょう？」]
  7:  195| [47] [美夜子]
  8:  198| [45] [「そうね、９時間から１２時間程度の長丁場になると思うから、お互い頑張りましょう」]
  9:  224| [47] [美夜子]
 10:  227| [45] [「実験の前に脳の検査をするわ。実験服に着替えておいて」]
 11:  260| [45] [美夜子は悠里に着替えを渡した。]
 12:  265| [45] [周囲では博士の同僚の研究員たちが、検査の準備を進める。]
 13:  270| [47] [職員１]
 14:  273| [45] [「スキャニング準備完了しました」]
 15:  278| [47] [職員２]
 16:  281| [45] [「前回と前々回のデータ、こっちに回してくれ」]
 17:  333| [45] [誰も悠里の裸体になど全く興味を示さないが、彼女は物陰に隠れ、着替えを行おうとした。]
 18:  338| [47] [悠里]
 19:  339| [45] [（それにしても……今日の実験、変わってるよね）]
 20:  344| [47] [悠里]
 21:  345| [45] [（博士は『魂を作る』って言ってたけど……そんな事、ほんとにできるのかな？）]
 22:  350| [45] [悠里がそう思った時――]
 23:  370| [45] [１本の電話が入った。]
 24:  403| [47] [美夜子]
 25:  406| [45] [「……何かしら」]
 26:  411| [45] [博士が怪訝そうに、電話に出る。]
 27:  443| [47] [美夜子]
 28:  446| [45] [「はい、天川です。ただいま検査中で――」]
 29:  451| [45] [そう言いかけて、博士は表情を強張らせた。]
 30:  479| [47] [美夜子]
 31:  482| [45] [「――夏彦が？」]
 32:  490| [47] [悠里]
 33:  493| [45] [「え……？」]
 34:  504| [45] [その名前を聞いて、悠里も息を呑む。]
 35:  528| [45] [耳をそばだてる悠里の横で、博士は電話を続ける。]
 36:  554| [47] [美夜子]
 37:  557| [45] [「えぇ、えぇ……！」]
 38:  583| [47] [美夜子]
 39:  586| [45] [「……なんですって？　ましろちゃんと優衣も？」]
 40:  612| [47] [美夜子]
 41:  615| [45] [「――わかりました、いまそちらに向かいます」]
 42:  620| [45] [博士はそう言って、電話を切った。]
 43:  628| [47] [悠里]
 44:  631| [45] [「あ、あの……ひこりんがどうしたんですか？」]
 45:  657| [47] [美夜子]
 46:  660| [45] [「よくわからないけど……どうもあの子たち、ラボに来ているらしいの」]
 47:  668| [47] [悠里]
 48:  671| [45] [「え？　ど、どうやって？」]
 49:  697| [47] [美夜子]
 50:  700| [45] [「そうよね、検問もあるのに……」]
 51:  708| [47] [美夜子]
 52:  711| [45] [「こんな時間から、いったい何の用で――」]
 53:  716| [45] [博士がそう言った、その瞬間、]
 54:  764| [45] [どこか遠くで、爆発音が響いた。]
 55:  778| [47] [悠里]
 56:  781| [45] [「ッ！？」]
 57:  786| [45] [驚愕のあまり悠里は、着替えようとしていた実験服を取り落とした。]
 58:  794| [47] [美夜子]
 59:  797| [45] [「な、なんの音！？」]
 60:  802| [45] [その問いに答えるように、音が連続して響く。]
 61:  901| [45] [自動防災システムが、警告の自動放送を流す。]
 62:  906| [47] [自動放送]
 63:  909| [45] [「――ただいま地下１階第１エリアで、激しい振動を感知しました」]
 64:  914| [47] [自動放送]
 65:  917| [45] [「――ただいま地下２階第３エリアで、激しい振動を感知しました」]
 66:  922| [47] [自動放送]
 67:  925| [45] [「――ただいま地下１階第２エリアで、火災が発生しました」]
 68:  930| [47] [自動放送]
 69:  933| [45] [「――ただいま地下２階第２エリアで、激しい振動を感知しました」]
 70:  938| [47] [自動放送]
 71:  941| [45] [「施設内のセキュリティを、『避難モード』に移行。Ｎエリアを除く全ゲートを開放します」]
 72:  946| [45] [何が起きているのかはよくわからない。]
 73:  969| [45] [だが凄まじい事態が、この施設を襲っている事はわかる。]
 74:  977| [47] [悠里]
 75:  980| [45] [「は、博士……」]
 76:  987| [45] [悠里は怖くなってきて、博士に歩み寄る。]
 77: 1020| [45] [博士が悠里を護るように抱いた時、けたたましい放送が響いた。]
 78: 1028| [47] [アナウンス]
 79: 1031| [45] [「き、緊急放送です！」]
 80: 1039| [47] [アナウンス]
 81: 1042| [45] [「ただいま施設内で、原因不明の爆発が発生しました！」]
