  0:   46| [55] [√After Chapter 5]
  1:   58| [45] [--Watase was in a daze for a while.]
  2:   63| [45] [He had no clue how long he'd been like that.]
  3:   68| [45] [Soon enough--]
  4:  126| [85] [{--Hey, get a hold of yourself already!}]
  5:  127| [86] [Auditory Hallucination]
  6:  128| [86] [{--Hey, get a hold of yourself already!}]
  7:  143| [85] [{How long are you gonna space out for!?]
  8:  145| [85] [ Hurry up and get back to the others!}]
  9:  146| [86] [Auditory Hallucination]
 10:  147| [86] [{How long are you gonna space out for!? Hurry up and get back to the others!}]
 11:  178| [47] [Watase]
 12:  181| [45] ["!!"]
 13:  230| [45] [Watase finally came back to his senses after hearing the now familiar auditory hallucination.]
 14:  241| [45] [He realized he'd been strolling like a zombie through the inner ring's hallway without even being aware of it.]
 15:  246| [45] [He turned around and saw the door to the stairwell behind him.]
 16:  251| [47] [Watase]
 17:  252| [45] [(... That's right... I have to tell everyone what happened...)]
 18:  257| [47] [Watase]
 19:  258| [45] [(No matter how painful that may be...!)]
 20:  263| [45] [Watase mustered his nearly torn heart and headed for the factory.]
 21:  352| [45] [When he got there, he found Jun, Ena, and Ukita.]
 22:  444| [47] [Jun]
 23:  447| [45] ["Oh, Captain."]
 24:  473| [47] [Ena]
 25:  476| [45] ["You're looking really pale there. What's wrong?"]
 26:  481| [45] [Everyone ran up to him.]
 27:  486| [45] [Ukita looked at his watch and spoke.]
 28:  512| [47] [Ukita]
 29:  515| [45] ["You sure took quite some time. Did something happen?"]
 30:  520| [45] [Watase answered in a shaky voice.]
 31:  528| [47] [Watase]
 32:  531| [45] ["G-guys... please don't freak out when you hear this, but..."]
 33:  539| [47] [Watase]
 34:  542| [45] ["Y-Yuuri's... dead...!"]
 35:  598| [47] [Ukita]
 36:  601| [45] ["... What!?"]
 37:  606| [45] [Everyone's eyes widened.]
 38:  614| [47] [Ukita]
 39:  617| [45] ["Impossible! How can she be dead!?"]
 40:  643| [47] [Ena]
 41:  646| [45] ["Was it an accident!? Was she murdered!?"]
 42:  654| [47] [Watase]
 43:  657| [45] ["I-I don't know... but I found her body... That's a fact..."]
 44:  683| [47] [Jun]
 45:  686| [45] ["Wh-where!? Where did you find her!?"]
 46:  694| [47] [Watase]
 47:  697| [45] ["Come with me... it's this way..."]
 48:  702| [45] [Watase took the others with him and headed back for the stairwell in the inner ring.]
 49:  787| [47] [Watase]
 50:  790| [45] ["She's right in here..."]
 51:  795| [45] [Watase stopped in front of the stairwell.]
 52:  884| [45] [His companions all gulped.]
