  0:   44| [55] [√Before Chapter 5]
  1:   55| [45] [--When Natsuhiko and Mashiro heard about the rumored stray dog hunt from Yuuri--]
  2:   60| [45] [They rushed to find a way to save Sirius.]
  3:   65| [45] [But they couldn't find anyone who would adopt him... and two days passed.]
  4:  142| [47] [Mashiro]
  5:  145| [45] ["Guess none of our friends' houses are winners, huh..."]
  6:  153| [47] [Natsuhiko]
  7:  156| [45] ["Ugh~... That's 'cause too many of them live in apartments and stuff."]
  8:  182| [47] [Mashiro]
  9:  185| [45] ["What do we do..."]
 10:  190| [47] [Sirius]
 11:  193| [45] ["Ooof~!"]
 12:  198| [45] [Natsuhiko and Mashiro hung their heads.]
 13:  203| [47] [Natsuhiko]
 14:  204| [45] [(There's nowhere in this town for Sirius to stay...)]
 15:  209| [45] [The evil healthcare center would likely get their sinister hands on Sirius eventually.]
 16:  214| [45] [But time was ticking away and they had yet to find a suitable owner for him.]
 17:  240| [47] [Mashiro]
 18:  243| [45] ["If we don't do something, Sirius will really be killed..."]
 19:  251| [47] [Natsuhiko]
 20:  254| [45] ["...!"]
 21:  259| [45] [Natsuhiko held back his panicking heart as he thought long and hard about what to do.]
 22:  264| [45] [Eventually-- a certain idea flashed in Natsuhiko's head.]
 23:  272| [47] [Natsuhiko]
 24:  275| [45] ["... No, wait! There's still something we can do!"]
 25:  283| [47] [Natsuhiko]
 26:  286| [45] ["We just need to get Sirius out of this city!"]
 27:  312| [47] [Mashiro]
 28:  315| [45] ["Huh!?"]
 29:  341| [47] [Mashiro]
 30:  344| [45] ["B-but there's a fence all around the city, you know?"]
 31:  349| [45] [Rokumei City was surrounded by a perimeter fence in order to increase public safety.]
 32:  354| [45] [No man-- or dog-- could slip past the barricade. But--]
 33:  362| [47] [Natsuhiko]
 34:  365| [45] ["But if we don't do anything, then Sirius is gonna die!"]
 35:  373| [47] [Natsuhiko]
 36:  376| [45] ["So do we have any other option but to get him out of the city?"]
 37:  384| [47] [Mashiro]
 38:  387| [45] ["But we'll get caught if we leave the city on our own, won't we!?"]
 39:  413| [47] [Mashiro]
 40:  416| [45] ["Dad told me so himself! If you try to leave town, you get locked up in jail!"]
 41:  424| [47] [Natsuhiko]
 42:  427| [45] ["J-... jail!?"]
 43:  432| [45] [Natsuhiko flinched at the sound of that word, but still--]
 44:  440| [47] [Natsuhiko]
 45:  443| [45] ["... What are you talking about, Mashiro!? Who cares if we get caught!?"]
 46:  469| [47] [Mashiro]
 47:  472| [45] ["Huh!?"]
 48:  480| [47] [Natsuhiko]
 49:  483| [45] ["If we don't do anything, who's gonna save Sirius?"]
 50:  491| [47] [Natsuhiko]
 51:  494| [45] ["Don't wait for someone else to protect what you hold dear. Protect it with your own hands!"]
 52:  499| [45] [That wasn't a quote from anything, but words straight from Natsuhiko's heart.]
 53:  504| [45] [That said, it was words cut and pasted from lines of various anime and such that Natsuhiko had watched, but it got through to Mashiro regardless.]
 54:  530| [47] [Mashiro]
 55:  533| [45] ["... You're right! You're so right!"]
 56:  538| [45] [Mashiro took Natsuhiko by the hand as she spoke.]
 57:  564| [47] [Mashiro]
 58:  567| [45] ["Let's set him free, Natsuhiko! Let's save Sirius with our own hands!"]
 59:  575| [47] [Natsuhiko]
 60:  578| [45] ["Looks like you finally understand, Mashiro!"]
 61:  604| [47] [Mashiro]
 62:  607| [45] ["Yeah! But how do we do it?"]
 63:  615| [47] [Natsuhiko]
 64:  618| [45] ["Heheh. I've got it all planned out."]
 65:  626| [47] [Natsuhiko]
 66:  629| [45] ["We use the 'city gate'. There's no fence there."]
 67:  634| [45] [Rokumei City's outer circumference was surrounded by a fence, but naturally there were entrances and exits.]
