  0:   46| [55] [√After Chapter 1]
  1:   60| [45] [--The group headed for Area 3 as quickly as they could.]
  2:  103| [45] [One of the "security gates" that Kazami had mentioned earlier came into view when they approached the connecting passageway.]
  3:  147| [45] [Kazami pointed to a terminal next to the gate.]
  4:  194| [47] [Kazami]
  5:  197| [45] ["This is a card slot. Just swipe the right card in here and the gate will open."]
  6:  205| [47] [Kazami]
  7:  208| [45] ["You'll need a card every time you pass through a gate, even if you've already opened it once before."]
  8:  216| [47] [Watase]
  9:  219| [45] ["Okay, I'll give it a shot."]
 10:  243| [45] [He looked at Jun as he said this. She then pulled out her Procyon and stared hard at it.]
 11:  251| [47] [Watase]
 12:  254| [45] ["... What're you doing?"]
 13:  280| [47] [Jun]
 14:  283| [45] ["I need to check the radiation levels before we go into an area we haven't searched yet."]
 15:  309| [47] [Kazami]
 16:  312| [45] ["Remember, everything past this point is uncharted territory for us..."]
 17:  317| [45] [Kazami and Jun's faces were dead serious.]
 18:  322| [45] [Watase took the card out as nervousness took hold of him--]
 19:  327| [45] [And swiped it through the slot.]
 20:  403| [45] [The gate opened with a loud sound.]
 21:  408| [45] [Watase and Jun both studied their Procyons carefully.]
 22:  413| [45] [The number was... "1285 mSv". Slightly higher than the reading they'd gotten at Area 1 earlier.]
 23:  439| [47] [Jun]
 24:  442| [45] ["Okay, it's within safety standards!"]
 25:  450| [47] [Watase]
 26:  453| [45] ["What's that mean?"]
 27:  479| [47] [Jun]
 28:  482| [45] ["It means it's contaminated, but still relatively safe."]
 29:  508| [47] [Kazami]
 30:  511| [45] ["The safety standard is 'within 4000 mSv'. In other words, there's no danger of radiation contamination there so long as we've injected ourselves with AD."]
 31:  537| [47] [Kazami]
 32:  540| [45] ["The first danger standard is '4000-8000 mSv'. This refers to an area we don't want to stay in for long even with AD."]
 33:  548| [47] [Kazami]
 34:  551| [45] ["The second danger standard is 'over 8000 mSv', meaning that our lives are at great risk there even with AD."]
 35:  559| [47] [Watase]
 36:  562| [45] ["... So basically, if we have AD, we'll be okay if the reading's within 4000 mSv."]
 37:  570| [47] [Watase]
 38:  573| [45] ["If it's over 4000 mSv, then it's a bit dangerous even if we have AD..."]
 39:  581| [47] [Watase]
 40:  584| [45] ["And if it's over 8000 mSv, it's likely we'll die even with AD... did I get all that right?"]
 41:  610| [47] [Kazami]
 42:  613| [45] ["Yes. The Procyon will beep if we're in a 'contaminated zone' that exceeds the danger standard."]
 43:  639| [47] [Kazami]
 44:  642| [45] ["If you hear it beeping by any chance, then please get out of there ASAP."]
 45:  650| [47] [Watase]
 46:  653| [45] ["Y-yeah... got it."]
 47:  658| [45] [The group passed through the gate as they talked.]
 48:  750| [45] [The further they walked down the connecting passageway, the worse the damage got.]
 49:  755| [45] [The walls had been burned to hell and back, and the ceiling was damaged too.]
 50:  802| [47] [Watase]
 51:  805| [45] ["Holy crap..."]
 52:  838| [47] [Kazami]
 53:  841| [45] ["It would appear that there were explosions here too."]
 54:  884| [45] [And then, just when they'd finished rounding a corner--]
 55:  889| [45] [The whole group gasped.]
 56:  973| [47] [Watase]
 57:  976| [45] ["!?"]
 58:  981| [45] [There was a woman dangling upside-down from the ceiling.]
 59:  989| [47] [???]
 60:  992| [45] ["Mmph, mmph...!"]
 61:  997| [45] [It looked like she was sticking her lower torso into the air duct.]
 62: 1005| [47] [Kazami]
 63: 1008| [45] ["Wh-what in the world...!?"]
 64: 1016| [47] [Jun]
 65: 1019| [45] ["Well, uh, that's not something you see every day..."]
 66: 1024| [45] [As Kazami and Jun stared in utter disbelief, the woman's eyes widened with shock.]
 67: 1072| [47] [???]
 68: 1075| [45] ["Wh-who's there!?"]
 69: 1083| [47] [Watase]
 70: 1086| [45] ["Uh, we're rescue workers, ma'am..."]
 71: 1094| [47] [???]
 72: 1097| [45] ["Rescue workers!? Perfect timing!"]
 73: 1105| [47] [???]
 74: 1108| [45] ["I'm stuck! Mind pulling me out?!"]
 75: 1116| [47] [Watase]
 76: 1119| [45] ["O-okay!"]
 77: 1127| [47] [Kazami]
 78: 1130| [45] ["Moribe, stand right below the air duct! Make sure she doesn't land head first!"]
 79: 1138| [47] [Jun]
 80: 1141| [45] ["Roger! Okay then, ready, set...!"]
 81: 1189| [45] [The rescue squad then frantically pulled the woman's body--]
 82: 1194| [45] [and safely rescued her.]
 83: 1273| [47] [???]
