  0:  139| [55] [√After Chapter3]
  1:  150| [45] [そこは鉄パイプが縦横にのたくった、無機質な空間だった。]
  2:  155| [45] [渡瀬たちは気絶した３人を、手分けしてその場に横たえた。]
  3:  217| [47] [風見]
  4:  220| [45] [「……何とか、無事にたどり着くことができましたね……」]
  5:  225| [45] [そう言う風見の顔色がひどくすぐれない。]
  6:  230| [45] [放射線の影響が出始めたのか、それとも激しい疲労のせいなのか――]
  7:  235| [45] [ともかく渡瀬は彼女に言った。]
  8:  243| [47] [渡瀬]
  9:  246| [45] [「橘、すぐに消火システムを起動させに行こう。炎がここまで来たらお終いだ」]
 10:  272| [47] [風見]
 11:  275| [45] [「わ……わかりました……」]
 12:  302| [47] [宇喜多]
 13:  305| [45] [「いや……消火システムの所には、僕がついて行こう……」]
 14:  313| [47] [宇喜多]
 15:  316| [45] [「僕は入所当時、ここに見学に来たことがあるんだ……副隊長さんは少し休んだほうがいい……」]
 16:  324| [47] [渡瀬]
 17:  327| [45] [「そいつは助かるが――だが、大丈夫なのか？」]
 18:  332| [45] [宇喜多の顔色は、風見に負けず劣らず悪かった。]
 19:  358| [47] [宇喜多]
 20:  361| [45] [「なぁに、僕だって君と同じ男なんだ……だから、少しは格好をつけさせてくれたまえ……」]
 21:  369| [47] [渡瀬]
 22:  372| [45] [「……そうか。すまんな、助かるよ」]
 23:  436| [45] [言いながら、渡瀬は足元がおぼつかない宇喜多に肩を貸した。]
 24:  444| [47] [渡瀬]
 25:  447| [45] [「それで消火システムはどこにあるんだ？」]
 26:  473| [47] [宇喜多]
 27:  476| [45] [「あぁ……あっちだ……」]
 28:  502| [47] [風見]
 29:  505| [45] [「すみません……お２人とも、お願いします」]
 30:  548| [45] [２人は風見にうなずきを返し、さっそくエンジンルームの奥へ向かった。]
 31:  553| [45] [そして、パイプの隙間を縫うように進み――]
 32:  616| [47] [宇喜多]
 33:  619| [45] [「つ、着いたぞ……」]
 34:  624| [45] [そう言って宇喜多が指差したのは、巨大なタンクの側にある無数のバルブ群だった。]
 35:  632| [47] [渡瀬]
 36:  635| [45] [「あれが、消火システム……？」]
 37:  661| [47] [宇喜多]
 38:  664| [45] [「そうだ……あそこにあるバルブを、全て開くんだ……」]
 39:  672| [47] [渡瀬]
 40:  675| [45] [「――わかった。任せてくれ」]
 41:  708| [45] [渡瀬は迅速に宇喜多の指示に従った。]
 42:  748| [45] [タンクが唸り声を上げ、そこら中のパイプが一斉に振動し始める。]
 43:  774| [47] [宇喜多]
 44:  777| [45] [「うむ……これで問題はなさそうだ……」]
 45:  785| [47] [渡瀬]
 46:  788| [45] [「よし、だったら急いで引き返そう。すぐにＡＤを探しに行かないと」]
 47:  814| [47] [宇喜多]
 48:  817| [45] [「いや……すまんが、僕はもう限界だ……」]
 49:  825| [47] [宇喜多]
 50:  828| [45] [「僕はここで……システムが正常に運転しているか見ているよ……」]
 51:  833| [45] [ここまでかなり無理をしたのだろう。宇喜多の顔には、色濃い疲労が浮かんでいた。]
 52:  838| [45] [渡瀬は宇喜多をその場に残し、パイプの隙間を引き返した。]
 53:  931| [45] [渡瀬がハシゴ付近に戻ると――]
 54:  939| [47] [渡瀬]
 55:  942| [45] [「――橘っ！？」]
 56:  947| [45] [倒れていた風見の元へ、渡瀬は急いで駆け寄った。]
 57: 1011| [47] [風見]
 58: 1014| [45] [「うぅ……すみません、隊長……」]
 59: 1019| [45] [すえた臭い。すぐ側に嘔吐した痕がある。]
 60: 1024| [45] [おそらく放射線被曝の影響だろう。]
 61: 1029| [47] [夏彦]
 62: 1030| [45] [（――やっぱり、あんなＡＤじゃ不十分だったんだ！）]
 63: 1038| [47] [渡瀬]
 64: 1041| [45] [「待ってろ、橘！　すぐＡＤを見つけて来てやる！」]
 65: 1046| [45] [渡瀬はハシゴに身を躍らせると、そのまま下にすべり降りた。]
 66: 1160| [45] [遠くでシャワーのような音が鳴っている。]
 67: 1165| [45] [どうやら火災箇所のスプリンクラーが正常に作動しているようだった。]
 68: 1170| [45] [だが――おそらくガスは、まだ通路に残っているだろう。]
 69: 1178| [47] [渡瀬]
 70: 1181| [45] [「――っ」]
 71: 1186| [45] [渡瀬は室内の空気で肺を膨らませ、通路へ飛び出した。]
 72: 1362| [45] [１つめの部屋――ＡＤは見当たらない。]
 73: 1530| [45] [２つめの部屋には、メディカルボックスが落ちていた。]
 74: 1582| [45] [飛びつき、中を確認すると――]
 75: 1587| [47] [渡瀬]
 76: 1588| [45] [（――あった！）]
 77: 1593| [45] [そこに２本のＡＤが入っている。]
 78: 1598| [45] [意外なほど早く見つかったＡＤに歓喜しつつ、渡瀬は少し後悔した。]
 79: 1603| [47] [渡瀬]
 80: 1604| [45] [（こんな近くで見つかるなら、あのとき躊躇せずに探しに行ってりゃ良かったんだ）]
 81: 1609| [47] [渡瀬]
 82: 1610| [45] [（そうすりゃ風見だって、あそこまで苦しまずに済んだってのに……！）]
 83: 1616| [45] [とは言え、これで風見分のＡＤは確保できた。]
 84: 1621| [45] [足りないのは、あと４本――。]
 85: 1626| [45] [だが、ずっと動き続けているせいか、今にも息が切れそうだった。]
 86: 1631| [47] [渡瀬]
 87: 1632| [45] [（くっ……）]
 88: 1637| [45] [渡瀬は仕方なく捜索を打ち切って、エンジンルームへ引き返した。]
 89: 1743| [45] [渡瀬がハシゴをのぼって行くと――]
 90: 1748| [45] [意識を取り戻した洵と恵那が、苦しそうにえずく風見を必死に介抱している。]
 91: 1774| [47] [洵]
 92: 1777| [45] [「隊長！　副隊長が！？」]
 93: 1785| [47] [渡瀬]
 94: 1788| [45] [「――わかってる！　早くこいつを橘に！」]
 95: 1814| [45] [渡瀬が手渡したＡＤを、洵が素早く風見に打つ。]
 96: 1829| [47] [風見]
 97: 1832| [45] [「あぁ、うぅぅ……」]
 98: 1865| [45] [ＡＤが効き始め、苦痛から解放されたのだろう。風見はそのまま気を失った。]
 99: 1870| [45] [洵がすぐさま、風見のバイタルチェッカーを確認する。]
100: 1898| [47] [洵]
101: 1901| [45] [「オールグリーン……ふぅ、焦ったぁ」]
102: 1928| [47] [恵那]
103: 1931| [45] [「とりあえず、これでひと安心ね」]
104: 1957| [47] [恵那]
105: 1960| [45] [「……ところで隊長さん、今どういう状況になってるの？　ここってエンジンルームよね？」]
106: 1986| [47] [洵]
107: 1989| [45] [「ってことは、もう消火システムは起動させたの？　宇喜多さんが見当たらないようだけど？」]
108: 1994| [45] [渡瀬は２人の質問に応え、今に至る顛末を説明した。]
109: 1999| [45] [ガスの中を走り、何とかエンジンルームにたどり着いた事。]
110: 2004| [45] [宇喜多と一緒に消火システムを起動させた事。]
111: 2009| [45] [そして、入手できたＡＤが２本だけだという事も――]
112: 2035| [47] [恵那]
113: 2038| [45] [「それじゃあ１本は橘さんに使ったから、残りは１本ってわけね」]
114: 2046| [47] [渡瀬]
115: 2049| [45] [「ああ。まだ調べていない部屋があるから、そっちにもＡＤがあるのかもしれないが――」]
116: 2075| [47] [洵]
117: 2078| [45] [「うし！　じゃあ、今度はあたしがＡＤを探しに行ってくるよ！」]
118: 2086| [47] [渡瀬]
119: 2089| [45] [「いや、やめておくんだ。ついさっき倒れた事を忘れたのか？」]
120: 2115| [47] [洵]
121: 2118| [45] [「でも――」]
122: 2126| [47] [渡瀬]
123: 2129| [45] [「ダメだ」]
124: 2137| [47] [渡瀬]
125: 2140| [45] [「オレだってもう体力の限界なんだ。もしまたお前が倒れたら、今度は誰がお前を担ぐんだ？」]
126: 2166| [47] [洵]
127: 2169| [45] [「うっ……それは、そうだけど……」]
128: 2195| [47] [恵那]
129: 2198| [45] [「ねえ？　消火とガス換気が終わるまで、どのくらいかかるのかしら？」]
130: 2206| [47] [渡瀬]
131: 2209| [45] [「さぁ、よくわからんが１０分くらいじゃないか？」]
132: 2235| [47] [恵那]
133: 2238| [45] [「１０分か……その頃には、私たちのＡＤは完全に切れてるわね……」]
134: 2243| [45] [そう言うと、恵那は気を失っている風見の顔をそっと見つめた。]
135: 2248| [45] [自分たちが風見と同じようにならないか、心配しているのだろう。]
136: 2253| [47] [恵那]
137: 2254| [45] [「……」]
138: 2277| [47] [洵]
139: 2278| [45] [「……」]
140: 2283| [47] [渡瀬]
141: 2284| [45] [「……」]
142: 2289| [45] [重苦しい空気が、エンジンルームに立ちこめる。]
143: 2338| [45] [そして時間は無為に流れ――]
144: 2349| [45] [風見の腕時計が、ＡＤの投与時間を告げた。]
145: 2400| [45] [その時、風見が目を開けた。]
146: 2442| [47] [洵]
147: 2445| [45] [「あっ、副隊長！」]
148: 2479| [47] [風見]
149: 2482| [45] [「ぅ……どうやら、気を失っていたようですね……」]
150: 2487| [45] [頭を振りながら、風見がゆっくり身体を起こす。]
151: 2495| [47] [渡瀬]
152: 2498| [45] [「橘、気分はどうだ？　顔色はだいぶ良くなったようだが」]
153: 2524| [47] [風見]
154: 2527| [45] [「えぇ、お陰さまで……」]
155: 2553| [47] [風見]
156: 2556| [45] [「守部、隊長、椿山さんも……ずいぶん、迷惑をかけてしまいましたね」]
157: 2582| [47] [恵那]
158: 2585| [45] [「何言ってるの。それはお互い様よ」]
159: 2685| [45] [――そこへ宇喜多が戻ってくる。]
160: 2690| [45] [体力が回復したのか、その足取りはしっかりしていた。]
161: 2699| [47] [宇喜多]
162: 2702| [45] [「おーいみんな、消火システムは正常運転中だ。そろそろ階下に降りても大丈夫そうだぞ」]
163: 2710| [47] [渡瀬]
164: 2713| [45] [「そうか、すまない宇喜多さん。そんな報告までさせちまって」]
165: 2756| [47] [宇喜多]
166: 2759| [45] [「なに、構わんさ。ところでさっき、アラームが鳴っていた気がしたのだが……？」]
167: 2764| [45] [それを聞き、風見がはっと息を呑む。]
168: 2790| [47] [風見]
169: 2793| [45] [「隊長、皆さんの分のＡＤは……？」]
170: 2801| [47] [渡瀬]
171: 2804| [45] [「すまん……オレが手に入れたＡＤは、あと１本しか残っていないんだ」]
172: 2830| [47] [風見]
173: 2833| [45] [「え？」]
174: 2859| [47] [宇喜多]
175: 2862| [45] [「むぅ……そ、そうだったのか……」]
176: 2930| [45] [再びの静寂が、渡瀬たちにふり降りる。]
177: 2935| [45] [ＡＤの効果が切れた事を証明するように、肌に静電気を帯びたような違和感が出始めていた。]
178: 2940| [45] [見やると風見以外の全員が、腕をさすっているのがわかる。]
