  0:   44| [55] [√Double Chapter 5]
  1:   56| [45] [--After seeing the circumstances through static-filled vision--]
  2:  106| [45] [Natsuhiko returned to his own body and took a deep breath.]
  3:  114| [47] [Natsuhiko]
  4:  117| [45] ["... I contacted Watase and the others. I told them to regroup in the control room."]
  5:  143| [47] [Yuuri]
  6:  146| [45] ["The control room?"]
  7:  154| [47] [Natsuhiko]
  8:  157| [45] ["It seems we can steal Brain Cell's root authority with the hacking software Mom prepared."]
  9:  165| [47] [Natsuhiko]
 10:  168| [45] ["So once we retrieve that software, we'll gather with everyone in the control room."]
 11:  195| [47] [Salyu]
 12:  198| [45] ["Fine by me, but--"]
 13:  230| [47] [Salyu]
 14:  233| [45] ["Isn't that 'Watase' man our enemy?"]
 15:  241| [47] [Natsuhiko]
 16:  244| [45] ["... He's an ally now."]
 17:  252| [47] [Natsuhiko]
 18:  255| [45] ["Salyu, I know you might not be able to forgive him, but... could you promise not to attack him just for now?"]
 19:  263| [47] [Natsuhiko]
 20:  266| [45] ["We need his cooperation to get everyone out of here."]
 21:  289| [47] [Salyu]
 22:  290| [45] ["..."]
 23:  316| [47] [Salyu]
 24:  319| [45] ["... Understood. I'll do as you say, Natsuhiko."]
 25:  327| [47] [Natsuhiko]
 26:  330| [45] ["Thanks, Salyu."]
 27:  390| [45] [And after saying that, Natsuhiko then used Senses Sympathy on Ukita.]
 28:  454| [45] [--His connection with Ukita was plagued with noise as well.]
 29:  459| [45] [Natsuhiko mustered all his strength to send telepathy to Ukita.]
 30:  467| [47] [Natsuhiko]
 31:  470| [45] [{Mr. Ukita, can you hear me!?}]
 32:  496| [47] [Ukita]
 33:  499| [45] [{Huh!? Ahh--... can manage... hear you... --at happened?}]
 34:  507| [47] [Natsuhiko]
 35:  510| [45] [{With the exception of Ms. Tachibana, everyone's malice has been erased! Let's regroup at the control room for now!}]
 36:  518| [47] [Natsuhiko]
 37:  521| [45] [{The shelter's no longer safe with its door broken, so please take Mashiro with you!}]
 38:  526| [45] [Mashiro was sleeping in the shelter under Ukita's protection.]
 39:  531| [45] [Ukita responded with a strained voice.]
 40:  555| [47] [Ukita]
 41:  558| [45] [{--ntrol room, --ight!? --...--ger that!}]
 42:  582| [45] [It appears he managed to get through to him.]
 43:  587| [45] [Natsuhiko returned to his body once more and reported to Yuuri and Salyu.]
 44:  595| [47] [Natsuhiko]
 45:  598| [45] ["I told Mr. Ukita to bring Mashiro with him to the control room."]
 46:  606| [47] [Natsuhiko]
 47:  609| [45] ["We'll head to Mom's office first and bring the hacking software to the control room."]
 48:  635| [47] [Yuuri]
 49:  638| [45] ["Understood."]
 50:  664| [47] [Salyu]
 51:  667| [45] ["Then I'll carry you on my back again. Hurry."]
 52:  675| [47] [Natsuhiko]
 53:  678| [45] ["R-right."]
 54:  729| [45] [There was no time to be embarrassed about appearances, so Natsuhiko did as Salyu said.]
 55:  833| [45] [--And thus they went to Area 5 and headed to Miyoko Tenkawa's office.]
 56:  890| [45] [They searched inside the room.]
 57:  898| [47] [Natsuhiko]
 58:  901| [45] ["Mom said it's on the lower shelf farthest back in the room."]
 59:  907| [45] [And it was locked, just as she had said.]
 60:  949| [47] [Salyu]
 61:  952| [45] ["Natsuhiko, out of the way."]
 62:  960| [47] [Natsuhiko]
 63:  963| [45] ["Huh? Oh!"]
 64: 1055| [45] [Salyu kicked the cabinet door open.]
 65: 1060| [45] [And then a stuffed animal-shaped device tumbled out.]
 66: 1145| [47] [Salyu]
 67: 1148| [45] ["Huh? Alice?"]
 68: 1156| [47] [Natsuhiko]
 69: 1159| [45] ["No, it's an ARMS unit that's the same model as Alice."]
 70: 1167| [47] [Natsuhiko]
 71: 1170| [45] ["... Wait, now that you mention it, what happened to Alice?"]
 72: 1178| [47] [Salyu]
 73: 1181| [45] ["I didn't want to break her, so I hid her in the girl's restroom in Area 4."]
 74: 1189| [47] [Natsuhiko]
 75: 1192| [45] ["I see... that way Watase couldn't find her, huh."]
 76: 1246| [47] [Yuuri]
 77: 1249| [45] ["In that case, I'll take this ARMS unit-- Alice Number 2-- with me, then."]
 78: 1266| [47] [Natsuhiko]
 79: 1269| [45] ["Yeah. Let's hurry to the control room."]
 80: 1358| [45] [But right as Natsuhiko said that and they were about to leave the room--]
 81: 1363| [47] [Natsuhiko]
 82: 1364| [45] [(Hmm...?)]
 83: 1370| [45] [A note posted on the wall suddenly caught Natsuhiko's attention:]
 84: 1375| [45] ["Informational Field Self-Awareness Development Experiment - 9/16 6:00 AM~"]
 85: 1383| [47] [Natsuhiko]
 86: 1386| [45] ["... Hey, Yuuri. Was Mom trying to run some sort of experiment this morning?"]
 87: 1449| [47] [Yuuri]
 88: 1452| [45] ["Huh? Ah, yes."]
 89: 1460| [47] [Yuuri]
 90: 1463| [45] ["I had to take a health exam early this morning because of that experiment."]
 91: 1471| [47] [Natsuhiko]
 92: 1474| [45] ["Is that so? Then what exactly is this 'Informational Field Self-Awareness Development Experiment' about?"]
 93: 1500| [47] [Yuuri]
 94: 1503| [45] ["Hmm, it's hard to explain, but--"]
 95: 1529| [47] [Yuuri]
 96: 1532| [45] ["Simply put, it's an experiment to 'create a spirit'."]
 97: 1540| [47] [Natsuhiko]
 98: 1543| [45] ["To create a spirit...?"]
 99: 1548| [45] [For some reason, Natsuhiko got horribly caught up on those words.]
100: 1553| [45] [He knew this wasn't exactly the time to talk about it-- but he couldn't help but ask questions.]
101: 1561| [47] [Natsuhiko]
102: 1564| [45] ["Create a spirit? What does that mean? What's Mom trying to do here?"]
103: 1591| [47] [Salyu]
104: 1594| [45] ["Hold on, Natsuhiko. Is that something you need to know right now?"]
105: 1602| [47] [Natsuhiko]
106: 1605| [45] ["I don't know... but it kind of bothers me. I'm sorry, Yuuri, but could you give a rough explanation for me, please?"]
107: 1616| [47] [Yuuri]
108: 1619| [45] ["O-okay. I'll explain."]
109: 1624| [45] [Yuuri quickly began to explain.]
