  0:   71| [55] [√Before Chapter 8]
  1:   86| [45] [Natsuhiko looked at Mashiro with wide eyes.]
  2:   91| [45] [There was blood on her right shoulder--!]
  3:  118| [47] [Mashiro]
  4:  121| [45] ["Huh!? What... is this...!?"]
  5:  126| [45] [A red stain grew on Mashiro's clothes before their eyes.]
  6:  131| [47] [Natsuhiko]
  7:  132| [45] [(Mashiro... was shot!?)]
  8:  137| [47] [Natsuhiko]
  9:  138| [45] [(By who!? From where!?)]
 10:  165| [47] [Mashiro]
 11:  168| [45] ["Agh, no... it burns, it hurts... Natsuhiko...!"]
 12:  176| [47] [Natsuhiko]
 13:  179| [45] ["Are you okay, Mashiro!? I'll treat it right--"]
 14:  184| [45] [But right as Natsuhiko started to yell--]
 15:  192| [47] [???]
 16:  195| [45] ["... Guess it's harder to hit a moving target than you'd think."]
 17:  200| [45] [--he heard a low voice from behind him.]
 18:  208| [47] [Natsuhiko]
 19:  211| [45] ["!?"]
 20:  421| [45] [He turned around, and there by the open gate was a man with a gun.]
 21:  429| [47] [Natsuhiko]
 22:  432| [45] ["Y... you!?"]
 23:  437| [45] [The man was wearing a rescue squad outfit.]
 24:  442| [45] [A man whose mission was supposedly to save lives was now giving Natsuhiko a look that could kill.]
 25:  450| [47] [Man]
 26:  453| [45] ["We meet again, Communicator."]
 27:  461| [47] [Natsuhiko]
 28:  464| [45] ["...!?"]
 29:  525| [45] [The man's voice sounded familiar-- It was a voice they heard last night at the ruined factory.]
 30:  530| [47] [Natsuhiko]
 31:  531| [45] [(He's that terrorist!?)]
 32:  536| [47] [Natsuhiko]
 33:  537| [45] [(Did he chase after us!?)]
 34:  597| [45] [As soon as Natsuhiko made the connection, the man fired another shot.]
 35:  670| [47] [Natsuhiko]
 36:  673| [45] ["!!"]
 37:  678| [45] [A sharp sound whizzed through the air right beside Natsuhiko's ear.]
 38:  683| [47] [Natsuhiko]
 39:  684| [45] [(He's trying to kill us! --If we stay here, Mashiro's gonna...!)]
 40:  738| [45] [Natsuhiko fled from the man, Mashiro in his arms.]
 41:  845| [47] [Mashiro]
 42:  848| [45] ["Agh... uugh...!"]
 43:  853| [45] [Mashiro cried out in pain due to her wound.]
 44:  861| [47] [Natsuhiko]
 45:  864| [45] ["Hang in there, Mashiro!"]
 46:  869| [45] [As he tried to voice his encouragement, Natsuhiko thought to himself.]
 47:  874| [47] [Natsuhiko]
 48:  875| [45] [(Salyu said she was shot too...!)]
 49:  880| [47] [Natsuhiko]
 50:  881| [45] [(Was he the one that shot her!?)]
 51:  886| [45] [Salyu said she knocked out the two terrorists.]
 52:  891| [45] [But they saw three terrorists in the ruined factory.]
 53:  896| [47] [Natsuhiko]
 54:  897| [45] [(Then this man was the last one--!)]
 55:  926| [47] [Natsuhiko]
 56:  929| [45] ["!!"]
 57:  934| [45] [Just then, another gunshot rang out from behind them.]
 58:  939| [45] [--If they didn't escape, they'd be killed.]
 59:  944| [45] [Natsuhiko frantically turned the corner.]
 60: 1011| [45] [There was a security gate on the other side.]
 61: 1022| [45] [With Mashiro still in his arms, he swiped the card through the slot.]
 62: 1027| [45] [As the gate slowly opened, he heard footsteps coming from behind.]
 63: 1032| [47] [Natsuhiko]
 64: 1033| [45] [(Hurry up! Hurry up! Open, dammit!)]
 65: 1038| [45] [But as Natsuhiko pleaded,]
 66: 1113| [47] [Natsuhiko]
 67: 1116| [45] ["Guh!!"]
 68: 1121| [45] [he was suddenly interrupted by an intense pain.]
 69: 1126| [45] [He could feel warm blood oozing out from his side.]
 70: 1131| [45] [A bullet had apparently gouged out just a tiny bit of his flesh.]
 71: 1159| [47] [Mashiro]
 72: 1162| [45] ["N-Natsuhiko, a... a bullet just...!"]
 73: 1170| [47] [Natsuhiko]
 74: 1173| [45] ["--It's just a scratch!"]
 75: 1246| [45] [At least that's what he told himself as he dashed to the other side of the gate.]
 76: 1346| [45] [As they got to the other side, Natsuhiko pressed the open/close button on the security gate panel to shut the gate.]
 77: 1351| [45] [But it probably wouldn't buy them much more than a few seconds.]
 78: 1356| [47] [Natsuhiko]
 79: 1357| [45] [(He probably has a security card too...!)]
