  0:   46| [55] [√After Chapter 6]
  1:   54| [45] [------]
  2:   59| [45] [----]
  3:   64| [45] [--]
  4:  168| [47] [Automatic PA]
  5:  171| [45] ["--... Emergency power supply has hit operational limit."]
  6:  176| [45] [--How long had he been passed out for?]
  7:  181| [47] [Automatic PA]
  8:  184| [45] ["Now switching to uninterruptible power system--..."]
  9:  192| [47] [Watase]
 10:  195| [45] ["--... U-ugh...!"]
 11:  200| [45] [Watase woke up to the sound of an emotionless, artificial voice.]
 12:  254| [45] [He sat up and looked around to find his surroundings buried in darkness.]
 13:  262| [47] [Watase]
 14:  265| [45] ["... What's going on...? Was there a blackout?"]
 15:  270| [45] [Watase shook his throbbing head and glanced at his watch.]
 16:  281| [45] [The time displayed on the faintly glowing LCD was "5:50 PM".]
 17:  286| [45] [It appeared he'd been unconscious for two and a half hours.]
 18:  294| [47] [Watase]
 19:  297| [45] ["What am I... doing here...?"]
 20:  302| [45] [He remembered everything up to getting hit in the back of the head and passing out.]
 21:  307| [45] [And that it was Jun who'd been responsible for that.]
 22:  312| [45] [His blurry thoughts then soon gradually became clearer and clearer again--]
 23:  439| [47] [Jun]
 24:  442| [45] ["So don't worry... I'll make sure you don't have to stain your hands in this..."]
 25:  450| [47] [Jun]
 26:  453| [45] ["It pains me to do this..."]
 27:  461| [47] [Jun]
 28:  464| [45] ["... but I'll be sure to kill Mr. Ukita..."]
 29:  532| [47] [Watase]
 30:  533| [45] [(That's right... and that sound I heard right after that...)]
 31:  635| [47] [Watase]
 32:  638| [45] ["It was the engine cutter...!"]
 33:  646| [47] [Watase]
 34:  649| [45] ["Why did I hear something like that back then...?"]
 35:  657| [47] [Watase]
 36:  660| [45] ["Oh no--!"]
 37:  668| [47] [Watase]
 38:  671| [45] ["Don't tell me she went to kill the old man with something like that!?"]
 39:  676| [45] [Terror overcame Watase when he made that connection.]
 40:  681| [45] [He then felt a pain in his side.]
 41:  686| [45] [He looked there to find blood oozing down.]
 42:  691| [45] [It was the bullet wound he'd gotten from Ukita.]
 43:  699| [47] [Watase]
 44:  702| [45] ["Moribe, you dumbass! The old man has a gun!"]
 45:  707| [45] [A pistol versus an engine cutter--]
 46:  712| [45] [Jun was at an overwhelming disadvantage no matter how one spun it.]
 47:  717| [45] [Watase looked to the side to find the pistol he'd picked up in Area N lying there.]
 48:  725| [47] [Watase]
 49:  728| [45] ["Goddammit..."]
 50:  733| [45] [But it was out of bullets. Now Watase had no weapons.]
 51:  738| [45] [His head was still swaying from Jun's blow.]
 52:  743| [47] [Watase]
 53:  744| [45] [(But if I leave things the way they are now, then Moribe will also...!)]
 54:  749| [45] [He didn't want to see any more deaths. Not his comrades, nor any innocent people.]
 55:  754| [45] [Watase put a hand against the wall and stood up--]
 56:  759| [45] [Then started walking as though he were dragging his body along.]
 57:  803| [45] [--He soon found himself approaching a connecting passageway...]
 58:  808| [45] [When all of a sudden, he noticed something lying in front of him.]
 59:  816| [47] [Watase]
 60:  819| [45] ["Huh...?"]
 61:  824| [45] [Watase studied it carefully as his nose was assaulted by a stench akin to rusted iron.]
 62:  829| [47] [Watase]
 63:  830| [45] [(...!)]
 64:  842| [45] [--The stench of blood.]
 65:  847| [45] [Watase felt shivers run down his spine as he realized that the air around him was saturated with it.]
 66:  852| [47] [Watase]
 67:  853| [45] [(... It can't be...!?)]
 68:  904| [45] [Watase cautiously approached the object.]
 69:  909| [45] [He could make out more and more of its features the closer he got.]
 70:  914| [45] [The thing he'd spotted lying in the middle of the hallway--]
 71:  919| [45] [Was a small woman wearing a rescue worker uniform.]
 72:  927| [47] [Watase]
 73:  930| [45] ["M-Moribe...?"]
 74:  935| [45] [Watase staggered over to her and held her in his arms.]
 75: 1045| [45] [His arms were soaked with something slippery when he did.]
 76: 1053| [47] [Watase]
 77: 1056| [45] ["H... hey..."]
 78: 1061| [45] [Watase called out to Jun in an unbearably shaky voice.]
 79: 1066| [45] [But she didn't answer him.]
 80: 1071| [45] [Memories of Jun then flickered through Watase's head at that moment.]
 81: 1161| [47] [Jun]
 82: 1164| [45] ["And I'm 'Jun Moribe', Firefighter, 20 years old! I only just joined Sirus this year, so I'm whatcha'd call the team's 'new blood'!"]
 83: 1190| [47] [Jun]
 84: 1193| [45] ["My nickname's 'Sirius' Lady Suicide Squad Chief'! My catchphrase is 'Jun's my name, rescue's my game!' Let's get along, okay!?"]
 85: 1270| [47] [Jun]
 86: 1273| [45] ["I'll remove the grate and go to the other side!"]
 87: 1281| [47] [Jun]
 88: 1284| [45] ["My body's smaller than the Captain's, so I'm better suited for this role!"]
 89: 1361| [47] [Jun]
 90: 1364| [45] ["... Okay then. If you're going, then I'm coming too."]
 91: 1390| [47] [Jun]
 92: 1393| [45] ["Are you listening to yourself!? It's more dangerous for you to go alone, right?!"]
 93: 1489| [47] [Watase]
 94: 1492| [45] ["--Stop! Dammit, don't jinx me like that!"]
 95: 1500| [47] [Watase]
 96: 1503| [45] ["I can't let Moribe die!"]
 97: 1508| [45] [Watase shouted that as he searched Moribe's body for wounds.]
 98: 1513| [45] [He wanted to see if there was any chance she was still alive.]
 99: 1518| [45] [But there were three holes burrowed into her body.]
100: 1523| [45] [The first was through the right shoulder, the second was in the abdomen, and the third was right in the center of her chest.]
101: 1528| [45] [Blood was gushing out of every last one of them.]
102: 1533| [45] [Watase's gloves were already soaked to their core.]
103: 1580| [47] [Watase]
104: 1583| [45] ["What the hell is this...? I-is this a bad joke...?"]
105: 1591| [47] [Watase]
106: 1594| [45] ["Hey, c'mon, Moribe... Cut it out already and answer me, you hear...?"]
107: 1602| [47] [Watase]
108: 1605| [45] ["Hey, come on..."]
109: 1610| [45] [Watase shook Jun's body.]
110: 1615| [45] [But she never answered him.]
111: 1661| [47] [Watase]
112: 1664| [45] ["Khh--..."]
113: 1669| [45] [Jun had probably gone up against Ukita and lost.]
114: 1674| [45] [The engine cutter truly had been no match for a pistol in the end.]
115: 1682| [47] [Watase]
116: 1685| [45] ["Dammit... this is why..."]
117: 1693| [47] [Watase]
118: 1696| [45] ["--This is why I should have finished off the old man when I had the chance!"]
119: 1701| [45] [But it was too late for regrets.]
120: 1810| [45] [Ukita's face, brimming with madness, flashed through the darkness.]
121: 1857| [47] [Watase]
122: 1860| [45] ["... this time."]
123: 1868| [47] [Watase]
124: 1871| [45] ["I'll kill that bastard for sure this time...!"]
125: 1876| [45] [Watase broke out into a mad dash with a feral roar.]
126: 1919| [45] [But when he made it out of the connecting passageway--]
127: 1966| [47] [Watase]
128: 1969| [45] ["!?"]
129: 2077| [45] [He found Ukita sitting there, dead with blood pouring from his head.]
130: 2085| [47] [Watase]
131: 2088| [45] ["W... what...!?"]
132: 2093| [45] [Watase was rendered speechless by that abrupt anticlimax.]
133: 2098| [45] [A bloody piece of debris was lying next to his corpse.]
134: 2103| [45] [He'd probably died after being hit in the head by it.]
135: 2151| [47] [Watase]
136: 2154| [45] ["H... huh?"]
137: 2162| [47] [Watase]
138: 2165| [45] ["I-if the old man died here, then that means...!"]
139: 2170| [45] [That meant the only other people still alive in this place aside from Watase were Kazami and "Mashiro Toba".]
140: 2175| [47] [Watase]
141: 2176| [45] [(Wh-who did it... Was the old man killed by Tachibana, or by Mashiro Toba?)]
142: 2181| [45] [He couldn't see Mashiro Toba anywhere, and he didn't know a thing about her.%NThat was the way it'd always been.]
143: 2186| [45] [Which meant that the only suspect he really had was Kazami, but--]
144: 2191| [47] [Watase]
145: 2192| [45] [(It couldn't be Tachibana... not in a million years. I mean, she didn't even have a motive to kill the old man...)]
146: 2197| [47] [Watase]
147: 2198| [45] [(...!?)]
148: 2243| [45] [But just as that thought had hit him, something suddenly flashed through his head.]
149: 2248| [47] [Watase]
